name,address,category,main_mn,price,opng_tm,rating,rvw_cnt,tags
놀부만두,서울특별시 동대문구 휘경2동 276-33,,냉모밀,6000,"{'월-금,일': '오전 11시 - 오후 8시 30분 '}",,,"점심식사,혼밥,저녁식사,간식,지역주민이 찾는,서민적인,시끌벅적한,가성비좋은,푸짐한,가게부근주차가능"
호반,서울특별시 종로구 낙원동 85-7,,순대국,8000,"{'매일': '오전 11시 30분 - 오후 10시 (준비시간 15:00~16:30)', '휴무일': '매주 일요일 (첫째·셋째·다섯째 일요일 휴무)'}",,,"저녁식사,점심식사,식사모임,가족외식,술모임,접대,혼술,데이트,혼밥,회식,아침식사,서민적인,푸짐한,가성비좋은,시끌벅적한,지역주민이 찾는,이국적/이색적,조용한,캐주얼한,숨은맛집,개별룸,콜키지무료,대형룸"
민벅 건대점,서울특별시 광진구 화양동 10-1,,알리오올리오,9900,{'매일': '오전 11시 30분 - 오후 10시 (구정 추석 당일 3시 오픈)'},,,"점심식사,저녁식사,데이트,여자끼리,가족외식,모임,기념일,식사모임,아침식사,이국적/이색적,캐주얼한,고급스러운,젊은사람이많은,깔끔한,모던한,조용한,가성비좋은,규모가큰,서민적인,예쁜,시끌벅적한,무료주차,배달가능,개별룸,현장대기필요"
뉴델리,서울시 동대문구 회기동 3-182,,치킨 탄두리 (한마리),15000,{'매일': '오전 11시 - 오후 10시 '},,,"점심식사,저녁식사,데이트,식사모임,이국적/이색적,깔끔한,캐주얼한"
강릉스낵,서울특별시 양천구 목동 406-65,,직송 모듬 회,60000,"{'월-금': '오후 5시 - 오전 1시 ', '토/일': '오후 4시 - 오전 1시 '}",,,"술모임,점심식사,저녁식사,간식,데이트,아이동반,가족외식,식사모임,혼밥,서민적인,캐주얼한,시끌벅적한,지역주민이찾는,숨은맛집,조용한,예쁜,배달가능"
최고집칼국수,서울특별시 도봉구 창동 443-7,,낙지해물칼국수,10000,{'매일': '오전 11시 - 오후 10시 '},,,"가족외식,점심식사,식사모임,회식,아이동반,저녁식사,술모임,시끌벅적한,서민적인,무료주차"
풀팬,서울특별시 강동구 천호동 427-3,,시금치 플랫브레드,18700,"{'매일': '오전 11시 30분 - 오후 10시 ', '쉬는시간 매일': '오후 3시 30분 - 오후 4시 30분 '}",,,"점심식사,저녁식사,데이트,식사모임,친구들끼리,혼밥,가족외식,여자끼리,브런치,기념일,캐주얼한,숨은맛집,예쁜,시끌벅적한,조용한,고급스러운,이국적/이색적,서민적인,모던한,깔끔한,배달가능,무료주차,좌식"
여기가전집,서울특별시 구로구 구로3동 1124-34,,모둠전,18000,{'월-금': '오후 2시 - 오전 2시 '},,,"저녁식사,술모임,식사모임,시끌벅적한,서민적인,가성비좋은,지역주민이 찾는"
벧엘제과,서울특별시 도봉구 창동,,,,,,,"간식,아침식사,서민적인,지역주민이 찾는,가성비좋은"
서일순대국,서울특별시 구로구 구로동 142-77,,순대국,8000,{'매일': '24시간 영업 '},,,"점심식사,혼술,혼밥,저녁식사,아침식사,서민적인,지역주민이 찾는,푸짐한,깔끔한,가성비좋은,시끌벅적한,조용한,24시간영업,무료주차"
