name,address,category,main_mn,price,opng_tm,rating,rvw_cnt,tags
제이든,서울특별시 강서구 마곡중앙8로 90 마곡아이파크 217호,카페 / 디저트,,,10:00 - 22:00,,5,
본쁠리,서울특별시 강북구 오패산로30길 73 1F,카페 / 디저트,,,월-목: 12:00 - 22:00 금-토: 12:00 - 23:00,,2,
카페 달력,서울특별시 은평구 연서로18길 28-2,카페 / 디저트,,,10:00 - 22:00,3.7,8,
라 쿠치나,서울특별시 용산구 회나무로44길 10,이탈리안,,,12:00 - 22:00,4.3,20,"이탈리안,콜키지가능,발렛가능,"
사월식당,서울특별시 광진구 자양로4길 12-1,회 / 스시,,,18:00 - 01:00,4.0,25,"술집추천,"
천진분식,서울특별시 서대문구 이화여대5길 7,딤섬 / 만두,,,,4.2,16,"2020망고플레이트인기맛집,"
EDEN,서울특별시 송파구 백제고분로7길 24-13 201호,카페 / 디저트,,,11:00 - 24:00,3.7,8,
수정불막창,서울특별시 은평구 연서로29길 11-9,고기 요리,,,16:00 - 24:00,,9,"주먹밥,막창,특별한세상,계란찜,곱창,숯불,"
몬스터플레이스,서울특별시 용산구 청파로43길 70,기타 양식,,,,4.3,18,"2020망고플레이트인기맛집,"
카페미르,서울특별시 강북구 한천로 988,카페 / 디저트,,,,,1,
와레와레쿡,서울특별시 동대문구 망우로21길 52 춘태빌딩 A동 101호,이자카야 / 오뎅 / 꼬치,,,17:30 - 02:00,,9,"초밥,"
노량진할머니왕파전,서울특별시 동작구 만양로 90 2F,한정식 / 백반 / 정통 한식,,,17:00 - 02:00,3.9,14,"2020망고플레이트인기맛집,술집추천,Pajeon,파전,"
스시박사,서울특별시 노원구 상계로 64,회 / 스시,,,11:40 - 23:00,,4,"연어,바자리,초밥,회,"
도우룸,서울특별시 서초구 동광로 99 2F,기타 양식,그릴드 시저 샐러드,15000,11:30 - 22:00,4.4,92,"이탈리안,핫플레이스,2017 인기,베스트이탈리안,데이트,2020망고플레이트인기맛집,수요미식회,리조또,뇨끼,Hottest Restaurants,"
