p_name,address,category,main_mn,price,opng_tm,rating,rvw_cnt,tags,p_id
놀부만두,서울특별시 동대문구 휘경2동 276-33,,냉모밀,6000.0,"{'월-금,일': '오전 11시 - 오후 8시 30분 '}",,,"점심식사,혼밥,저녁식사,간식,지역주민이 찾는,서민적인,시끌벅적한,가성비좋은,푸짐한,가게부근주차가능",721
민벅 건대점,서울특별시 광진구 화양동 10-1,,알리오올리오,9900.0,{'매일': '오전 11시 30분 - 오후 10시 (구정 추석 당일 3시 오픈)'},,,"점심식사,저녁식사,데이트,여자끼리,가족외식,모임,기념일,식사모임,아침식사,이국적/이색적,캐주얼한,고급스러운,젊은사람이많은,깔끔한,모던한,조용한,가성비좋은,규모가큰,서민적인,예쁜,시끌벅적한,무료주차,배달가능,개별룸,현장대기필요",1832
뉴델리,서울시 동대문구 회기동 3-182,,치킨 탄두리 (한마리),15000.0,{'매일': '오전 11시 - 오후 10시 '},,,"점심식사,저녁식사,데이트,식사모임,이국적/이색적,깔끔한,캐주얼한",741
강릉스낵,서울특별시 양천구 목동 406-65,,직송 모듬 회,60000.0,"{'월-금': '오후 5시 - 오전 1시 ', '토/일': '오후 4시 - 오전 1시 '}",,,"술모임,점심식사,저녁식사,간식,데이트,아이동반,가족외식,식사모임,혼밥,서민적인,캐주얼한,시끌벅적한,지역주민이찾는,숨은맛집,조용한,예쁜,배달가능",218
여기가전집,서울특별시 구로구 구로3동 1124-34,,모둠전,18000.0,{'월-금': '오후 2시 - 오전 2시 '},,,"저녁식사,술모임,식사모임,시끌벅적한,서민적인,가성비좋은,지역주민이 찾는",3276
벧엘제과,서울특별시 도봉구 창동,,,,,,,"간식,아침식사,서민적인,지역주민이 찾는,가성비좋은",2019
일성수산,서울특별시 동작구 노량진동 13-8,,"프리미엄 모듬회 (소(500g), 중(750g), 대(1000g))",,"{'월-금': '오전 9시 - 오후 10시 ', '토/일': '오전 8시 - 오후 10시 '}",,,"저녁식사,술모임,회식,데이트,식사모임,가족외식,푸짐한,숨은맛집,깔끔한,지역주민이 찾는,서민적인,시끌벅적한,대형룸,개별룸,넓은좌석,배달가능",3898
대동문,서울시 영등포구 여의도동 35-2 2F (백상빌딩 2층),,어복쟁반(2인),47000.0,"{'매일': '오전 10시 - 오후 10시 ', '토요일': '오전 11시 - 오후 9시 ', '휴무일': '매주 일요일 '}",,,"저녁식사,점심식사,식사모임,술모임,가족외식,회식,혼밥,데이트,서민적인,지역주민이 찾는,조용한,가성비좋은,푸짐한,시끌벅적한,캐주얼한,무료주차,지하주차2시간무료",868
샌드위치 하우스,서울시 성북구 동선동3가 232,,에그샐러드,5500.0,"{'월-금,토': '오전 10시 - 오후 8시 30분 ', '휴무일': '매주 일요일 (설, 추석 휴무)'}",,,"점심식사,혼밥,혼카페,지역주민이 찾는,예쁜,깔끔한,캐주얼한,이국적/이색적,조용한",2413
홍차이 발산본점,서울특별시 강서구 마곡동 795-2,,차돌짬뽕,9500.0,"{'월-금': '오전 11시 - 오후 10시 (2시30분~5시 브레이크타임 9시라스트오더입니다.)', '토/일': '오전 11시 - 오후 9시 (브레이크타임없습니다.8시30분 라스트오더입니다.)'}",,,"저녁식사,점심식사,식사모임,혼밥,회식,가족외식,캐주얼한,푸짐한,조용한,가성비좋은,지역주민이 찾는,격식있는,깔끔한,숨은맛집,무료주차,개별룸",5358
손맛,서울특별시 중랑구 면목동 467-1,,짜조,5000.0,{'매일': '오전 10시 30분 - 오후 9시 30분 (매주목요일휴무)'},,,"저녁식사,점심식사,회식,다이어트식단,혼밥,가족외식,가성비좋은,숨은맛집,이국적/이색적,조용한,캐주얼한,서민적인,푸짐한,지역주민이 찾는",2596
브라더후드키친,서울특별시 강남구 역삼동 810-13,,치킨 & 와플 오리지널,18900.0,{'매일': '정오 12시 - 오후 10시 (Last Oder 21:00)'},,,"저녁식사,점심식사,데이트,기념일,식사모임,간식,술모임,브런치,남자끼리,회식,모임,여자끼리,이국적/이색적,캐주얼한,시끌벅적한,예쁜,고급스러운,푸짐한,깔끔한,서민적인,경관/야경이 좋은,조용한,젊은사람이많은,빈티지,아담한,가성비좋은,야외좌석,무료주차,테이블링,대형좌석,현장대기필요",2159
다미,서울특별시 영등포구 여의도동 36-4 오륜빌딩 1층,,연어생선구이,12000.0,"{'월-금': '오전 11시 30분 - 자정 12시 (14:00-17:00브레이크/공휴일포함)', '휴무일': '매주 토/일 '}",,,"술모임,저녁식사,점심식사,회식,데이트,여자끼리,남자끼리,시끌벅적한,서민적인,캐주얼한,푸짐한,현장대기필요",778
송정식당,서울특별시 종로구 종로5가 443,,불꼬지 백반 1인,7000.0,"{'매일': '오전 8시 - 오후 9시 ', '휴무일': '매주 일요일 '}",,,"점심식사,저녁식사,혼밥,술모임,식사모임,데이트,혼술,아침식사,서민적인,가성비좋은,지역주민이 찾는,시끌벅적한,푸짐한,조용한,숨은맛집,아담한,무료주차",2618
미니회바,서울특별시 강동구 성내동 50-19,,회 스페셜,20000.0,"{'매일': '오후 5시 - 오전 1시 ', '휴무일': '매주 일요일 '}",,,"혼밥,점심식사,술모임,서민적인,깔끔한,조용한,예쁜,아담한,숨은맛집,현장대기필요",1766
육회말연어,서울특별시 관악구 행운동 851-15,,생연어,17000.0,{'매일': '오후 4시 30분 - 오전 2시 '},,,"술모임,저녁식사,데이트,시끌벅적한,조용한,캐주얼한,서민적인,배달가능",3717
공음,서울시 은평구 불광동 268-3,,아메리카노,3500.0,{'매일': '정오 12시 - 오후 10시 (격주 월요일 휴무 )'},,,"혼카페,차모임,간식,조용한,깔끔한,캐주얼한,예쁜,지역주민이 찾는,애완동물동반",389
동해해물,서울특별시 광진구 화양동 37-1,,해물찜,,{'매일': '오전 11시 - 오후 10시 30분 ((명절휴무))'},,,"저녁식사,회식,점심식사,술모임,모임,식사모임,가족외식,실버푸드,남자끼리,지역주민이 찾는,시끌벅적한,서민적인,숨은맛집,아담한,가성비좋은,중년이상이많은,깔끔한,조용한,오래된집,좌식",1100
라 플랑끄,서울특별시 용산구 이태원동 129-9,,오리고기 리예뜨,10000.0,"{'월-금': '오후 5시 - 오후 10시 ', '토요일': '오전 11시 30분 - 오후 10시 ', '일요일': '오전 11시 30분 - 오후 10시 '}",,,"데이트,저녁식사,점심식사,기념일,식사모임,술모임,여자끼리,모임,접대,이국적/이색적,서민적인,예쁜,캐주얼한,푸짐한,모던한,시끌벅적한,숨은맛집,가성비좋은,아늑한,아담한,authentic,조용한,야외좌석,대형룸",1197
느티나무설렁탕,서울특별시 중구 신당동 251-131,,설렁탕,9000.0,"{'매일': '24시간 영업 ', '토요일': '자정 12시 - 오후 8시 ((토 20시~일 8시 휴무))'}",,,"점심식사,저녁식사,데이트,가족외식,혼밥,술모임,식사모임,회식,모임,접대,아침식사,서민적인,푸짐한,숨은맛집,깔끔한,규모가큰,캐주얼한,오래된집,지역주민이 찾는,조용한,시끌벅적한,가성비좋은,토속적인",751
