,u_id,p_id,rating
0,0,3375,3.0
1,0,2778,5.0
2,0,612,5.0
3,0,3949,5.0
4,0,1679,1.0
5,0,4805,5.0
6,0,287,3.0
7,0,3601,5.0
8,0,3526,5.0
9,0,3601,5.0
10,0,3357,5.0
11,0,104,5.0
12,0,2307,5.0
13,0,4345,5.0
14,0,3075,5.0
15,0,1269,5.0
16,0,1714,5.0
17,0,479,5.0
18,0,1186,5.0
19,0,3388,5.0
20,0,5068,5.0
21,0,5264,3.0
22,0,1123,5.0
23,0,3734,5.0
24,0,1904,3.0
25,0,4843,5.0
26,0,616,5.0
27,0,1092,5.0
28,0,3529,5.0
29,0,1254,5.0
30,0,3118,5.0
31,1,3612,5.0
32,2,3441,5.0
33,2,1737,5.0
34,3,5334,5.0
35,4,1127,5.0
36,4,1846,5.0
37,4,3415,5.0
38,4,1666,5.0
39,4,208,5.0
40,4,1846,5.0
41,4,709,3.0
42,4,177,5.0
43,4,3415,5.0
44,4,1846,5.0
45,4,1368,5.0
46,4,2382,5.0
47,4,5153,5.0
48,4,3761,5.0
49,4,3761,5.0
50,4,2910,5.0
51,4,2091,5.0
52,4,177,5.0
53,4,1602,5.0
54,4,3319,3.0
55,4,2702,5.0
56,4,3319,3.0
57,4,1666,5.0
58,5,5298,5.0
59,5,1180,3.0
60,5,4338,5.0
61,5,4836,3.0
62,5,5374,5.0
63,6,5310,3.0
64,6,4870,5.0
65,6,613,5.0
66,6,4783,3.0
67,6,4662,5.0
68,6,5153,5.0
69,6,5026,5.0
70,6,177,5.0
71,6,5163,3.0
72,6,211,3.0
73,6,5058,5.0
74,6,4153,5.0
75,6,1134,3.0
76,6,4153,5.0
77,6,3830,3.0
78,6,1863,5.0
79,6,3308,3.0
80,6,5153,5.0
81,6,3379,5.0
82,6,1169,5.0
83,6,3912,5.0
84,6,1846,5.0
85,6,1679,5.0
86,6,1169,5.0
87,6,4651,5.0
88,6,5251,5.0
89,7,1036,3.0
90,8,1891,5.0
