user_id,title,content,rating,place_name,res_title
bluejay3786,삼성...,"박물관과 전시에 관심이 있다면 반드시 찾아가야 할 곳입니다. 개별 유물과 미술품의 질이 훌륭하며 전시조명을 완벽하게 통제하는 점에선 감탄이 나옵니다. 마리오 보타,장 누벨, 렘 콜하스가 참여한 미술관 건축도 매우 인상적이니 눈여겨 보시기 바랍니다.",4,삼성미술관 리움,삼성미술관 리움
JENAH C,삼성가의 자랑,"삼성에서 하는 미술관이다보니 전체적으로 건물도 내부도 좋아요,. '언덕에 있지만 찾아가기 어렵진 않아요. 가끔 좋은 전시를 할때 찾아가면 좋더라구요, 보통 큰 조형물전시를 많이 해서 사진찍기도 좋아요.,",3,삼성미술관 리움,삼성미술관 리움
마늘씨,삼성에서 운영 중인 미술관,"한국, 그 중 서울을 대표하는 미술관 중 하나이다. 삼성에서 소유하고 있는 미술관으로 한국 전통 미술부터 신세대의 미술까지 다양한 전시가 있다.",5,삼성미술관 리움,삼성미술관 리움
Kylie Park,가끔 방문할만한 곳,"가끔 좋은 기획전을 하면 들르기 좋은 곳이다. 주위에 한강진 맛집, 카페도 가고 이태원을 거쳐 해방촌까지 쭉 걷는 코스가 좋다.",4,삼성미술관 리움,삼성미술관 리움
Mobile754383,구경거리 많아요,외국인 친구랑 갔는데 재밌게 구경하고 왔네요~ 모던한 작품들도 많고 한국적인 작품들도 많이 있어서 데이트 코스로도 좋을것같아요! 굿굿,4,삼성미술관 리움,삼성미술관 리움
"NASIN, 김나신","시끄럽지 않게, 최고의 문화재를 만날 수 있는 장소","국립중앙박물관과 다르게 5000~10000원의 입장료가 있지만 대신 훨씬 조용히, 진짜 아름다운 문화재를 모아 감상할 수 있습니다. 사진촬영이 안 되는 게 아쉽지만 눈으로 봐도 충분히 아쉽지 않을 박물관.",5,삼성미술관 리움,삼성미술관 리움
Antonio77,위치가 끝내줍니다.,"같이 여행했던 동행분이 여기가 풍수지리에 좋다는 말을 하셔서, 그 관점에서 방문해 봤습니다. 좋은 기운을 많이 받을 수 있어서 좋았습니다.",4,삼성미술관 리움,삼성미술관 리움
PJH,프랑스사람도 좋아하는 리움,비즈니스 차 방문한 프랑스 사람이 미술관에 가고 싶다고 하여 리움으로!! 현대적인 건물과 세련미 뿜뿜으로 너무 좋아한다.. 외국에서 손님이 오시거나 관광객들에게 한국을 알리기에도 좋은 장소! 전시품도 다양하게 많고 기획전도 자주 바뀌는 편,5,삼성미술관 리움,삼성미술관 리움
starrr m,감각적인 작품이 많습니다.,감각적인 작품이 많습니다. 생각보다 규모는 크지 않습니다. 미술에 관심이 많다면 들르면 만족할 만한 곳입니다. 입장료가 있습니다.,4,삼성미술관 리움,삼성미술관 리움
TravelRang,삼성미술관 리움,"삼성미술관 리움. 시기별로 전시가 바뀌며 이태원근처에 위치하고 있어서 이태원,한남동 가시는 분은 한번 방문해보세요, 삼성임직원은 무료입장혜택이 있습니다",5,삼성미술관 리움,삼성미술관 리움
KIM Gyunghee,개인 미술관 중 국보급 문화재 다량 보유,"리움 미술관은 건축물이나 야외 조각품도 꽤 훌륭한 곳이에요. 개인미술관이긴 하지만, 소장하고 있는 목록들도 좋은 작품들이 많고요. 국립중앙박물관 갔다가 시간이 되신다면 이어서 가셔도 좋아요. 멀지 않거든요.",5,삼성미술관 리움,삼성미술관 리움
사과얌얌,서울의 사립 현대미술관 중에 최고,"감각적인 구성과 친절한 서비스, 훌륭한 건축물. 그리고 위치는 한남동. 한남동, 이태원 근처에서 시간을 보내기에 더 없이 적절합니다. 어린이를 위한 교육도 많았는데 현재는 진행하지 않는 것으로 알고 있습니다. 삼성의 기술과 제품을 활용한 교육/안내 프로그램 진행이 있어서 눈이 즐겁습니다. 이외에도 멋진 전시 기획과 훌륭한 소장품으로 현대미술을 느낄 수 있습니다.",5,삼성미술관 리움,삼성미술관 리움
