user_id,title,content,rating,place_name,res_title
407yjj,오래됏지만 종류가 많아요,개인적으로는 롯데아쿠아리움이 더 깨끗하고 좋지만 코엑스도 나쁘지 않아요. 우선 물고기 종류가 많고 아이들 즐길 거리도 많거든요.,3,코엑스 아쿠아리움,코엑스 아쿠아리움
hyunaee,서울에 있는 아쿠아리움중에 제일 좋네요,코엑스 구경하다가 우연히 들어가게됐는데 기대이상이였습니다. 다른 아쿠아리움보다 크게 잘 해놔서 오랜만에 시간가는줄 모르고 구경했어요 코엑스 아쿠아리움 강추입니다~~,4,코엑스 아쿠아리움,코엑스 아쿠아리움
sweetchocho,아이들,아이들 어릴때 연간회원권 만들어서 자주 나들이했어요 주차도 할인되니 차 없이 나들이하기 힘들땐 여러모로 유용하더라구요 2년 간 아주 좋았습니다,5,코엑스 아쿠아리움,코엑스 아쿠아리움
sanrio2018,주차가 편해서 자주 가는 곳,스타필드로 바뀌어서 몰링하기 좋지만 아쿠아리움자체는 롯데에 비해서 아쉬움이 있습니다. 하지만 롯데보다 한적하게 관람하기엔 좋아요,3,코엑스 아쿠아리움,코엑스 아쿠아리움
Daniel7artist,가성비가 조금 떨어지는,교통이 편리하고 위치가 좋은건 두말할 필요없지만 가성비가 떨어지는 아쿠아리움이 아닌가 싶다. 옥토넛과 콜라보를 진행하여 새로운 모습을 보여주려 노력하지만 조금 아쉬운 모습인듯 하다.,3,코엑스 아쿠아리움,코엑스 아쿠아리움
My name is Ham,개미지옥을 무사히 ㅠㅠ,"아이가 아쿠아리움을 좋아해서 갔어요. 네이버에서 정오 전에 가는 경우 19,800원에 아이 성인 동일한 요금을 받네요 이제 좀 컸는지 큰 악어나 상어 등을 너무 무서워해요,, 그러려면 왜 여기 왔니 ㅠㅠ 정말 빠르게 빠르게 한시간동안 다 보고 나왔어요. 아이가 어릴때 가야 하는듯요. 저 돈도 아까비 ㅠ",3,코엑스 아쿠아리움,코엑스 아쿠아리움
jihye L,복잡해요,주말에 갔더니 사람이 너무 많아서 제대로 관람을 못했네요.. 관람시간은 평일이나 주말 저녁시간 이후에 방문하는걸 추천합니다.,3,코엑스 아쿠아리움,코엑스 아쿠아리움
caca8309,아이랑 가기좋네요.,아이가 수족관을 좋아해서 자주 가요. 아쿠아리움에 가자고 하네요. 아쿠아리움중에 코엑스가 제일 잘해놓은 것 같아요. 아기자기하게. 좋습니다.,5,코엑스 아쿠아리움,코엑스 아쿠아리움
Lucy L,기대 이상이였던 코엑스 아쿠아리움!,"온라인으로 구매했더니 23.000원 이여서 작거니~ 했는데 스템프찍으면서 돌아다니니까 시간이 금방가더라고요ㅎㅎ 제가 63,여수,제주아쿠아리움도 다 가봤을정도로 아쿠아리움을 좋아해서 그런지 재밌었습니다! 특히 아마존쪽에서는 소리도나서 신기했구요. 예약하면 많이 비싸지않으니 한번 다녀오시길 추천드립니다👍",5,코엑스 아쿠아리움,코엑스 아쿠아리움
agreewithyou,아이와 가기 좋은 곳,다양한 애니메이션과 꾸준하게 콜라보를 진행하고 있어서 방문하는 재미가 있습니다. 제가 갔을 때는 바다탐험대 옥토넛 캐릭터와 콜라보를 하고 있어서 아이가 매우 좋아했습니다.,5,코엑스 아쿠아리움,코엑스 아쿠아리움
형근 김,코엑스 아쿠아리움,우리나라 최고의 수족관입니다. 물고기들도 많지만 수달이나 펭귄도 있어 아이들이 지루해 하지 않고 좋아합니다. 코엑스 몰에 있어서 관람을 마치고 쇼핑을 하거나 식사하기도 편합니다. 아이들이 좋아하는 최소의 코스 같네요!,5,코엑스 아쿠아리움,코엑스 아쿠아리움
yusoooooo,컨셉이 잘 짜여져 있는 곳,"컨셉이 잘 짜여져 있어서 심해부터 아마존, 민물 물고기까지 다양하게 관람할수 있었습니다. 마지막에 있는 펭귄의 재롱을 한참동안 바라보다 나왔네요.",4,코엑스 아쿠아리움,코엑스 아쿠아리움
n2cc,즐거운 수족관 세계,1년에 한번 정도 가면 좋습니다. 특히 애들이 가면 360도 수족관도 있고 신기한 물고기도 많아요,5,코엑스 아쿠아리움,코엑스 아쿠아리움
JAEHHYUK,서울에선 제일 좋은 아쿠아리움,"롯데월드의 롯데 아쿠아리움에 흰고래 벨루가가 전시되어 있다지만 전체적인 균형적인 관람은 코엑스 아쿠아리움이 아직 더 좋은 편입니다. 개인적인 느낌으로 롯데 아쿠아리움이 좁은 공간에 수중 생물들이 스트레스 받는단 느낌이 있다면 코엑스 아쿠아리움은 더 오래되긴 하였으나 규모, 운영 과 관람객들을 위한 구경거리 전체적인 균형이 더 잘 잡혀 있습니다. 코엑스 아쿠아리움에는 듀공의 사촌이라고 할수 있는 매너티 가 전시되어 있습니다. 매너티 역시 듀공 처럼 해우 = 바다소 랍니다. 초식이고 통통하지만",5,코엑스 아쿠아리움,코엑스 아쿠아리움
서초v서울,울아들이 넘 좋아해요,외국인들도 무지ㅜ많이 방문하는걸 보니 인기가 있네요. 코엑스 들르기만하면 보채서 매번 가게돼여. 나름 괜찮은데 가격이 약간 부담이네요 ㅎㅎ,5,코엑스 아쿠아리움,코엑스 아쿠아리움
ken3s,불편한 동선...,어린아이를 동반하여 유모차를 이용하시는분들은 동선의 불편함을 느끼실 듯... 유모차를 끌고 다니기에는 조금 힘들어요!!! 아이동반 아쿠아리움투어는 롯데월드몰 쪽이 더 편리 할듯합니다.,3,코엑스 아쿠아리움,코엑스 아쿠아리움
ㅡ모모ㅡ,역시 아쿠아리움은 아직까지는 코엑스가 낫네요.,"큰 기대를 갖고 최신 오픈한 잠실롯데월드 아쿠아리움도 다녀왔습니다만 구색 맞추기식 전시가 너무나 실망이였고, 스케일도 너무 작아서 실망했었네요. 규모나 운영, 볼거리 등등은 아직까진 코엑스가 더 낫습니다....해외 유명 아쿠라이움처럼 웅장하고 진귀한 내용들과 시설을 기대하지만 우리나라가 근 미래에까지는 힘들듯하구요...아담한 코엑스 아쿠아리움 추천합니다.",4,코엑스 아쿠아리움,코엑스 아쿠아리움
JUSEONG Y,서울에서 수족관구경하고자 한다면~,"코엑스 아쿠아리움이 , 아쿠아리움 중에서 가장 유명한 곳이 아닐까 싶네요. 요새는 여기저기 아쿠아리움이 많이 생기긴 하지만, 서울에서 대중교통으로 접근하기 편하면서 유명하고 시설잘되어있는 곳 중에 가장 대표적일 것입니다. 제가 방문할때는 가족들이랑 방문했는데, 이런데를 잘 와보질 않아서 와서 이것저것 구경해 보니 색다른 경험이었습니다. ^^ 가족들과 연인이랑 물고기랑 수족관 구경하고 싶다면 이곳이지 않을까 싶네요",4,코엑스 아쿠아리움,코엑스 아쿠아리움
Myungshin O,가격대비 괜찮은 곳,가격대비 괜찮아요. 하지만 데이트 장소라기보다는 가족이 오는 것이 좋은 것 같아요. 테마별로 다양하게 되어 있어서 아이들 교육으로 굉장히 괜찮아요. 다만 티켓팅 하는 직원분들이 좀 더 친절했으면 하는 바램이네요~,4,코엑스 아쿠아리움,코엑스 아쿠아리움
클레오,아쿠아리움 레전드~,롯데에도 아쿠아리움이 있지만.. 아무래도 예전부터 있던 삼성 코엑스몰 아쿠아리움이 더 볼 거리가 있어요~,4,코엑스 아쿠아리움,코엑스 아쿠아리움
kyuseon,아이들견학으로도 인기에요,유치원 아이들 견학이 많네요. 잘꾸며져있고 좋아요. 다만 코엑스 입구에서는 거리가 꽤 되는 편이에요,5,코엑스 아쿠아리움,코엑스 아쿠아리움
ayul1,너무 좋았어요,리뉴얼 되고 더 좋아진 것 같아요. 가격이 싼편은 아니지만 돈 아깝지 않게 너무 잘 되어 있어요. 친구들이랑 가기 좋구요 어린 동생이랑 가기에도 너무 좋았어요. 코엑스 내에 기념품 살 수 있는 곳도 있어서 너무 좋답니다.,5,코엑스 아쿠아리움,코엑스 아쿠아리움
ᄌ ᄀ,가깝고 워낙 유명한,쉽게 볼 수 없는 해양 생물들을 구경하기에 좋고 가격은 다소 비싼감이 있으나 아이를 키우는 가족단위ㅇㅔ서 관람하기 좋아요,4,코엑스 아쿠아리움,코엑스 아쿠아리움
mynicknamelol,리뉴얼되고 더 좋아진듯??,아쿠아리움은 학창시절 이후 정말 오랜만에 방문했는데 리모델링을 끝냈는지 더 좋아졌다. 특히 여름날 방문했는데 더위가 싹 가시는 느낌이 들었다.,4,코엑스 아쿠아리움,코엑스 아쿠아리움
MOre B,가격이 좀 비싸요,가격이 좀 비싼편이에요. 하지만 그만큼 속이 꽉찼어요. 가시면 후회는 안할껍니다. 하지만 돈을 아끼자 하시는 분들에게는 그냥 스킵하세요.,4,코엑스 아쿠아리움,코엑스 아쿠아리움
Bora Y,어린이들에게 좋은,어린이들이 구경하기 좋습니다. 한국에 워낙 아쿠아리움이 많아져서 규모가 큰편은 아니지만 아이들이 구경하기는 좋을 것 같습니다.,3,코엑스 아쿠아리움,코엑스 아쿠아리움
luvvparis,아쿠아리움,코엑스에 위치합 아쿠아리움 아이들과 구경하기도 좋고 데이트하기에도 좋은곳 여러가지 다양한 물고기들 볼수있어요,4,코엑스 아쿠아리움,코엑스 아쿠아리움
hongs925,평일권 끊어서 방문하는데 정말 최고입니다.,평일권 끊어서 방문하면 가성비 최고에요. 애랑 종종 방문하는데 중간중간 이벤트도 하고 배고파질때쯤 가볍게 먹을수 있는곳도 있어요. 마지막에 펭귄 정말 귀여워요.,4,코엑스 아쿠아리움,코엑스 아쿠아리움
Chocogodiva,서울 시내의 아쿠아리움,"규모가 크진 않지만, 충분히 즐길만 합니다. 아쿠아리움을 아주 좋아하는 어르들께는 추천드리지만, 다소 실망하실 수 있습니다. 하지만 아이들에게는 강력 추천 드립니다.",5,코엑스 아쿠아리움,코엑스 아쿠아리움
victoria1030,포털사이트에서 예약하고 감,포털에서 예약하면 조금 할인 가능합니다. 대신 약간 아쿠아리움중에 연식이 있는점은 있어요 강남에서 가보기 괜찮아요,4,코엑스 아쿠아리움,코엑스 아쿠아리움
supermin0,서울에서 즐기는 물속 세상,"코엑스에 방문할때 마다 거의 매번 들리는 아쿠아리움입니다. 코스가 길진 않지만 다양한 물고기를 볼수 있는 곳입니다. 동심으로 돌아갈수도 있고, 아이들이 많아서 더 좋은거 같아요",4,코엑스 아쿠아리움,코엑스 아쿠아리움
Ju-yeon Y,롯데 아쿠아리움보다는 규모가 작지만...,롯데월드 아쿠라리움이 생기기 전까지는 코엑스가 당연 일등이었죠~ 다시 가보더라도 규모는 작지만 알차게 보기엔 제격이예요.,4,코엑스 아쿠아리움,코엑스 아쿠아리움
ambition93,아이들에게 좋은 공간입니다,다양한 물고기들이 있어서 구경하기 좋았습니다. 아이들에게 참 좋은 명소인 것 같습니다. 기념품가게도 있습니다.,4,코엑스 아쿠아리움,코엑스 아쿠아리움
Seohyeong J,서울에서 가장 좋은 아쿠아리움,코엑스 아쿠아리움은 서울에서 가장 좋은 아쿠아리움입니다. 삼성 코엑스에 위치해 있어 교통편도 좋고 근처에 맛집도 많아요. 가족과 함께 가도 좋습니다.,4,코엑스 아쿠아리움,코엑스 아쿠아리움
dkfma0657,웅장해요,아쿠아리움은 제주도에있는것만 가봤느데 코엑스는 더 가깝고 좋네요 그런데 사람이 너무 많아요,5,코엑스 아쿠아리움,코엑스 아쿠아리움
또바기예그리나,여기가 낫네요👍,제가 여기는 기대는안하고 갔는데 나름 아이디어작품과 많은 종류를 만날수있었던 곳이네요^^;;; 그 이후에 제 2롯데월드 아쿠아리움를 갔는데..... 코엑스가 수중생물이 더 다양하고 크기도 크고 인테리어를 이용해서 다양한 볼거리가있어 괜찮은거같습니다! 특히! 아이들한테는 더더욱👍,5,코엑스 아쿠아리움,코엑스 아쿠아리움
Ji Eun C,어린아기에게 적당한 아쿠아리움,서울에 있는 다른 아쿠아리움 대비 규모가 작지만 아기자기하고 다양한 즐길거리가 있어 나이가 좀 어린 아기들이 즐기기에 적당한 것 같아요,4,코엑스 아쿠아리움,코엑스 아쿠아리움
HelloPYO,외국 업체 바이어와 함께한 아쿠아리움,"해외 업체의 바이어가 방문해서 코엑스에서 식사 후, 아쿠아리움을 갔습니다. 사실은 시간 때우기가 목적이었는데, 굉장히 만족하더라구요. 하지만 한 가지 아쉬운건 요금이..너무 비쌉니다. 할인 수단을 많이 만들어줬으면 하네요...^^",3,코엑스 아쿠아리움,코엑스 아쿠아리움
강한여자,오래된 아쿠아리움,가족들과 나들이 가기에 좋은 곳입니다. 도심에 있어 교통도 편해서 접근성이 좋아서 편합니다. 또한 코엑스몰에 소재하고 있어서 다른 볼거리 즐길거리 먹거리도 있어 겸사겸사 시간을 보낼 수 있습니다. 외국에서도 아쿠아리움은 가족들과 함께 많이 방문했었는데 코엑스 아쿠아리움 역시 손색없다는 느낌이 들 정도로 잘 정비되고 여러가지 테마로 잘 꾸며놓긴 했는데 노후하다는 느낌이 들긴 합니다.,4,코엑스 아쿠아리움,코엑스 아쿠아리움
마노,"아이들과 장마철, 겨울철 굿",롯데 아쿠아리움보다 규모면에서는 더 큽니다. 시설은 오래되었지만 잘 관리되고 있고 물고기 수족관도 아주 다양합니다. 한바퀴 도는ㄷ 2시간 정도 잡으시면 되고 아이들이 있는경우 더 걸립니다,5,코엑스 아쿠아리움,코엑스 아쿠아리움
Stereos,오래됐죠.,"요즘은 제주도에도 크게 생긴 아쿠아리움 있던데, 서울에선 여기만큼 접근성 좋은 곳이 없죠.",3,코엑스 아쿠아리움,코엑스 아쿠아리움
