user_id,title,content,rating,place_name,res_title
"NASIN, 김나신",경희대학교의 어원이 된 장소,오래된 궁궐은 아닙니다. 최근에 복원한 곳이에요. 그래도 다른 궁궐에 비해 사람이 적고 한가해 여유롭게 둘러보기 좋습니다. '경희대학교'의 어원이 된 장소이기도 합니다.,4,경희궁 흥화문,경희궁
agc,고궁 방문,서대문역에서 걸어서 금방 도착할 수 있다 서울의 다른 궁에 비해 방문객이 적어 아주 한적하게 돌아볼 수 있었다 입장료도 무료,5,경희궁 흥화문,경희궁
bluejay3786,"서울사람들에게도 잊혀진 궁궐, 경희궁",조선 5대 궁궐 중 '서궐'이라고 불렸던 경희궁은 일제에 의해 많은 부분 훼손되어 현재는 남아 있는 건물이 그다지 많지 않습니다. 복원 계획이 잡혀 있긴 하지만 너무나도 오랜 시간과 예산이 소요될 것이기에 그저 안타까울 뿐입니다. 서울 사람들도 잘 모르는 곳이다 보니 조용하기보다는 적막한 곳에 가깝습니다. 근처에 있는 서울역사박물관에 경희궁 복원 모형을 전시하고 있는데 한 번쯤 가셔서 직접 보시길 권합니다. * 추천 장소 1. 경희궁 서암 2. 경희궁 방공호,4,경희궁 흥화문,경희궁
SOULSEOUL,숨겨진 보물같은 고궁,"도심속 피난처 타 고궁대비 덜유명하여 사람도 별로없으며 내부가 넓어 쉴곳이 많음 단, 11월까지 공사를하여 건물 진입이 다소힘듬",5,경희궁 흥화문,경희궁
J J,산책하기 좋음,점심 때 산책하기 좋은 궁. 궁 뒤로 걸을 수 있는 길이 잘 마련돼있어 여유롭게 걷기 좋다.,4,경희궁 흥화문,경희궁
"NASIN, 김나신",경희대학교의 어원이 된 장소,오래된 궁궐은 아닙니다. 최근에 복원한 곳이에요. 그래도 다른 궁궐에 비해 사람이 적고 한가해 여유롭게 둘러보기 좋습니다. '경희대학교'의 어원이 된 장소이기도 합니다.,4,경희궁 흥화문,경희궁
agc,고궁 방문,서대문역에서 걸어서 금방 도착할 수 있다 서울의 다른 궁에 비해 방문객이 적어 아주 한적하게 돌아볼 수 있었다 입장료도 무료,5,경희궁 흥화문,경희궁
bluejay3786,"서울사람들에게도 잊혀진 궁궐, 경희궁",조선 5대 궁궐 중 '서궐'이라고 불렸던 경희궁은 일제에 의해 많은 부분 훼손되어 현재는 남아 있는 건물이 그다지 많지 않습니다. 복원 계획이 잡혀 있긴 하지만 너무나도 오랜 시간과 예산이 소요될 것이기에 그저 안타까울 뿐입니다. 서울 사람들도 잘 모르는 곳이다 보니 조용하기보다는 적막한 곳에 가깝습니다. 근처에 있는 서울역사박물관에 경희궁 복원 모형을 전시하고 있는데 한 번쯤 가셔서 직접 보시길 권합니다. * 추천 장소 1. 경희궁 서암 2. 경희궁 방공호,4,경희궁 흥화문,경희궁
SOULSEOUL,숨겨진 보물같은 고궁,"도심속 피난처 타 고궁대비 덜유명하여 사람도 별로없으며 내부가 넓어 쉴곳이 많음 단, 11월까지 공사를하여 건물 진입이 다소힘듬",5,경희궁 흥화문,경희궁
J J,산책하기 좋음,점심 때 산책하기 좋은 궁. 궁 뒤로 걸을 수 있는 길이 잘 마련돼있어 여유롭게 걷기 좋다.,4,경희궁 흥화문,경희궁
"NASIN, 김나신",경희대학교의 어원이 된 장소,오래된 궁궐은 아닙니다. 최근에 복원한 곳이에요. 그래도 다른 궁궐에 비해 사람이 적고 한가해 여유롭게 둘러보기 좋습니다. '경희대학교'의 어원이 된 장소이기도 합니다.,4,경희궁 흥화문,경희궁
agc,고궁 방문,서대문역에서 걸어서 금방 도착할 수 있다 서울의 다른 궁에 비해 방문객이 적어 아주 한적하게 돌아볼 수 있었다 입장료도 무료,5,경희궁 흥화문,경희궁
bluejay3786,"서울사람들에게도 잊혀진 궁궐, 경희궁",조선 5대 궁궐 중 '서궐'이라고 불렸던 경희궁은 일제에 의해 많은 부분 훼손되어 현재는 남아 있는 건물이 그다지 많지 않습니다. 복원 계획이 잡혀 있긴 하지만 너무나도 오랜 시간과 예산이 소요될 것이기에 그저 안타까울 뿐입니다. 서울 사람들도 잘 모르는 곳이다 보니 조용하기보다는 적막한 곳에 가깝습니다. 근처에 있는 서울역사박물관에 경희궁 복원 모형을 전시하고 있는데 한 번쯤 가셔서 직접 보시길 권합니다. * 추천 장소 1. 경희궁 서암 2. 경희궁 방공호,4,경희궁 흥화문,경희궁
SOULSEOUL,숨겨진 보물같은 고궁,"도심속 피난처 타 고궁대비 덜유명하여 사람도 별로없으며 내부가 넓어 쉴곳이 많음 단, 11월까지 공사를하여 건물 진입이 다소힘듬",5,경희궁 흥화문,경희궁
J J,산책하기 좋음,점심 때 산책하기 좋은 궁. 궁 뒤로 걸을 수 있는 길이 잘 마련돼있어 여유롭게 걷기 좋다.,4,경희궁 흥화문,경희궁
"NASIN, 김나신",경희대학교의 어원이 된 장소,오래된 궁궐은 아닙니다. 최근에 복원한 곳이에요. 그래도 다른 궁궐에 비해 사람이 적고 한가해 여유롭게 둘러보기 좋습니다. '경희대학교'의 어원이 된 장소이기도 합니다.,4,경희궁 흥화문,경희궁
agc,고궁 방문,서대문역에서 걸어서 금방 도착할 수 있다 서울의 다른 궁에 비해 방문객이 적어 아주 한적하게 돌아볼 수 있었다 입장료도 무료,5,경희궁 흥화문,경희궁
bluejay3786,"서울사람들에게도 잊혀진 궁궐, 경희궁",조선 5대 궁궐 중 '서궐'이라고 불렸던 경희궁은 일제에 의해 많은 부분 훼손되어 현재는 남아 있는 건물이 그다지 많지 않습니다. 복원 계획이 잡혀 있긴 하지만 너무나도 오랜 시간과 예산이 소요될 것이기에 그저 안타까울 뿐입니다. 서울 사람들도 잘 모르는 곳이다 보니 조용하기보다는 적막한 곳에 가깝습니다. 근처에 있는 서울역사박물관에 경희궁 복원 모형을 전시하고 있는데 한 번쯤 가셔서 직접 보시길 권합니다. * 추천 장소 1. 경희궁 서암 2. 경희궁 방공호,4,경희궁 흥화문,경희궁
SOULSEOUL,숨겨진 보물같은 고궁,"도심속 피난처 타 고궁대비 덜유명하여 사람도 별로없으며 내부가 넓어 쉴곳이 많음 단, 11월까지 공사를하여 건물 진입이 다소힘듬",5,경희궁 흥화문,경희궁
J J,산책하기 좋음,점심 때 산책하기 좋은 궁. 궁 뒤로 걸을 수 있는 길이 잘 마련돼있어 여유롭게 걷기 좋다.,4,경희궁 흥화문,경희궁
"NASIN, 김나신",경희대학교의 어원이 된 장소,오래된 궁궐은 아닙니다. 최근에 복원한 곳이에요. 그래도 다른 궁궐에 비해 사람이 적고 한가해 여유롭게 둘러보기 좋습니다. '경희대학교'의 어원이 된 장소이기도 합니다.,4,경희궁 흥화문,경희궁
agc,고궁 방문,서대문역에서 걸어서 금방 도착할 수 있다 서울의 다른 궁에 비해 방문객이 적어 아주 한적하게 돌아볼 수 있었다 입장료도 무료,5,경희궁 흥화문,경희궁
bluejay3786,"서울사람들에게도 잊혀진 궁궐, 경희궁",조선 5대 궁궐 중 '서궐'이라고 불렸던 경희궁은 일제에 의해 많은 부분 훼손되어 현재는 남아 있는 건물이 그다지 많지 않습니다. 복원 계획이 잡혀 있긴 하지만 너무나도 오랜 시간과 예산이 소요될 것이기에 그저 안타까울 뿐입니다. 서울 사람들도 잘 모르는 곳이다 보니 조용하기보다는 적막한 곳에 가깝습니다. 근처에 있는 서울역사박물관에 경희궁 복원 모형을 전시하고 있는데 한 번쯤 가셔서 직접 보시길 권합니다. * 추천 장소 1. 경희궁 서암 2. 경희궁 방공호,4,경희궁 흥화문,경희궁
SOULSEOUL,숨겨진 보물같은 고궁,"도심속 피난처 타 고궁대비 덜유명하여 사람도 별로없으며 내부가 넓어 쉴곳이 많음 단, 11월까지 공사를하여 건물 진입이 다소힘듬",5,경희궁 흥화문,경희궁
J J,산책하기 좋음,점심 때 산책하기 좋은 궁. 궁 뒤로 걸을 수 있는 길이 잘 마련돼있어 여유롭게 걷기 좋다.,4,경희궁 흥화문,경희궁
"NASIN, 김나신",경희대학교의 어원이 된 장소,오래된 궁궐은 아닙니다. 최근에 복원한 곳이에요. 그래도 다른 궁궐에 비해 사람이 적고 한가해 여유롭게 둘러보기 좋습니다. '경희대학교'의 어원이 된 장소이기도 합니다.,4,경희궁 흥화문,경희궁
agc,고궁 방문,서대문역에서 걸어서 금방 도착할 수 있다 서울의 다른 궁에 비해 방문객이 적어 아주 한적하게 돌아볼 수 있었다 입장료도 무료,5,경희궁 흥화문,경희궁
bluejay3786,"서울사람들에게도 잊혀진 궁궐, 경희궁",조선 5대 궁궐 중 '서궐'이라고 불렸던 경희궁은 일제에 의해 많은 부분 훼손되어 현재는 남아 있는 건물이 그다지 많지 않습니다. 복원 계획이 잡혀 있긴 하지만 너무나도 오랜 시간과 예산이 소요될 것이기에 그저 안타까울 뿐입니다. 서울 사람들도 잘 모르는 곳이다 보니 조용하기보다는 적막한 곳에 가깝습니다. 근처에 있는 서울역사박물관에 경희궁 복원 모형을 전시하고 있는데 한 번쯤 가셔서 직접 보시길 권합니다. * 추천 장소 1. 경희궁 서암 2. 경희궁 방공호,4,경희궁 흥화문,경희궁
SOULSEOUL,숨겨진 보물같은 고궁,"도심속 피난처 타 고궁대비 덜유명하여 사람도 별로없으며 내부가 넓어 쉴곳이 많음 단, 11월까지 공사를하여 건물 진입이 다소힘듬",5,경희궁 흥화문,경희궁
J J,산책하기 좋음,점심 때 산책하기 좋은 궁. 궁 뒤로 걸을 수 있는 길이 잘 마련돼있어 여유롭게 걷기 좋다.,4,경희궁 흥화문,경희궁
"NASIN, 김나신",경희대학교의 어원이 된 장소,오래된 궁궐은 아닙니다. 최근에 복원한 곳이에요. 그래도 다른 궁궐에 비해 사람이 적고 한가해 여유롭게 둘러보기 좋습니다. '경희대학교'의 어원이 된 장소이기도 합니다.,4,경희궁 흥화문,경희궁
agc,고궁 방문,서대문역에서 걸어서 금방 도착할 수 있다 서울의 다른 궁에 비해 방문객이 적어 아주 한적하게 돌아볼 수 있었다 입장료도 무료,5,경희궁 흥화문,경희궁
bluejay3786,"서울사람들에게도 잊혀진 궁궐, 경희궁",조선 5대 궁궐 중 '서궐'이라고 불렸던 경희궁은 일제에 의해 많은 부분 훼손되어 현재는 남아 있는 건물이 그다지 많지 않습니다. 복원 계획이 잡혀 있긴 하지만 너무나도 오랜 시간과 예산이 소요될 것이기에 그저 안타까울 뿐입니다. 서울 사람들도 잘 모르는 곳이다 보니 조용하기보다는 적막한 곳에 가깝습니다. 근처에 있는 서울역사박물관에 경희궁 복원 모형을 전시하고 있는데 한 번쯤 가셔서 직접 보시길 권합니다. * 추천 장소 1. 경희궁 서암 2. 경희궁 방공호,4,경희궁 흥화문,경희궁
SOULSEOUL,숨겨진 보물같은 고궁,"도심속 피난처 타 고궁대비 덜유명하여 사람도 별로없으며 내부가 넓어 쉴곳이 많음 단, 11월까지 공사를하여 건물 진입이 다소힘듬",5,경희궁 흥화문,경희궁
J J,산책하기 좋음,점심 때 산책하기 좋은 궁. 궁 뒤로 걸을 수 있는 길이 잘 마련돼있어 여유롭게 걷기 좋다.,4,경희궁 흥화문,경희궁
