user_id,title,content,rating,place_name,res_title
LEE HOWON,도심 가운데서 자연과 여유를 만끽할 곳,"이곳은 연인, 가족, 친구 그 어떤 분들끼리 와도 심신을 풀어주는 힐링의 역할을 제대로 해주는 곳입니다. 밤 새워 거닐 수 있고 사랑을 속삭이기 좋은 곳이죠.",5,북서울 꿈의숲,꿈의 숲
AnnaP,정말 휴식이되었던 하루였다.,한국 도착후 며칠간 박물관이며 빌딩숲을 헤메고 다녔다. 애들도 나도 자연이 그리울때쯤 결정한 하루 여행이었다. 여러가지의 휴식 공간이며 잘설계된 건축물들은 아이들의 호기심과 관심을 끌기에 충분했다. 잔잔한 호수를 바라봄면서 뽑아내는 분수의 물줄기를 바라보면서 즐거워 하늠 아이들을 보며 뿌듯한 하루를 보낼수 있었다. 다음번에 서울을 방문하면 가족들과 함께 소품을 가도 아주 좋을듯하다.,5,북서울 꿈의숲,꿈의 숲
"NASIN, 김나신",조용하고 인상적인 북서울 꿈의 숲,"북서울 꿈의 숲. 무료전망대와 호수, 작은 정자까지. 대단한 볼거리는 아니지만 특유의 감성과 조용한 분위기가 아름다워 또 가고 싶어지게 만드는 곳입니다.",4,북서울 꿈의숲,꿈의 숲
sweetchocho,추석 방문,가족끼리 갔음 입구에 쓰레기장 냄새가 너무 나서 불쾌... 공원은 정말 잘 되어 있지만 입구에서 주는 불쾌함 다시 돌아갈때 또 맡아야하는 괴로움.... 아이들과 함께 하며 너무 이해 안갔던 상황....,2,북서울 꿈의숲,꿈의 숲
Andrew_Snail,가족과 설날 연휴에 갔다,강아지를 데리고 설날 연휴에 갔다. 아마 4번째 방문이라고 생각된다. 강북에서 제일 잘해놓은 공원이다. 전망대에는 커피숍이 있고 한눈에 내려다보인다. 올라가기 쉽게 엘리베이터도 설치되어 있다. 산책하기도 좋게 만들어져 있다. 꼭 한번은 방문해야할 좋은 공원이라고 생각한다.,5,북서울 꿈의숲,꿈의 숲
언니들의히어로,북서울 꿈의숲,산책하기 정말 좋은곳 가족 친구 연인 많은사람들이 찾는곳 버스타고 오기도 좋고 차량이용시 주차장이 있기 때문에 편리함 미아사거리 역과도 차로 가까운거리라 데이트코스로는 안성맞춤 주말에는 차량이 많으니 버스추천,4,북서울 꿈의숲,꿈의 숲
123minyy,"가족, 커플들 산책하기 좋아요",공원길이 잘 되어있어서 산책하기 좋아요. 유모차도 대여해줘서 어린아이 있는 가족이 와도 좋네요. 가을 단풍이 예쁠때 오면 더욱 좋습니다,5,북서울 꿈의숲,꿈의 숲
윤희 조,가볍게 산책하기 좋아요,"부모님, 아이들과 방문했습니다. 공원이 많이 크지 않아서 한바퀴 도는데 체력적으로 부담 없었습니다. 사슴도 봤는데 아이들이 아주 좋아했어요. 전망대 가는길에 타는 경사 엘리베이터 또한 새로운 경험이라 좋았습니다.",5,북서울 꿈의숲,꿈의 숲
640lims,조카랑 같이 방문~,유모차 대여도 해주고 진짜 좋은 곳이다 날씨가 서늘해줘서 산책 하기 너무 좋다~ 여러 행사도 하고 정말 즐겁게 산책^^ 행복한 휴일 보내는중,5,북서울 꿈의숲,꿈의 숲
HAEJIN JUN,북서울꿈의숲,아름다운 풍경과 걸을 수 있는 보도가 잘 되어있는 곳. 꿈의숲에 가면 마음이 차분해지고 행복해져요 :),5,북서울 꿈의숲,꿈의 숲
윤희 조,가볍게 산책하기 좋은 공원,"사슴 보고, 공원 한바퀴 산책하면 좋아요 날이 따뜻하면 돗자리 펴놓고 간식 먹기 좋고 여름엔 아이들 물놀이 하기도 좋아요 단, 사람이 너무 많아서 불편하네요 주말엔 주차 하기도 힘들어요",4,북서울 꿈의숲,꿈의 숲
노진,공짜 입장 치고는 완벽한 놀이 시설,"꼭대기 건물 안밖에, 비스듬히 올라가는 승강기가 있다. 케이블카처럼 투명해, 그 안에서 낮 경치/밤 경치를 즐길 수 있다. 건물 안 장애인용 승강기 앞에 피아노가 열려 있었는데, 내가 뚱땅거린 뒤용기 있는 몇이 듣기 좋은 소리를 들려 주었다. drama Iris 촬영지들 중 하나라, 꼭대기에 그 홍보물을 붙여놓았다. 그 밑의 중식당 미림(Mayrin)에서 근사한 중식을 즐기고 가벼운 등산으로 차 나가는 곳까지 걷다 보니, 오른쪽에 brand new 한옥이 보였다.",5,북서울 꿈의숲,꿈의 숲
whiskers16,산책하고 쉬기 좋은 북서울 숲,예전 놀이공원 부지를 이용하여 만든 숲입니다. 공원과 연못 산책로로 조성되어 있습니다. 벤치도 있지만 사람이 많아서 앉기 힘들수도 있습니다. 일부 잔디밭엔 들어가는것이 허용되기때문에 돗자리를 챙겨가세요,5,북서울 꿈의숲,꿈의 숲
간헐적노마드,북서울 꿈의 숲,자전거를 타고 가다 발견하게 된 꿈의 숲. 예전엔 드림랜드가 있던 곳으로 매우 넓은 부지에 공원이 형성되어 있다. 엄청나게 넓은 잔디밭과 호수가 인상적이며 많은 어린아이들이 뛰어놀기에 좋다.,5,북서울 꿈의숲,꿈의 숲
VillageMan,강북의 숲공원,"* 봄에는 벛꽃이 많이 피어 경치가 아름답습니다. * 여름에는 아이들이 크지는 않지만 물놀이를 즐길수 있는 분수대와 얕은 물이 들어 있는 장소가 있고, 넓은 잔디밭이 있어 자유롭게 뛰어 놀수 있습니다. * 가을에서 넓은 잔디밭에서 마음껏 뛰어 놀수 있습니다. * 겨울에는 연을 날리는 사람들이 많이 있습니다. ** 주차장이 좁습니다. 대중 교통을 이용하세요 미아사거리에서 5번 마을버스가 있습니다. ** 여름에는 그늘 천막을 가지고 오시면 좀 더 유용합니다.",5,북서울 꿈의숲,꿈의 숲
gogoTJ,꿈의 숲,매우 깔끔하게 잘 관리되어 있는 공원입니다. 구경하기에도 운동하기에도 좋고 중간중간에 앉아서 쉴 수 있는 곳도 충분합니다.,5,북서울 꿈의숲,꿈의 숲
민영 김,여유로운 시간을 즐기다왔습니다.,남자친구랑 서울 내에 공기좋고 탁 트인곳이 어디있을까 찾아본 후에 가게 되었습니다. 원터치형 텐트를 가져가서 설치 후에 편하게 쉬었었구요~ 서울 내 다른 숲들과는 다르게 규모도 꽤 크고 조성이 잘 되어 있어 한바퀴 둘러보는데도 시간이 꽤 걸렸네요. 무대같은것도 있었는데 시간대 별로 공연도 하는거 같더라구요. 산책하고 공연도 보고 여유로운 시간을 즐기다왔습니다.,4,북서울 꿈의숲,꿈의 숲
Shintokki,날씨가 좋은날 운동겸 산책하기 최고,가끔 시간내서 들릅니다. 운동겸 산책하기도 좋고 안전하니까요. 여름에는 텐트치고 쉬는 사람들도 많습니다. 콘서트도 진행되고요. 다만 자전거를 탈수없어 아쉬워요.,4,북서울 꿈의숲,꿈의 숲
JHL,서울의 대표적인 공원,서울에는 거대한 공원이 몇 군데 있습니다. 이것은 그들 중 하나입니다. 그리고 나는 이것이 최고의 공공 공원이라고 생각합니다.  - 위치는 관광지와는 거리가 멀다. 6 호선 Dolgoji 역이 가장 가깝습니다. 그러나 걷기에는 너무 멀습니다. # 147 버스를 타고 거기에 도착하십시오.  - 공원의 하이라이트는 무료 전망대입니다. 그것은 언덕 위에 있고 당신은 거기에 도착하기 위해 2 개의 케이블카에 들어가야한다. 건강하면 걷기가 더 빠르며 빠릅니다. 열린 전망대의 전망이 훌륭합니다.  -,5,북서울 꿈의숲,꿈의 숲
dev_ehsan,서울에서 두 번째로 좋아하는 공원,"내가 뭐라 할 수 있니? 이 곳은 고통스럽게 과소 평가되었는데, 사람들이 그것에 대해 충분히 말하지 않는 이유는 무엇입니까? 아름답습니다. 그 곳의 모든 지점이 아름답습니다. 가을 단풍 시즌에 방문 했으므로 예상했던 것보다 더 아름다워졌습니다. 그것은 또한 강아지 주인을위한 매력이기 때문에 당신은 귀여운 강아지가 주변을 걷고있는 것을 볼 것입니다, 매우 평화 롭고 아주 멋진 것입니다!",5,북서울 꿈의숲,꿈의 숲
LASeoulGuy,과소 평가 및 산책하기 좋은 곳,"또한 몇 가지 놀라운 사람들이 그에 대해. 큰 공원이 많이 있고, 한옥, 분수, 아이들이 박물관, 카페, 그리고 가장 좋은 점은: 서울의 좋은 샷 을 할 수 있는 것이 있었습니다. 전체를 볼 수 있는 거리에서 롯데 타워 건물도 강북 참조하십시오. 가장 좋은 점은 이 곳이 무료! 여기에 주차 하는 경우, 이. 300 매 10분. 특히 이곳을 추천하는 매우 특별한 사람과 가족.",5,북서울 꿈의숲,꿈의 숲
kimahrikku,서울에서 가장 큰 공원,"서울에서 가장 큰 공원 (서울 숲, 한강 공원, 올림픽 공원... ) 꿈의 숲은 아마도 가장 잘 알려진 곳입니다. 이 때문에 이 부분이 상당히 저개발 의 북동부 위치합니다. 경험하고 싶다면 한국에 있는 많은 사람들에게, 북동부 는 서울에 몇 시간 동안은 좋은 생각이: 대부분의 도시의 다른 관광지들에 위치한 부자 동네에 더, ""기존"" 및 ""향수"" (남대문, 인사동) 또는 관광명소가 있는 느낌이 조금 들 위해 설계되었습니다. 꿈의 숲을 산책하는 완벽한 기회가 더 작은 면이, 작은 상점들과 함께 외국",5,북서울 꿈의숲,꿈의 숲
