user_id,title,content,rating,place_name,res_title
Traveling Mario,빅벤은 수리 중,"템즈 강 건너에서 국회의사당과 빅벤을 배경으로 사진을 찍는 것이 런던의 가장 대표적인 기념사진인데, 빅벤이 수리 중이라서 그 유명한 차임 소리도 들을 수 없고, 시계탑을 볼 수도 없습니다.",4,국회의사당,영국국회의사당
CircleCuty,말이 더 필요한가요? 이곳엔 꼭 방문해보세요.,들어가지 않아도 겉에서만 봐도 아주 멋진 곳입니다. 버스를 타고 지나가면서도 봐도 만족할 것입니다. 말이 더 필요한가요? 이곳엔 꼭 방문해보세요.,5,국회의사당,영국국회의사당
kriss,국회의사당 투어 강추~,출국전에 국회의사당 투어 신청하고 꼭 티켓 출력해서 가져가야한다. 방문 당일 아침에 프린트 해오라는 이메일 확인하고 부랴부랴 호텔 프론트에 부탁해서 프린트해서 갔다. 프린트 안 해가면 웨스트민스터 지하철역 옆에 붙은 안내소 까지 다시 가서 프린트 해서 입구로 가야하는데 왕복 10분 넘게 걸리니 기억하시기를..... 국회의사당 투어는 가이드 투어가 좀 더 비싼데 뉴스에서 영국총리가 핏대 세우면서 스피치하는 초록색 의자들 가득한 House of Commons 회의실이 관람가능하다. 완전 치사하게,5,국회의사당,영국국회의사당
tripsk,그냥 랜드마크,빅벤과 함께 보이는 런던의 랜드마크. 런던의 역사가 들어 있겠지만 관광객에는 단순한 랜드마크입니다. 건물이 멋있는건 인정합니다.,2,국회의사당,영국국회의사당
권다빈,런던아이에 타서 봤습니다.,런던아이를 탑승하여 공사중이지만 빅벤과 함께 봤는데 앞에 강과 어우러져 더 아름답습니다. 다음에 방문하게 되면 또 보고 싶습니다.,4,국회의사당,영국국회의사당
wangsipri,런던의 상징,"런던의 상징과 같은 건물인데, 제가 방문했을 때는 공사중이라 빅밴 부분이 거의 가려져 있어서 실망했어요. 2021년까지 공사할 예정이라고 하니 참고하시기 바라요. 하지만 국회의사당 건너편에서 바라보는 야경은 여전히 너무나 멋졌어요.",5,국회의사당,영국국회의사당
Sunghee,야경이 멋진,런던하면 가장 먼저 떠오르는 장소입니다. 템즈강 건너편에서 영국 국회의사당 배경으로 밤에 사진을 찍으면 인생샷 건질 수 있습니다.,5,국회의사당,영국국회의사당
희영 장,제일 좋은 곳,영국 런던 여행 중에서 제일 기억에 남는 곳인데 에피소드가 있었어요. 쇼핑백을 들고 가다가 이 앞에서 쇼핑백이 찢어지는 바람에 기억에 많이 남네요.,5,국회의사당,영국국회의사당
AA A,잠깐 보기에는 괜찮습니다.,"처음 5분 와~~ 하고는 별다른 감흥은 없습니다. 하지만, 사진은 넘 예쁘게 나오구요, 빅벤이 수리중이라 아쉬웠습니다. 트라팔가 광장이랑 내셔널 갤러리, 버킹검 궁전 모두 하루에 산책하면서 즐길 수 있는 거리 입니다.",3,국회의사당,영국국회의사당
heefeel,공사중이라 못 봤습니다.,제가 갔을 때 공사중이라 제대로 못 봤습니다. 공사현장 사진만 찍어와서 아쉬움이 크게 남네요. 다음에 다시 가서 야경 사진을 제대로 찍어보고 싶어요.,3,국회의사당,영국국회의사당
hyomin78,너무 멋진 건축물,국회의사당으로는 규모가 상당히 큰듯. 멀리서 사진을 찍어야 됨. 가까이서 보기에는 조금 감흥이 떨어질 수도 있음. 지하철역에서 나오면 바로 보임. 현재 바로옆의 빅벤이 공사중이라 실망스러웠지만 그래도 멋짐,5,국회의사당,영국국회의사당
arcticnova,빅벤은 공사중..,빅벤은 공사중이어서 천막으로 둘러쌓여 있었고 볼 수 없었습니다. 멀리서 국회의사당 건물만 보고 왔네요.,3,국회의사당,영국국회의사당
Sunshine744483,영화에서 봤던곳,영화에서 봤던 건물이네요 런던 오셨으면 꼭 들려야할 명소! 강력 추천해요! 너무 이쁩니다!!,5,국회의사당,영국국회의사당
Joonhee K,With 빅벤,빅벤과 붙어있는 국회의사당. 빅벤과 마찬가지로 웅장함. 다리에서 사진 찍음 잘나오나 단짝 빅벤이 공사중이라 현재는 사진건지기 어려움.,5,국회의사당,영국국회의사당
eypark94,개인 방문,방문 당시 시위가 있었을 예정이라 자세하게 볼수 있는 기회가 없어 조금 아쉬웟습니다. 담을 기약하며,3,국회의사당,영국국회의사당
Glgl,빅 벤과 함께,영화에서도 배경이 되었던 국회의사당 입니다. 아주 웅장하고 멋집니다. 강 건너편에서 보면 너무 작게보여 좀 아쉬웠어요.,4,국회의사당,영국국회의사당
LUCETEMIN,영국 국회의사당,"빅벤, 런던아이랑 묶어서 일정에 넣는 것을 추천해요. 건축물이라서 별 감흥 없긴 한데, 그래도 영국 갔으니 한번쯤 가보시는 것을 추천합니다.",3,국회의사당,영국국회의사당
skarlfk,빅벤,드라마에서만 보던 빅벤을 실제로봐서 감동이였습니다 고작 시계탑일뿐인데 위엄이 굉장합니다^^,5,국회의사당,영국국회의사당
nayepp,너무 멋져요,"낮에보아도 밤에 보아도 너무 너무 크고 멋진 건물이며 야경이 특히 아름다웠다, 빅토리아 왕조 최초의대규모 건축물이며 세계문화유산이여서그런지 평생 잊을수없는 멋진건물이었다.",4,국회의사당,영국국회의사당
ye0ngjus,국회의사당,여기도 역시나 지금 공사중이라 전체 온전한 모습을 볼 수 없는게 아쉽다. 4년전 방문했을때는 빅벤과 국회의사당 전체에 밤에 불이 켜진 모습이 진짜 너무나도 멋졌는데 그 느낌을 이번엔 받지 못해 아쉬웠다. 공사가 끝난 후 나중에 다시 한 번 그 느낌을 느끼러 런던을 가고 싶다.,3,국회의사당,영국국회의사당
Boram J,투어도 할 수 있어요 ~,"빅벤쪽은 영국시민 만 입장할 수 있지만, 이곳은 미리 예약하고 방문이 가능합니다. 다만 내가 방문하기 직전에 테러로 예약이 취소 되어 안에는 관람하지 못했다. 애프터눈 티를 함께 즐길 수 있지만, 보통은 가이드 투어만 신청하는 거 같았습니다. 예전에 왕궁으로도 사용했던 만큼 화려하고, 볼거리가 많습니다.",4,국회의사당,영국국회의사당
HYO JIN J,의회민주주의의 시작,단순히 국회의사당이 아닌 의회민주주의가 처음으로 시작된 곳이 영국이라는 나라이므로 많은 의미가 있다 하겠습니다. 제가 간날은 내부는 들어가볼수가 없었어요 전세계에서 가장 많은 사람들이 찾아가보는 국회가 아닐까 싶네요 실제로 모범적인 모습을 보이고 있는 진정한 의원들의 토론이 이곳에서 이루어지죠...,5,국회의사당,영국국회의사당
승재 이,한때 세계를 호령했던 영국 국회의사당,"영국 국회의사당앞에 와서 학벌자랑하지 말라는 현지 가이드 예기 생각나네요 안에는 못들어 가봤고 밖에서 많은 동상들 구경했는데 간디, 처칠동상 앞에서 사진찍은것 기억납니다",4,국회의사당,영국국회의사당
Mandoo F,런던의 랜드마크 중 하나,상당히 큰 건물입니다. 경비가 강화되어 들어가기는 어렵습니다. 근처를 한번 걸어서 돌아보세요.,4,국회의사당,영국국회의사당
elluard,빅벤과 어우러진 주변의 건물들이 인상적입니다.,"주변에 유서깊은 건물들도 많고, 유명인 동상들도 많습니다. 시간을 두고 천천히 돌아보는것을 추천합니다.",5,국회의사당,영국국회의사당
이ㄴㅇㅓㅇㅏㅈㅓㅆㅣ,빅벤,화면에서 보던 그대로의 모습 그대로 웅장하고 멋있다. 바로 옆엔 웨스터민스터 사원도 있으니 묶어서 구경하면 좋을 듯,5,국회의사당,영국국회의사당
SCY,전통있는 영국의 국회의사당,"영국국회의사당은 '모범적인 정치의 시작' 이라고 할 수 있는, 우리가 본받을 만 한 국회모습을 지닌 곳 입니다. 싸움이 빈번히 일어나고 언성이 높아지는 우리나라 국회와 달리 서로 존칭을 붙여 예의를 갖추며 회의를 진행한다는 영국 국회의사당의 모습은 정말 본받아야겠다는 생각이 듭니다. 건물 자체도 아름다워서 꼭 한번 방문해보시면 좋겠습니다.",5,국회의사당,영국국회의사당
Cho H,빅 벤 옆에 나란히..,국회 의사당은 빅 벤 옆에 나란히 있으며 건물 양식도 비슷합니다. 밤에 빅벤과 함께 템즈강변에 비치는 야경을 연출하는 데 볼만합니다.,3,국회의사당,영국국회의사당
규형김,웅장한 의사당,국회의사당은 가까이서 보면 정말 웅장하다. 사진에도 다 안들어오기때문에 멀리서 보는 것도 추천한다.,5,국회의사당,영국국회의사당
paul-smith123ps,.,영국국회의사당 책에서 보는거랑 느낌이 완전 똑같았어요. 만약에 시간이 없는 분이라면 스킵해도 괜찮을듯해요,5,국회의사당,영국국회의사당
Euphem_Korea,국회에 관심이 많다면 반드시,영국 의회의 역사를 알고싶다면 가야할 곳. 한국어 오디오가이드가 없는건 아쉽지만 그 안에서 볼 수 있는건 많다.,5,국회의사당,영국국회의사당
