user_id,title,content,rating,place_name,res_title
SeungchulShin,배추랑 동파육 꼭 보시길,대만 타이페이에 위치한 고궁 박물관입니다. 동파육 모양의 돌이 전시되어있습니다. 옥으로 만든 배추모양 장식물이 인기입니다. 물을 가지고 전시장안으로 못들어가니 주의가 필요합니다.,5,국립고궁박물관,대만 국립 고궁 박물관
Youngjun Chung,문화해설자 등과 같이 오시길~~,기대가 커서 그런지 직접 가보면 실망할수도 있다.. 자세한 설명없이 관람만 한다면 진짜 무료할수도 있다.. 설명받을수 있는 프로그램 혹은 여행가이드와 함께 오는것을 추천한다..,3,국립고궁박물관,대만 국립 고궁 박물관
Soon Cho,타이페이에 간다면,반드시 들러야 할 곳임. 중국인들의 섬세한 세공 기술을 볼 수 있는 모든 작품들이 망라되어 있음. 시간을 내어 반나절 이상 감상을 권장함,5,국립고궁박물관,대만 국립 고궁 박물관
혜원 최,생각보다 별로였어요,"기대가 많아서 그랬는지ㅠㅠ 생각보다 좋지 않았어요. 밖에서 보는 규모와 다르게 전시실이 작고 중요 문화재들만 모아 놓아서 스토리도 부족하고 특히 오디오는 눈으로 보고 알 수 있는 내용만 설명해 주어서 돈이 아까웠어요. 3층을 먼저 보라는 리뷰가 있어서 그리 했더니 1, 2층에 대한 흥미가 뚝 떨어지더라구요. 그래도 타이베이에 간다면, 꼭 다시 들를 것 같아요. 공부 많이 하고~ 오디오 안빌리고",4,국립고궁박물관,대만 국립 고궁 박물관
Native,좋았습니다,사전 지식 부족으로 진귀한 보물과 작품을 온전히 즐기기에는 한계가 많았습니다. 아는 만큼 보인다고 해야할까요. 중국 문화와 예술의 역사에 대한 지식이 있다면 더 좋겠네요. 일반적으로 그 분야로 공부를 한 경우가 아니라면 그냥 겉보기에 화려한 작품에만 눈이 가지 않을까 싶습니다. 오디오 지원도 도움이 되지만 한국어 설명이 지원되지 않는 작품이 대다수입니다. 가이드 투어도 장단점이 있습니다. 당연히 가이드님 설명을 들으면 작품을 더 잘 이해할 수 있겠지만 가이드님들 간의 역량 차이도 큰 것,4,국립고궁박물관,대만 국립 고궁 박물관
Alpertbyun,고궁박물관,"대만 고궁박물관, 규모가엄청크고 사람도 엄청믾았어요. 저는 외부만 구경했었는데.. 좋았었습니다. 시내버스를 타고 찾아갔는데 어렴움없었어요.",4,국립고궁박물관,대만 국립 고궁 박물관
"ME, wow",유익한 경험,평일엔 일찍 닫지만 금토는 9시까지도 한다기에 일부러 토요일 저녁에 갔습니다. 그래서 한가하게 구석구석 구경하고 유명한 옥배추 양귀비 등등 번잡하지 않게 관람할 수 있었습니다. 근데 낮에 가면 멋진 정원이나 웅장한 건물 외부를 더 잘.자세히 볼 수 있을것 같아서 나중엔 낮에도 가볼 생각입니다.,4,국립고궁박물관,대만 국립 고궁 박물관
1kim2parks,흥미로운 중국사,"대만중 타이베이를 온 이유가 여기를 가고 싶어서 이다. 처음에는 어디로 가야 할지 몰라서 3층의 유명한 배추 부터 보고, 1층에서 천천히 구경했다. 인터넷에 올라온 설명을 조금 찾아보며, 봤는데, 2시간 정도 대략 다 돌아다니며 지쳐서 식사 하러 갔다. 반대로 여길 다 보고 호텔에서 여기에 대한 유튜브 정보를 더 보니 이해가 더 됬다. 짧게 나마 중국사를 보고 있다. 물품보관소도 친절하고 10타이완달러 사용후 반환해준다. 무료이다. DSLR 카메라도 빛만 안내면 무료이다.",5,국립고궁박물관,대만 국립 고궁 박물관
김동균,세계4대박물관 대만 국립 고궁 박물관,처음 봤을때 기대만큼 크지는 않았지만 중국 역사와 문화를 한눈에 볼 수 있는 많은 문화재를 감상할 수 있어 좋았어요. 아쉽게도 동파육은 못봤지만 배추머리옥은 감상할 수 있었네요.,4,국립고궁박물관,대만 국립 고궁 박물관
dingpong,유명한 박물관,다양한 장신구들이 인상적인 박물관이었습니다. 미리 입장권을 인터넷에서 구매해서 가시면 좀 더 저렴하고 빠르게 입장하실 수 있습니다.,4,국립고궁박물관,대만 국립 고궁 박물관
sjp,유물이 많아요,박물관 소장품들 시대가 길고 다양해서 해설이 없으면 조금 이해하기 힘들것 같지만 저는 해설없이 휙휙 둘러봤어요 박물관 자체가 굉장히 커서 자세히 보려면 시간이 꽤 걸릴것 같구요 영어 가이드? 같은게 붙어있어서 그거 봤어요 가이드 분들이 많아서 유명한 소장품에는 좀 사람이 밀리더라구요 유명한 배추와 씨안 조각을 직접볼수 있어서 좋았습니드,5,국립고궁박물관,대만 국립 고궁 박물관
Hunkim seoul,세계 4 대 박물관 중에 하나,"볼게 엄청 많은데 그만큼 사람도 많고 정말 배추는 ... 사진 찍는데 엄청납니다. 새치기부터 시작패서 관람 의식이 조금 떨어져서 아쉽지만 볼만한 박물관이예요. 조금 한적한 시간대 가시면 좋을 것 같고, 오디오북 신청 하시면 좋습니다.",5,국립고궁박물관,대만 국립 고궁 박물관
