user_id,title,content,rating,place_name,res_title
ss_casey,가볍게 방문할 수 있는 곳,우표박물관이지만 간단하게 싱가포르 옛모습을 꾸며놓은 곳을 볼 수 있습니다. 또한 매 시즌마다 달라지는 1층의 전시들은 흥미롭습니다.,4,우표박물관 ,싱가포르 우표 박물관
alberotto,싱가포르의 과거와 현재를 알수 있는 곳,"아이가 우표 수집을 하고 있어, 다른 나라를 방문할 때마다 그 나라의 중앙우체국이나 박물관을 방문합니다. 싱가포르 우표 박물관은 크지는 않지만, 싱가포르의 과거와 현재를 우표와 포스터로 알 수 있는 곳이었습니다. 우표 이외에 알 공예도 전시를 하고 있어 특이했습니다. 방문객이 적어 조용하고 한적한 것이 좋았습니다.",4,우표박물관 ,싱가포르 우표 박물관
Gray,엽서를 보내기 위해 들렀어요.,우표박물관에서 엽서를 보내기 위해 잠깐 들렀어요. 엽서 종류가 다양하진 않지만 우표박물관에서만 볼 수 있는 우표 모양 엽서도 있어 좋았어요. 박물관 입구 옆에 엽서를 쓸 수 있는 공간이 있어 박물관에서 엽서를 써서 부쳐도 돼요. 여행 중 엽서 보낼 일이 있으면 한번 들러보면 좋을 것 같아요.,5,우표박물관 ,싱가포르 우표 박물관
원이와민이,1시간 이내에 싱가포르 역사와 우표 전반에 대해 둘러볼수 있는 곳,어른 6 달러(싱가포르달러)면 1시간 이내로 나름 콤팩트 있고 아기자기하게 꾸며놓은 우표박물관을 다 둘러볼수 있어요. 마침 제가 갔을때는 세익스피어 전시도 함께 하고 있어서 더 괜찮았구요. 싱가포르의 역사를 우표의 변천사와 함께 소개한 부분이 특히 좋았습니다.,4,우표박물관 ,싱가포르 우표 박물관
길중 김,좋습니다,페라니카 박물관을 가려다 우연히 들른곳인데 싱가포르의 역사가 한눈에 담겨 있어요 입장료를 내면 우표 모양의 스티커도 주어 특이했어요,4,우표박물관 ,싱가포르 우표 박물관
WISKAN,박물관 투어를 할 때 한 번 쯤 가보자,근처 페라나칸 박물관이나 국립박물관을 갔다면 한 번 가보자. 싱가포르 우표에 대해서 한 눈에 알 수 있다. 지하철에서 멀지 않기 때문에 걸어갈 수 있는 거리이다.,4,우표박물관 ,싱가포르 우표 박물관
Wonder,폐쇄가 끝나기 전에 가야합니다.,"나는 작은 왕자에 대한 전시로 인해 그것에 끌렸다. 나는 오랫동안 일찍 가고 싶었고 그 날을 추적하고 싶었다. 나는 내가 마침내 그것을 만들었 기 때문에 기쁘다. 나는 그것을 즉시 사랑했고 갈 수 없었습니다. 저자에 관한 전시물, 어린 왕자에 관한 책들과 어둠 속의 전시물들이 있습니다. 그것은 훌륭한 경험입니다. 어린 왕자를 사랑하는 모든 사람들에게 대단히 좋습니다.",5,우표박물관 ,싱가포르 우표 박물관
Tsion A,매우 흥미롭고 재미있는,"싱가포르 우표 박물관은 1995 년 8 월 19 일에 문을 열었습니다. 싱가포르 우표 박물관은 100 년 역사를 지닌 2 층짜리 식민지 시대의 건물에 자리 잡고 있습니다. 이 건물의 원래 계획은 1906 년 6 월 22 일에 승인되었습니다. 박물관 컬렉션은 1830 년대부터 시작하여 전 세계 여러 국가의 우표를 포함합니다. 전시장에있는 우표 중 일부는 금박으로 만든 우표,은으로 만든 우표, 양각 우표, 냄새가 좋은 우표 (장미, 커피, 초콜릿, 레몬, 딸기, 자스민 차, 꿀, 생강 빵을 포함하는",5,우표박물관 ,싱가포르 우표 박물관
encik_Sama,어린 왕자 (지금은 2019 년 3 월 17 일까지) & 박물관은 개조 공사 중입니다 (2019 년 3 월 18 일부터 2020 년까지 잠정),"마지막으로 방문한 2017과 나는 우리의 특별한 새 가족 구성원과 함께 다시 이곳을 방문하기로 결정했습니다. 최신 전시회 주제가 ""어린 왕자""라고 들었습니다. 우표 박물관은 2019 년 3 월 18 일경 개축 공사를 진행하고 있으며 2020 년 임시 시험소를 재개합니다. 작은 왕자 전시회는 레벨 1에 있습니다. 어린 왕자와 관련된 많은 조각품 / 유물이 있으며 벽에 장식 된 것으로 보입니다. i 파란색입니다. 표시된대로 조각 / 아티팩트 중 일부를 만지지 마십시오. 오렌지 룸 (1 단계) :",5,우표박물관 ,싱가포르 우표 박물관
Aakila Ayman Mohamed Ismail,"부모님, 여기 애들 가져와!","나는 일요일 오후에 아들과 딸을 데려왔다. 싱가포르 우표 박물관은 숨겨진 보석에 관해서는 가장 적은 곳 중 하나이지만 반드시 방문 할 가치가 있습니다. 만약 당신이 싱가포르 인이라면, 입장료는 무료이며 페라 나칸 박물관을 놓치지 마십시오. 여러분 모두가 우리가 한만큼 즐거울 수 있기를 바랍니다.",5,우표박물관 ,싱가포르 우표 박물관
teach777,철저히 즐겁게,흥미로운 것들로 가득 찬 작은 박물관. 어린 왕자 전시회와 봉투 전시회는 매력적이었습니다. 외국인에게는 8 달러지만 그만한 가치가 있습니다. 프론트 데스크 직원들은 친절하고 정통합니다. 방문해 주셔서 감사합니다.,5,우표박물관 ,싱가포르 우표 박물관
