user_id,title,content,rating,place_name,res_title
Yooni,아라리오 갤러리,천안 버스 터미널 옆쪽에 아라리오 갤러리 점이 있다 . 일층에 조각상이 있는데 인체 신비를 보여주는 것처럼 되어있는 큰 조각상을 옆으로 하고 이층으로 올라가면 갤러리가 있다 규모는 많이 크지 않아도 전시를 볼수 있어서 좋다. 옆에는 기념품과 디자인 제품도 판매하는데 필기류들이 신기한게 많고 조금 비싸게 판다. 아라리오 건물주가 터미널도 땅주인이라ㅡ이곳에 위치했다고 들었다. 그분이 아라리오 갤러리를 세웠다고 했다,3,아라리오 갤러리,아라리오 갤러리
bahajia,천안시내에서 누릴 수 있는 문화공간,"백화점, 영화관 터미널이 갤러리 근처에 있어 겸사겸사 방문하기 좋습니다. 아라리오 광장에 전시되어 있는 작품들도 규모있고, 유명한 작가들의 작품들입니다. 전시는 일정을 확인하고 방문하셔야 헛걸음 하지 않으실겁니다.",5,아라리오 갤러리,아라리오 갤러리
기하 김,예술이있는곳,천안 야우리백화점 옆에 있어요. 예술에 대해서는 1도 모르지만 보면 멋진게 많아요. 할인 되는게 많으니 찾아서 입장하시면 되요,5,아라리오 갤러리,아라리오 갤러리
YJKim712,아라리오갤러리,천안 시내 신세계 백화점 근처에 있는 미술관입니다. 적당히 볼 거 많고 시내에 있어서 가기 편해요. 교통문제가 좀 있기는 하지만.. 택시타거나 대중교통 이용하세요.,5,아라리오 갤러리,아라리오 갤러리
Soon Cho,근처에 간다면,시간을 내서 방문을 권장합니다. 쾌적한 공간에 수준있는 작품의 전시회가 진행되고 있으니 시간을 내서 관람하기 좋습니다. 규모가 그리 크지는 않아 다양한 종류의 전시회는 아니더라도 지방에 있는 갤러리로서는 수준급입니다.,5,아라리오 갤러리,아라리오 갤러리
Compass756732,갤러리하면 단연 천안갤리리죠^^,"미대전공자이기때문에 반 의무로 과제를위해 가야했던 갤러리는 성인이되어서도 제가 즐겨찾게된미술관입니다 규모가큰편이아니어서 자칫그저그런 갤러리로볼수있지만, 서울에대학다닐당시 교수님께서 특별히추천해주셨던곳이 천안갤러리였습니다 입지조건, 그리고그근처의조각공원. 그리고 갤러리작품디피순서까지 모든것이 일반인들이가장편하게 미술작품을 접할수있는 그야말로 교수님이가셨던 갤러리중 가장훌륭한 곳이었다고 말씀해주셔서 천안시민으로써 무척 감동을받았었어요 시간이되신다면 꼭 한번쯤 들러보시면 단연후회없으실껍니다",4,아라리오 갤러리,아라리오 갤러리
wonjaec2018,국제적인 갤러리가 이곳에,"아리리오 갤러리는 북경의 798, 서울에도 있습니다. 그러나 천안의 아라리오 갤러리는 놀라운 조각품이 가득 상설로 전시되어 있습니다. 세계 최고의 아티스트들의 작품이 갤러리 주변 신세계백화점과 그 일대에 산재해 있습니다. 이런 장소가 시내에 있다는 것은 축복입니다.",5,아라리오 갤러리,아라리오 갤러리
seulgi,사람많은,"항상 사람많은 아라리오!바로 옆 신세계백화점도 있고 버스정류장도 있어서 사람이 많다 외부전시된 전시품도 많아서 시간보내기 좋음! (빨간가방,엔진탑 모두 아라리오 전시품이다..) 입장료도 무료거나 저렴한편.",5,아라리오 갤러리,아라리오 갤러리
룰루뢀라,작지만 실속있는 미술관,"천안 터미널에 있어서 접근 용이 공간은 다른 곳에 비해 작지만 핫한 작가들의 작품 섭외로 볼만한 기획전 많음 까페도 있고, 데이트 코스로 추천합니다",5,아라리오 갤러리,아라리오 갤러리
갈매기끼룩,현대미술을 관람하고 싶다면~~,현대미술을 관람하고 싶은 분들에게 추천하고싶습니다. 또한 지방에서 미술관 관람이라는 것이 어려운데 천안에는 아라리오 갤러리덕에 문화예술이 발전한다고 생각합니다. 유명한 현대 조각작품도 있는 곳입니다.,5,아라리오 갤러리,아라리오 갤러리
B Kim,천안의 자랑,"데미안 허스트 외에 많은 미술품들이 발에 채이고, 엎어지면 코 닿을 데 있다는 것에 자부심을 느끼는 천안시민입니다. 양질의 전시를 매번 볼 수 있어요.",5,아라리오 갤러리,아라리오 갤러리
han4611,천안에 아라리오 갤러리가 있어서 좋습니다.,"서울, 제주 그리고 천안에 있는 아라리오 갤러리 천안에있어서 문화생활을 할 수 있어서 좋습니다. 백화점에서 가끔 무료입장권도 나와서 더더욱 좋구요.",5,아라리오 갤러리,아라리오 갤러리
yonggud,지방에서 보기 쉽지않은 수준 높은 갤러리,"국제적 작가의 전시가 많고, 후원하는 작가들도 많음. 천안이라는 문화적 오지에서 꽃피운 한 콜렉터의 순수한 영혼이 담긴 미술관, 의미있는 곳.",5,아라리오 갤러리,아라리오 갤러리
tembourine,건물 외벽과 주변의 조각상,"천안 종합터미널 옆으로 신세계 백화점과 아라리오 갤러리가 위치해 있습니다. 갤러리 외벽에는 독특한 조각상들이 장식되어 있고, 건물 주변으로도 여러 조각상들이 있습니다. 갤러리에 들어가기도 전에 벌써부터 예술의 느낌이 물씬 풍기는 곳입니다.",4,아라리오 갤러리,아라리오 갤러리
hkysky13,미술품,친구랑 오랜만에 아라리오 갤러리에 갔다. 아라리오 갤러리는 가격이 저렴한게 가장 큰 장점이다. 문화생활하고 싶을때 가면 좋을거같다.,5,아라리오 갤러리,아라리오 갤러리
magnetism1,가성비 굿,지역사회에서 늘 저렴한 가격으로 즐기거나 공짜에 가까운 가격에도 이용가능한 착한 갤러리다 휴일에 편안하게 전시를 관람하길 추천한다,4,아라리오 갤러리,아라리오 갤러리
상하 박,가까워서 좋아요,"시내 나갔을 때 한 두 번씩 보러가기 좋은 곳입니다. 교통편도 편하고, 천안에서 전시회를 볼 수 있는 유일한 곳이기도 하네요.",4,아라리오 갤러리,아라리오 갤러리
신라98,편안한 갤러리 입니다.,가끔은 여유를 가지고 관람할만한듯 합니다. 그리 무겁지 않은 작품들이 많네요. 신세계 백화점 들릴때 가끔가네요.,4,아라리오 갤러리,아라리오 갤러리
