review,u_id,u_rate,p_id,review_en
"넓어요 엄청 넓어ㆍ요...추운날에 갔었는데 넓어서 돌아다니다가 카페에 가서 따뜻한차도 먹고, 무슨 안에 전시관? 같은거도 잇어서 구경 했어요",ung_222,4,1135,"It's huge. It's huge.I went there on a cold day, and I went around because it was so wide, and I went to a cafe and had hot tea. What kind of exhibition hall? There was the same thing, so I looked around."
올림픽공원 서울 도심속에 있는 규모가 꽤 큰 공원입니다. 가볍게 조깅하기도 좋고 산책하기도 좋아요 또한 롯데월드가 근처에있어서 같이 구경하기도 좋아요,Alpertbyun,3,1135,"Olympic Park is a pretty big park in downtown Seoul. It's good for light jogging and for a walk. Also, Lotte World is nearby, so it's good to look around together."
"자유로운 분위기의 공원 넓은 공원에 주민들이 자유롭게 여가생활을 즐기는 모습이 좋았습니다. 베드민턴을 치는 아이들이나 자전거를 타는 사람들, 반려견과 산책을 나온 사람들과 잔디에서 요가를 하는 외국인들까지! 여유로움이 느껴지는 공원이에요~",윤아영,5,1135,"It was nice to see the residents enjoying their leisure time freely in the wide park with a free atmosphere. Children playing badminton, cyclists, dogs and walkers, and foreigners doing yoga on the grass! It's a park where you can feel relaxed."
서울시민의 힐링+축제 공간 88올림픽시 조성된 이 곳은 몽촌토성이 발견된 지역은 자연공원으로 조성하고 나머지 지역은 각종 체육 스타디움과 광장 등으로 사용되어 매일 시민들의 발길이 빈번한 지역입니다. 넓은 잔디밭은 가족 소풍객들이 많고 산책로 지역은 조깅이나 걷는 사람들이 많아요. 초입부엔 평화의문(건축가 고.김중업 작품)이 중앙에 있어 진입부의 위용을 잘 보여주고 있읍니다.,Gino Gin,5,1135,"Created during the 1988 Summer Olympics as a healing and festival space for Seoul citizens, Mongchontoseong was created as a natural park and the rest of the area was used as various sports stadiums and plazas, making it an area frequented by citizens every day. There are a lot of family picnics in the wide lawn and a lot of joggers and walkers in the promenade area. At the entrance of the building, the Peace Gate (architecture Ko).Kim Joong-up's work) is located in the center, which shows the grandeur of the entry."
쉼터 운동하기도 좋고 데이트 하기도 좋고 가족과 아이들과 시간을 보내기도 좋은 곳이죠. 한바퀴 도는데 한시간 정도 걸리는 듯해요. 운동도되고 시간보내기도 좋죠. 다만 공연이 있어서 사람이 몰릴때 좀 불편합니다.,종춘 이,4,1135,"It's a good place to exercise, go on dates, and spend time with family and children. I think it takes about an hour to make a turn. It's good for exercising and spending time. However, it is a little inconvenient when people are crowded because there is a performance."
조용하게 산책하기 좋아요 그 왕 큰 고양이 보러 갔었는데 안에 이것저것 시설도 많고 기대 이상이었어요 밤에도 사람 많아서 안전하고 조용하고 근처 사는 사람 있으면 꼭 가요 매일 가오,Urizia J,5,1135,"It's good for a quiet walk. I went to see the big cat, and there were a lot of facilities inside, and it was beyond my expectations. It's safe and quiet at night because there are so many people. If anyone lives nearby, make sure to go there every day."
콘서트 있으면 방문하는 곳 왜 인지 나에게 콘서트 때문에 방문하게 되는 곳. 운동하러 방문하기엔 거리가 너무 멀어서인지. 항상 콘서트장으로 인식되어 있다.,Kylie Park,4,1135,A place to visit if there is a concert. Why do you visit me because of a concert? Maybe it's because it's too far to visit for exercise. It is always recognized as a concert hall.
"산책하기 좋은 공원입니다. 모든 길이 시멘트 포장되어 있으며 자전거를 타기 좋습니다. 아침에 운동하는 사람들이 많은 공원입니다. 모든 인도에 시멘트 포장이 되어 있으며, 인근에 카페와 음식이 많으나 가격대가 비싼 편입니다. 자전거를 타기 위해 방문하는 사람들이 많습니다.",ahirity,4,1135,"It's a good park to take a walk. All roads are paved with cement and are good for cycling. It is a park with many people exercising in the morning. Every sidewalk is paved with cement, and there are many cafes and food nearby, but the price is rather high. There are many people who visit to ride bicycles."
"콘서트와 힐링을 한번에! 수 많은 K-POP 가수들의 콘서트도 많이 열리지만, 공원 그 자체를 즐기기에도 좋아요. 다만 여의도 한강공원과는 다르게 공원 내부에는 음식을 파는 곳이 없고, 공원 입구에 배달원 출입 제한이 있어서 뭔가를 사먹기엔 불편할 수 있어요. 미리 도시락을 싸오거나, 근처 가락시장에서 회를 포장해서 오는 것을 추천합니다.",daheey2017,4,1135,"Concerts and healing at once! There are many concerts by many K-pop artists, but it's also good to enjoy the park itself. However, unlike Yeouido Hangang Park, there is no place to sell food inside the park, and there is a limit to the entrance of the park for deliverymen, so it may be inconvenient to buy something. I recommend you to bring your lunch box in advance or wrap sashimi at a nearby Garak market."
"쾌적한 곳 서울시내에 이만한 쉼터가 없다 특별한 놀거리는 없으나 걷기 좋은 숲길과 잔디밭, 조각 등이 편안한 휴식을 제공한다. 이어지는 탄천변도 좋고 호수도 괜챦다.",drmysong,4,1135,"There is no better shelter than this in Seoul, a pleasant place. There is nothing special to play, but forest trails, lawns, and sculptures provide a comfortable rest. The Tancheon Beach is good and the lake is good."
