user_id,title,content,rating,place_name,res_title
Stafin_Kim,더욱 가까와진 청와대,요즘은 청와대 주변길도 자유롭게 관람할 수 있게 되었죠. 사랑채 앞에 커다란 분수대가 아주 좋은 포토존입니다. 사랑채 안에는 청와대 관련 전시물을 비롯해서 대한민국 소개 전시도 있습니다. 무료 관람이고 월요일은 휴관입니다.,4,청와대사랑채,청와대 사랑채
Urizia J,청와대 관광 끝나고,매점이랑 이것저것 구경하려고 갔어요 안에 사랑채 스탬프 찍을 수 있구요 화장실도 깨끗하고 카페도 있어서 견학 끝나고 쉬기 좋아오,5,청와대사랑채,청와대 사랑채
vlogg,한국 문화 체험.,"한식체험프로그램, 문화체험프로그램,국악이 있는 날 등의 다양한 체험프로그램이 있습니다. 보다 많은 홍보를 해서 외국인들이 한국 여행을 하는데에 있어 많은 도움과 추억이 되었으면 좋겠네요. 외국인 전용 체험프로그램도 있으니 홈페이지 꼭 참고하세요. 내국인들이라도 서울경기권 주민이 아니라면 서울여행시의 필수 방문지에요. 특히 아이동반 가족여행객들일 경우 아이에게 깊은 추억과 동시에 전통문화에 대한 친근한 학습이 가능합니다. 산책하기도 좋고 청와대자체가 터가 좋아 기운이 먼가 좋아요.",5,청와대사랑채,청와대 사랑채
nayepp,추천해요,"청와대 쪽으로 산책하면서 사랑채까지 들어가서 관람하는거 추천해요~ 역사흐름도 ,사진들 여러가지 자료가 있어 외국인들도 ,아이들 에게도 도움이 되요",4,청와대사랑채,청와대 사랑채
DragonT,나름 구경할만함,청와대 주변 산책후 사랑채에 가서 청와대 및 역대대통령 및 국가원수 선물등 많지 않지만 나름 구경할 만했어요. 경호포토존 및 현직 대통령 포토존등 다양한 사진 찍을만한 체험 공간이 있어서 좋았던거 같습니다.,4,청와대사랑채,청와대 사랑채
니콜라06,간단히 차마시기에 좋은 곳,집근처라 가끔 단팥죽 먹으러 가던 곳. 지금은 차종류만 파는 것으로 바뀌었나함. 특별한 분위기는 없으나 청와대가 보이는 곳에서 잠시 여유찾는 것도 괜찮음,3,청와대사랑채,청와대 사랑채
SeochonBnB,아이들과 가기 좋은 곳,경복궁 돌담길을 걷다가 들러 쉬어갈만한 곳입니다. 어른들보다 아이들이 더 좋아합니다. 입장료 무료이고 매주 월요일에 닫습니다.,4,청와대사랑채,청와대 사랑채
john y,"관광객은 많으나,,,",외국 관광객은 많은 편이나 볼거리가 그렇게 많은 편은 아니다． 옆에 연무관과 청와대 정도가 볼만하고 석상은 너무 오래 됨．,3,청와대사랑채,청와대 사랑채
ksn0w,"버스를 타고 가는 길에, 검문이 있었습니다","많은 분들이 글을 올린 것을 보고 관심이 생겨 처음으로 방문해봤습니다. 글에 쓰여있는대로 건물은 청결하고 넓직했으며, 전시물 등도 기대 이상으로 재미있었고 또 중국인 단체 관광객 분들만 가득했던 것도 말 그대로였습니다. 걸어서 가면 경복궁 근처에서 몇 번이고 검문에 걸려 멈춰서야겠지 싶어, 시청 쪽에서 시내 버스(녹색 버스 8000번)에 승차해 갔습니다. 이 버스는 청와대 사랑채 바로 앞에 정차합니다. 경복궁 옆의 길로 들어서면 1대씩 검문을 하고, 엄중한 경비가 배치되어 있는 구역이라는 걸",4,청와대사랑채,청와대 사랑채
えんてつ,예쁜 시설입니다,"현지 투어로 청와대에 갔을 때, 시간에 여유가 있다는 이유로 들러봤습니다. 전체적으로 새롭고, 청결했습니다. 역대 대통령과 현직 대통령이 미국 오바마 대통령과 함께 찍은 사진 등이 걸려 있었습니다. 현 체제의 홍보 시설이려나요. 카페(레스토랑)와 매점이 있습니다.",4,청와대사랑채,청와대 사랑채
makochi,대통령 부부와 기념 촬영,"시설이 막 생겨 그런지 모두 다 깨끗했습니다. 한국 문화와 역사·정치 등을 패널과 모니터 등으로 배울 수 있습니다. 2층에서는 대통령 부부와의 기념 초라영을 할 수 있습니다. 우리가 갔을 때는 모니터에 나오는 영상을, 직접 디지털 카메라로 촬영할 수 있는 형태였습니다. 인포메이션에서 무료로 송부해주는 엽서를 줍니다. (1개월 후에 도착했습니다.)",4,청와대사랑채,청와대 사랑채
ろどたん,한국 여행에 추천.,"한국에 가기 전에, 어떤 TV 방송에 나와서 다녀왔습니다 ^ ^ 사전에 어떤 것인지 어느 정도 보고 갔기 때문에, 「아-, 이거! TV에 나온 거다!」라는 느낌으로 묘하게 기분이 들떠있었습니다. 본래의 사용법과 조금 다르지요 (^^;) 한국 돈의 역사에서부터 시작해서 마지막은 대통령 부부와 디지털로 사진을 찍는, 꽤~나 만끽할 수 있는 내용입니다! 사진은 메일 주소를 치면 거기로 무료로 보내져서 편해요. 단! 스팸메일함으로 들어갈 가능성이 높으니까 귀국 후 며칠 이내에 스팸메일함을 확인하는",4,청와대사랑채,청와대 사랑채
roundface123,밥이 맛있다,"전시실도 깨끗해서 잠시 들르기에는 딱 좋습니다. 물론 화장실도 깨끗해요!! 무료로 해외로 보낼 수 있는 엽서가 있었습니다. 한 사람당 2장까지로 되어있어서, 모처럼이니까 제 앞으로 메모를 써서 접수 받는 곳에 건넸습니다. 도착한 건 꽤 늦었지만,, 청와대를 견학하고 돌아오는 길에 점심을 먹는데, 사랑채 옆에 병설된 식당으로 들어갔습니다. 세련되고, 전통 과자와 커피 같은 것도 있습니다. 밥도 가격이 저렴하고 차분하게 먹을 수 있어서, 무척 득을 본 기분이 들었습니다. 여기에서 테이크 아웃 커피를",4,청와대사랑채,청와대 사랑채
Ngọc Anh L,청와대를 탐험 할 수있는 멋진 장소,"한국 정치에 대해 알고, 재미있는 VR 게임을 경험하고, 비디오를 통해 한국의 매력적이고 멋진 매력을 볼 수있는 특별한 장소입니다. 차 대감 원과 함께 대통령의 차처럼 사진을 찍을 수있는 멋진 장소가 있습니다. 나는 또한 2 층에있는 전시실에서 옛날 고대의 것들을 존경합니다. 기념품 가게에서 귀엽고 의미있는 기념품을 구입 한 다음 옆에있는 커피 숍에서 술을 마시고 친구들과 채팅 할 수 있습니다. 그들의 재미를보십시오! 나는 여기에 너무 많은 재미있는 비디오를 가져 갔다.",4,청와대사랑채,청와대 사랑채
trizamu,한국의 정치사에 대한 간략한 소개,한국이 어떻게 다른 나라와 외교 관계를 구축했는지 살펴 보는 것은 매우 흥미로운 곳입니다. 한국 대통령과 다른 나라들이 서로 교환 한 선물을 볼 수도 있습니다. 기념관 앞에서 산으로 경치 사진을 찍습니다. 거기에서 몇 분 후에 청와대의 앞 부분을 들여다 볼 수 있습니다.,5,청와대사랑채,청와대 사랑채
ayanamaranda,너는 역사 애호가 야?,"나는 과거, 현재, 미래의 한국 역사에 대해 깊이있는 지식을 갖고 싶어하는 모든 이들에게 이것을 권합니다. 가이드 투어에 가입 할 수 있다면 박물관의 전문가와 더 많은 상호 작용을 할 수 있다면 더 재미있을 것입니다. 즐겨! <3",5,청와대사랑채,청와대 사랑채
Tana,한국 역사와 그곳의 대통령에 관한 시원하고 유익한 박물관!,한국 역사와 대통령을 통치하는 데 필요한 모든 것! 꽤 유익한 & 또한 박물관 주위에 모든 멋진 비주얼 ^^,5,청와대사랑채,청와대 사랑채
Frank G,강력 추천할 만한 장소입니다.,이 경험은 최고입니다. 공개적으로 높은 보안 표준은 다른 곳에 있는 거의 본 다른 많은 국가에서 주변 지역은 가치가 있다. 거주 뒤에 있는 산 초겨울 한국의 전망을 즐길 수 있는 조용한 곳이다. 사람들이 정말로 열기 배후에 긴장감을 느낄 이곳을 방문 합니다.,5,청와대사랑채,청와대 사랑채
wenlong3788,한국 문화에 대한 아주 좋은 소개,"외국인에게 한국 문화를 소개하는 최고의 박물관 중 하나입니다. 나는 여행자가 한국에 도착하자마자 할 일을 처음부터 해두는 것이 좋을 것이므로 나중에 다른 모든 경험에 의미를 부여 할 것을 권고한다. 김치 박물관은 한국의 미각에 대해 많은 통찰력을 제공하는 반면, 한국어로 번역 된 활동을하는 것은 매우 흥미롭고 재미있는 행사입니다.",5,청와대사랑채,청와대 사랑채
tammmieeee,어린이용,"그 아이들에게 아주 좋습니다! 펼쳐져 박물관 저는 이 가장! , 흥미로운 대화형 게임 활동을 할 수 있는 수 있도록 한국 대통령 역사에 대해 좀더 배워 보십시오. 3D 포토부스 서라운드 놓친 마세요!",5,청와대사랑채,청와대 사랑채
L. Lee,방문 에 다시 4월 2017,할 수 있는 좋은 카페. 주문한 팥빙수 (한국인 얼음 디저트). 이 맛있는 날씨는 따뜻하 사용자_이름:.,4,청와대사랑채,청와대 사랑채
387indy,청와대 사랑채,"청와대 사랑채 하는 아름답게 조경된, 외부와 내부의 아름다운 인테리어와 건물 부지가 있다고 가정합니다. 이 레지던스 호텔은 한국 대통령의 공식. 공식 초청 방문 합니다.",4,청와대사랑채,청와대 사랑채
deokhyun,배우 해본 한국의 멋진 장소,"청와대 사랑채 일부로 청와대, 대통령의 공식 레지던스, 공용 월요일 을 제외하고 매일 오픈. 한국의 대통령 은 놀라운 역사를 배우. 대통령 앞에서 포즈를 취할 수 있는 구체화할 수 있는 것처럼 테이블을 겸 사장 이다.",5,청와대사랑채,청와대 사랑채
sookmunliew,좋아하지 않는다면 역사에 대해 알아야 한,"원하는 경우 자세한 내용을 고문서 학 한국의 공화국 변경다른 국가에서, 자유롭게 줄일 수 있습니다! (수 준 그 어떤 국가의 기념품을 살 수도!)",3,청와대사랑채,청와대 사랑채
geographyguy_11,사진 하기만 과 겸,"가는 가치가 있는 유일한 방에 녹색 화면 을 함께 할 수 있는 다양한 상황에서 한국 대통령의 사진. 유일한 정보는 각 이벤트 일정 기간 동안 발생한 대통령의; 역할 정보도 없었을 때 사장, 한국 시스템 정부 기관, 국립 기호, 기존의 각 부문 등이 있다. 어떤 것들을. 더 많은 수의 흥미로운 장소인 쉽게 그냥 서울 방문.",2,청와대사랑채,청와대 사랑채
thelonious22,재미 정지,"흥미로운 박물관을 해본 한국의 전용. 저희는 가이드 투어 후에 결국 블루 하우스 박물관 보다 훨씬 흥미로운 투어. 대부분의 한국인들을 해본 손상, 많은 정보가 해당하지 않습니다. 하지만 흥미로운 선물을 받은 상태에서 머리를 포함하는 표시 및 기타 대통령 경비. 해 가는 피지 에서 동시에 큰 단체.",4,청와대사랑채,청와대 사랑채
savvyworldtraveler,서울에 있는 진귀한 것,"청와대 사랑채 가 소개하는 대한민국의 프레지던트 의 일부로, 자연의 역사를 정치적 으로 매우 민감하기 때문에 -- 독재자 들 은 대부분 프레지던트 선출 -- 이에 숨긴 게 감정을 완화시키는, 거의 컨텐츠 무료입니다. 서울의 경우 제한된 시간. 저는 조언 보다 흥미로운 박물관, 국립 중앙 박물관 등. 하지만 시간이 한시간 이상 여유가 아니면 비가 내리고, 수행할 수 있는 시간을 보낸 것입니다. 즐거운 대화형 전시품 들이 몇 개 있고, 대통령 팩스밀리 등의 데스크 뒤에 앉아 있는 사진 촬영 의 수",3,청와대사랑채,청와대 사랑채
Anggi747,이것이 한국!,"이 곳은 수의 삶과 사명 의 포밍기 한국 프레지던트, 근처 대통령 하우스 (청와대). 또한, 한국 전통 문화를 이해할 수 있습니다. 또한 역사 박물관 및 문화 정보 센터 한국을 체험, 과거의, 현재, 미래를. 에는 기념품 가게가 있었다.",4,청와대사랑채,청와대 사랑채
Watu2014,이제 repulic 한국 방문,"이제는 대한민국 (남한). 청와대 사랑채 는 다목적 전시장 에서 성취의 삶에 대해 배울 수 있고 물론 과거 프레지던트 포밍기 대한 이해, 현재 및 미래의 비전 및 한국의 서울. 바로 옆에 경복궁 을 둘러보다 너무 쉽.",4,청와대사랑채,청와대 사랑채
