,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,cave,available,korea,kindness,hateful,sour,traditional,hidden,reasonable,atmosphere,unconvincing,perfect,dirty,unique,sensuous,worth,unhelpful,opposite,happy,illogical,generous,yogi,luxurious,central,korean,distinctive,absolute,impossible,underdeveloped,scared,yellowish,new,north,active,cute,modern,unkind,expensive,botanical,sick,human,mental,dangerous,friendly,payable,ostentatious,democratic,good,cheap,rubbish,insight,cultural,ambiguous,christian,rude,wrong,guide,outer,eligible,difficult,arable,expressionless,octagonal,peaceful,utensils,selectable,clogged,artisanal,much,unsanitary,awe,accessible,irritating,glory,cognitive,quiet,slat,vicious,different,nonprofit,authoritarian,arranged,improbable,same,FALSE,favorite,handsome,relic,sleepy,shopaholic,endocrine,colonial,samurai,great,odorless,provincial,strategic,national,ordinary,bilingual
1,ancient,uninvited,chinese,respectful,inflammatory,bitter,orthodox,invincible,sincere,busy,sloppy,neat,rusty,diverse,sexual,shy,,shallow,excited,ridiculous,satisfied,oriental,ultra,remote,japanese,famous,god,thinkable,absent,upset,greenish,regular,south,aggressive,adorable,reverent,unfriendly,burdensome,blossom,lazy,dense,stress,safe,chatty,,flamboyant,legal,comfortable,convenient,tasteless,informative,religious,simple,islamic,ignorant,bad,comprehensive,outermost,restricted,important,,solemn,circular,harmonious,antique,bidirectional,empty,artisan,hard,,thrill,inaccessible,funny,splendor,tactile,sleep,,brutal,unusual,,communist,authorized,strange,ordinary,fabricated,exciting,beautiful,archaeological,cozy,,digestive,feudal,,excellent,,internal,financial,foreign,secret,social
2,medieval,designated,indian,respect,,acrimonious,conventional,silent,satisfactory,noisy,poor,titanic,cleanest,advanced,feminine,alone,,noise,glad,unreasonable,aware,martial,elegant,eastern,english,iconic,precious,inevitable,useless,tired,discolored,free,east,careful,caring,historical,unpleasant,complicated,springtime,bored,oldfashioned,emotional,illegal,polite,,extravagant,military,mixed,easy,pathetic,topical,pious,blunt,muslim,malicious,disappointing,detailed,,paid,successful,,teary,cylindrical,happiness,china,axial,crowded,,rich,,adrenaline,reachable,interesting,stillness,auditory,unkempt,,harsh,unfamiliar,,anticommunist,requested,mysterious,national,fake,comic,sweet,excavated,relaxed,,circulatory,imperial,,awesome,,organizational,medical,global,general,university
3,prehistoric,anonymous,asian,appreciate,,,unconventional,invisible,proper,calm,poorly,sublime,crooked,complex,unclothed,limp,,positional,grateful,vague,enjoyed,buddhist,stylish,rural,british,recognizable,infinite,inexplicable,nonexistent,embarrassed,reddish,grand,west,conscious,warmhearted,artistic,nasty,outdated,garden,stupid,pure,physical,addictive,gentle,,,civil,narrow,suitable,shameful,commentary,protestant,real,allah,unkindness,regrettable,snapshot,,guaranteed,sensitive,,somber,threaded,harmony,handcrafted,,overflow,,popular,,frenzy,impassable,annoying,charm,somatic,sullen,,abusive,exotic,,,,unsavory,possible,incorrect,fun,lovely,artifact,pleasant,,,dynastic,,amazing,,administrative,technical,intercontinental,basic,sanitary
4,olden,unmanaged,african,gratitude,,,customary,forgotten,transparent,loud,shabby,impressive,stinky,unified,sensual,,,hydrologic,thankful,absurd,interested,incense,fashionable,southern,russian,immortalized,divine,imaginable,unorganized,uncomfortable,,historic,southeast,smart,neurotic,conceptual,itchy,bulky,blooming,fool,changeable,tiredness,unregulated,sarcastic,,,economic,strong,hygienic,inappropriate,insightful,holy,TRUE,islam,unscrupulous,terrible,summary,,pecuniary,urgent,,tearful,curved,peace,decor,,packed,,fast,,disappointment,unavailable,incongruous,,nonverbal,wandering,,underworld,familiar,,,,surreal,personal,misleading,colorful,romantic,,restful,,,aristocratic,,unparalleled,,departmental,operational,domestic,local,industrial
5,paleolithic,mandatory,asia,praise,,,nonmainstream,unseen,doable,messy,decent,incomparable,sweat,dynamic,naked,,,unmarked,proud,grandiose,confident,lotus,sleek,northern,european,,inner,arbitrary,invalid,angry,,entire,northeast,restrained,lovable,contemporary,sticky,confusing,azaleas,hungry,repetitive,psychological,risky,energetic,,,presidential,soft,affordable,unacceptable,topic,spiritual,accurate,koran,greedy,guilty,extensive,,exempt,key,,sorrowful,movable,friendship,handmade,,overflowing,,plentiful,,emotion,,ungainly,,sensory,solitary,,wicked,unexpected,,,,curious,environmental,,satisfying,graceful,,tranquil,,,,,fantastic,,,automotive,international,living,educational
6,primitive,specific,japan,,,,mainstream,exist,fair,hectic,stingy,magical,stained,sophisticated,nude,,,atmospheric,blessed,elaborate,knowledgeable,monk,flashy,western,french,,cannot,unavoidable,wasteful,disappointed,,fresh,,frugal,childlike,aesthetic,troublesome,cumbersome,forsythia,shouting,lightness,behavioral,reckless,humble,,,political,solid,attractive,trashy,witty,sacred,clear,jewish,arrogant,regret,meticulous,,reserved,meaningful,,,dimensional,,stationery,,,,quick,,excitement,,awkward,,,lonely,,violent,identical,,,,wild,own,,humorous,gorgeous,,serene,,,,,wonderful,,,aid,regional,average,agricultural
7,neolithic,optional,india,,,,nontraditional,isolated,sufficient,chaotic,uneven,spectacular,squeaky,dedicated,erotic,,,pattern,lucky,frivolous,encouraging,shamanistic,chic,neighboring,american,,cherish,opaque,unreliable,surprised,,joint,,mature,cuteness,classic,unwelcome,inconvenient,ornamental,mad,spatial,,contagious,conversational,,,intellectual,tight,ideal,disgraceful,thoughtful,ritual,genuine,,dishonest,rotten,thorough,,preferential,powerful,,,beams,,jewelry,,,,slow,,,,reminiscent,,,carefree,,coercive,rare,,,,bizarre,fixed,,joyful,charming,,relaxing,,,,,unbelievable,,,capital,overseas,normal,farming
8,dinosaurs,preferred,mexican,,,,,unrecognized,appropriate,orderly,serviceable,magnificent,uncleaned,specialized,,,,parallel,fortunate,unnecessary,welcome,hanok,futuristic,southeastern,german,,united,impenetrable,questionable,annoyed,,spring,,agressive,loving,literary,ugly,intrusive,blossoms,drunk,nature,,unpopular,smiley,,,civilian,flat,antibacterial,disgusting,frank,nonreligious,logic,,childish,needless,outline,,allocated,relevant,,,springy,,furniture,,,,usual,,,,clumsy,,,deserted,,enemy,unknown,,,,shady,secret,,memorable,glamorous,,picturesque,,,,,extraordinary,,,,multinational,patient,technological
9,dinosaur,minimum,america,,,,,unaltered,rational,tangled,pitiful,splendid,mud,integrated,,,,inline,pleased,merit,liked,goblin,wearable,mountainous,italian,,filial,incomprehensible,misdirected,nervous,,original,,skillful,loveable,intimate,,cluttered,floral,jealous,threedimensional,,contaminated,courteous,,,constitutional,rough,reliable,shameless,,communal,exact,,cynical,unfortunate,exhaustive,,subsidized,valuable,,,horizontal,,tableware,,,,nowhere,,,,unenjoyable,,,lonesome,,notorious,irregular,,,,spooky,such,,vibrant,prettiest,,leisurely,,,,,incredible,,,,worldwide,private,ecological
