tags,p_id,p_rate,link,open_day,price,address,p_name,category,open_time
,c10,0/5,https://place.map.kakao.com/1119527602#comment,매일 11:00 ~ 00:00,,서울 중구 장충단로 253 헬로우APM 지하 160호 (우)04564,콩툰 동대문APM점,c,만화카페
,c11,0/5,https://place.map.kakao.com/737325783#comment,"매일 11:00 ~ 24:00
더보기",,서울 동대문구 회기로13길 19 지하 1층 (우)02454,너나들이 만화카페,c,만화카페
,c110,0/5,https://place.map.kakao.com/1753434720#comment,,,서울 종로구 수표로28길 33-7 (우)03133,만홧가게,c,만화카페
,c111,0/5,https://place.map.kakao.com/24877295#comment,,,서울 관악구 대학5길 17 (우)08814,등대만화,c,만화방
,c1110,0/5,https://place.map.kakao.com/1588136752#comment,,,서울 강동구 올림픽로 781 와이씨빌딩 지하 1층 (우)05241,커몬코믹플렉스,c,만화방
,c112,0/5,https://place.map.kakao.com/1388631546#comment,매일 10:00 ~ 23:00,,서울 동작구 보라매로5가길 16 보라매아카데미타워 6층 (우)07071,놀숲 보라매점,c,만화카페
"만화카페, 만화방, 만화책 대여점",c113,0/5,https://place.map.kakao.com/27459411#comment,"화,수 11:00 ~ 22:00
더보기",,서울 마포구 도화4길 23 2층 (우)04169,해브어코믹스데이,c,만화카페
,c114,0/5,https://place.map.kakao.com/1597762535#comment,"월~금 11:00 ~ 24:00
더보기",,서울 중랑구 면목로48길 8 3층 (우)02213,놀숲 사가정점,c,만화카페
,c12,0/5,https://place.map.kakao.com/110246815#comment,매일 10:00 ~ 06:00,,서울 광진구 아차산로 241 3층 (우)05017,만화카페검정고무신,c,만화카페
,c120,0/5,https://place.map.kakao.com/675147253#comment,매일 10:00 ~ 02:00,,서울 성북구 동소문로22길 15 5층 (우)02845,딩구리카툰앤북,c,만화방
,c123,0/5,https://place.map.kakao.com/1559428510#comment,매일 00:00 ~ 24:00,,서울 강서구 강서로 43 도양라비앙타워 10층 (우)07774,하늘정원만화방,c,만화방
,c126,0/5,https://place.map.kakao.com/10848625#comment,,,서울 구로구 개봉로20길 74 (우)08329,만화카페,c,만화방
,c127,0/5,https://place.map.kakao.com/225631634#comment,,,서울 광진구 아차산로25길 17 지하1층 (우)05019,만화카페휴 건대점,c,만화방
,c13,0/5,https://place.map.kakao.com/2107132596#comment,,,서울 양천구 목동중앙본로7길 42 2층 (우)07955,벌툰 목동점,c,만화카페
,c130,0/5,https://place.map.kakao.com/1203826407#comment,,,서울 양천구 중앙로 267 (우)08073,책사랑만화카페,c,만화방
,c1310,0/5,https://place.map.kakao.com/446080560#comment,,,서울 동대문구 장한로 137 소성빌딩 지하1층 (우)02530,만화카페휴,c,만화방
,c133,0/5,https://place.map.kakao.com/25848530#comment,,,서울 노원구 상계로 76 (우)01695,책사랑만화방,c,만화방
,c139,0/5,https://place.map.kakao.com/27537882#comment,,,서울 관악구 남부순환로 1964 지하 1층 (우)08793,심쿵달콩만화카페,c,만화방
,c14,0/5,https://place.map.kakao.com/1433667341#comment,매일 10:00 ~ 02:00,,서울 마포구 월드컵로13길 34 2층 (우)04012,통툰 망리단길점,c,만화카페
"만화방, 만화카페",c1410,0/5,https://place.map.kakao.com/20535716#comment,,,서울 송파구 백제고분로32길 10 (우)05589,갤러리만화카페,c,도서대여점
,c1411,0/5,https://place.map.kakao.com/860364947#comment,,,서울 강서구 등촌로 223-1 3층 (우)07665,명작만화카페,c,북카페
,c147,0/5,https://place.map.kakao.com/493916586#comment,매일 10:00 ~ 24:00,,서울 용산구 한강대로81길 22 (우)04321,만화카페산장,c,카페
,c149,0/5,https://place.map.kakao.com/27390944#comment,,,서울 동작구 사당로 295 (우)07008,만화카페쉼표,c,테마카페
,c15,0/5,https://place.map.kakao.com/27340673#comment,,,서울 영등포구 영신로19길 7 지하 1층 (우)07366,수만화카페,c,만화카페
,c16,0/5,https://place.map.kakao.com/803639544#comment,매일 10:00 ~ 02:00,,서울 관악구 관악로16길 13 5층 (우)08788,통툰만화카페 서울대입구역점,c,만화카페
,c160,0/5,https://place.map.kakao.com/1797985577#comment,매일 10:00 ~ 24:00,,서울 종로구 삼일대로17길 8 대신빌딩 3층 (우)03190,놀숲 종로점,c,북카페
,c161,0/5,https://place.map.kakao.com/390357162#comment,매일 10:00 ~ 23:00,,서울 마포구 와우산로 111 태화프라자 3층 (우)04054,도화서가 홍대점,c,북카페
,c1610,0/5,https://place.map.kakao.com/468085494#comment,"월,화,수,목,일 10:00 ~ 24:00
더보기",,서울 강동구 천호대로157길 37 2층 (우)05329,놀숲 천호로데오점,c,북카페
,c1611,0/5,https://place.map.kakao.com/1411337187#comment,매일 10:00 ~ 24:00,,서울 송파구 백제고분로 387 삼현빌딩 지하1층 (우)05626,놀숲 송파점,c,북카페
,c1612,0/5,https://place.map.kakao.com/2112840377#comment,매일 12:00 ~ 24:00,,서울 마포구 와우산로 151 지하1층 (우)04052,딩굴딩굴,c,테마카페
,c1613,0/5,https://place.map.kakao.com/27333576#comment,매일 10:00 ~ 24:00,,서울 서대문구 명물길 37 지하1층 (우)03776,놀숲 신촌점,c,북카페
"홍대에 괜찮은 목에 쉼터가 하나 생겼습니다
앉아서 혹 누워서 만화도 보고 때론 강연,
공연도 즐기세요.볕 좋은 날, 테라스에서
햇살도 만끽하구요
문화란 이런 것입니다. 애쓰지않아도 손 닽을 거리에 있는
문화의 문턱을 낮춥니다.청춘문화싸롱",c1614,0/5,https://place.map.kakao.com/26859406#comment,"매일 11:00 ~ 23:30
더보기",,서울 마포구 와우산로29바길 19 삼이빌딩 3층 (우)04053,청춘문화싸롱,c,북카페
"차별화된 룸카페, 매직큐브 룸셀프카페입니다.
젊음의 거리 홍대에서도 가장 Hot한 장소, 홍대놀이터 근처에 위치한 매직큐브 룸셀프카페는 기존의 룸카페와는 차별화된 요소로 고객여러분을 맞이하고 있습니다.
각 방마다 42~52인치 대형 HDTV와 개별냉난방시설은 물론이고, 방해받지 않도록 방음시설을 갖추고 있습니다. 기존의 룸카페에서 볼 수 있었던 차,음료,스낵,팝콘,아이스크림 등의 무한리필셀프바는 당연히 설치되어 있고, 거기에 추가해서 볶음밥,튀김류,조각피자,감자튀김, 신선한 야채 과일샐러드바 등까지 원하시는 만큼 무한리필로 즐기실 수 있도록 갖추어 놓았습니다. 물론, 추가비용은 없다는거!!
또, 가볍게 맥주 한잔 즐기고 싶은 분들을 위해, 병맥주, 생맥주도 구매하실 수 있고, 배달음식 또한 주문이 가능합니다. 거기다 대기시간 지루하실까봐 만화책까지~ 즐길거리 먹거리가 너무너무 많은 매직큐브입니다. 많이 찾아주세요~",c162,0/5,https://place.map.kakao.com/17706768#comment,"월~금 10:30 ~ 06:00
더보기",,서울 마포구 와우산로21길 34 4층 (우)04040,매직큐브,c,테마카페
,c164,0/5,https://place.map.kakao.com/2082640342#comment,,,서울 송파구 올림픽로10길 16 1층 (우)05561,역전할머니맥주 서울신천점,c,"호프,요리주점"
,c165,0/5,https://place.map.kakao.com/2028611275#comment,"화~토 13:00 ~ 22:00
더보기",,서울 광진구 능동로 147-1 3층 (우)05010,냥토피아,c,테마카페
,c166,0/5,https://place.map.kakao.com/798713718#comment,매일 10:00 ~ 24:00,,서울 강남구 강남대로98길 17 2층 (우)06129,놀숲 강남역점,c,북카페
,c167,0/5,https://place.map.kakao.com/391370914#comment,"화~금 18:00 ~ 23:30
더보기",,서울 송파구 새말로8길 13 2층 (우)05810,조광201,c,중화요리
,c168,0/5,https://place.map.kakao.com/1260273250#comment,"월,화,수,목,일 10:00 ~ 12:00
더보기",,서울 용산구 청파로47길 52 명신프라자 지하1층 (우)04309,놀숲플러스 숙대입구점,c,북카페
,c169,0/5,https://place.map.kakao.com/1388115897#comment,"월,화,수,목,일 10:00 ~ 24:00
더보기",,서울 강남구 도산대로11길 11 지하1층 (우)06035,놀숲 신사가로수길점,c,북카페
,c17,0/5,https://place.map.kakao.com/1313645323#comment,매일 10:00 ~ 24:00,,서울 중구 서애로 6-1 인산빌딩 3층 (우)04624,놀숲 충무로동국대점,c,만화카페
