address,tags,open_time,price,p_id,link,p_rate,category,p_name,open_day
서울 광진구 강변역로4길 10 지너스타워 6층 (우)05116,,멀티방,,d11,https://place.map.kakao.com/1938609182#comment,0/5,d,수멀티방,
서울 관악구 시흥대로 560 (우)08769,,멀티방,,d13,https://place.map.kakao.com/15674735#comment,0/5,d,팝스멀티카페 구로디지털단지점,
,,,,d15,https://place.map.kakao.com/16051068#comment,,d,,
서울 서대문구 명물길 19 외2필지 나동 41-6 (우)03776,,멀티방,,d18,https://place.map.kakao.com/13581040#comment,0/5,d,엠플레이,
서울 관악구 관악로 153 로얄빌딩 4층 (우)08787,멀티방,멀티방,,d111,https://place.map.kakao.com/13578109#comment,0/5,d,M플레이멀티방 서울대점,
서울 중구 명동8가길 42-1 국도빌딩 4층 (우)04537,,멀티방,,d112,https://place.map.kakao.com/15215015#comment,0/5,d,큐플러스멀티방,
서울 광진구 아차산로29길 12 (우)05018,"클릭한번으로 노래방,게임,Wii,TV,영화까지 마음껏 즐길 수 있는 멀티방 입니다. 10인까지 이용 가능한 대형룸이 완비되어 있고, 사랑하는 사람과 친구들과 아늑한 시간을 보낼 수 있습니다.",멀티방,,d114,https://place.map.kakao.com/17089979#comment,0/5,d,엠플레이멀티방 건대점,"매일 00:00 ~ 24:00
더보기"
서울 강남구 강남대로98길 10 3층 (우)06129,"영화, 노래, TV다시보기, 닌텐도 Wii 등 9가지를 한공간에서 즐길수 있는 복합 놀이 공간 큐플러스 입니다.",멀티방,,d21,https://place.map.kakao.com/17698612#comment,0/5,d,Q플러스멀티방 강남점,"매일 00:00 ~ 24:00
더보기"
서울 강남구 강남대로96길 9 4층 (우)06129,,멀티방,,d22,https://place.map.kakao.com/474641869#comment,0/5,d,팝스멀티방,
서울 강남구 강남대로102길 16 5층 (우)06128,,멀티방,,d24,https://place.map.kakao.com/22115616#comment,0/5,d,퍼니멀티방,
서울 중구 명동4길 2 3층 (우)04536,,멀티방,,d27,https://place.map.kakao.com/16985071#comment,0/5,d,엠플러스멀티방,
서울 종로구 삼일대로17길 15 3~4층 (우)03190,"종로 젊음의 거리에 위치한 큐플러스멀티방 종로 1호점 입니다.
큐플러스멀티방은 1000여편의 영화시청, TV다시보기기능, will게임도 다수 보유하고 있으며 신곡을 매주 업데이트하는 노래방도 이용하실 수 있습니다.
팝콘과 쿠키, 커피,아이스크림, 음료수 등 다양한 무제한 셀프바도 이용가능 합니다.",멀티방,,d210,https://place.map.kakao.com/14826444#comment,0/5,d,큐플러스멀티방 종로1호점,"매일 00:00 ~ 24:00
더보기"
서울 노원구 상계로1길 14-11 (우)01693,"노원역에 위치한 퀸멀티방 입니다.
친구, 연인과 즐기기 좋은 2인실 부터
단체이용 가능한 넓은 단체실까지 준비되어 있습니다.
영화, 노래, 게임 등 모든 즐길거리가 준비되어 있습니다.",멀티방,,d211,https://place.map.kakao.com/16620339#comment,0/5,d,퀸멀티방,
서울 종로구 삼일대로19길 28 3층 (우)03190,,멀티방,,d212,https://place.map.kakao.com/15736437#comment,0/5,d,엠플레이멀티방 종로본점,
서울 종로구 종로10길 14 (우)03189,"종로 젊음의거리에 위치한 큐플러스멀티방 종로2호점입니다.
큐플러스멀티방 종로 2호점은 1000여편의 영화시청과 LIVE TV시청(다시보기가능), will 게임을 다수 보유하고있으며 PS2(위닝11,12)가 이용가능합니다.
노래방은 매주 신곡을 업데이트하고 있으며 쿠키,팝콘,음료수 등 무제한 셀프바를 이용하실 수 있습니다.",멀티방,,d213,https://place.map.kakao.com/17030514#comment,0/5,d,Q플러스멀티방 종로2호점,"매일 00:00 ~ 24:00
더보기"
