address,tags,open_time,price,p_id,link,p_rate,category,p_name,open_day
서울 은평구 연서로29길 11-9 2층 (우)03331,,테마카페,,e10,https://place.map.kakao.com/1260511331#comment,0/5,e,CSI방탈출카페 연신내점,
서울 강남구 테헤란로64길 24 유경빌딩 (우)06198,,테마카페,,e14,https://place.map.kakao.com/2061692193#comment,0/5,e,CSI VR방탈출카페 대치선릉점,
서울 구로구 디지털로32나길 17-12 3층 (우)08391,,테마카페,,e16,https://place.map.kakao.com/1757443413#comment,0/5,e,코난방탈출 구로디지털단지역점,
서울 강남구 봉은사로2길 31 지하1층 (우)06123,,테마카페,,e18,https://place.map.kakao.com/1528582359#comment,0/5,e,코드케이 강남점,매일 10:00 ~ 23:00
서울 마포구 독막로3길 30 (우)04047,,테마카페,,e19,https://place.map.kakao.com/1246652450#comment,0/5,e,비트포비아 던전홍대점,"월~금 11:50 ~ 23:50
더보기"
서울 강남구 강남대로96길 17 (우)06129,,테마카페,,e111,https://place.map.kakao.com/1405262610#comment,0/5,e,키이스케이프 강남점,
"서울 광진구 아차산로 192 별관 2,3층 (우)05071",,테마카페,,e112,https://place.map.kakao.com/287949141#comment,0/5,e,넥스트에디션 건대2호점,
서울 서초구 사평대로56길 14 지하1층 (우)06609,,테마카페,,e113,https://place.map.kakao.com/1131371875#comment,0/5,e,넥스트에디션 강남신논현점,
서울 서초구 서초대로77길 11 S호텔빌딩 지하1층 (우)06615,,테마카페,,e114,https://place.map.kakao.com/1529768176#comment,0/5,e,서울이스케이프룸 강남1호점,매일 10:00 ~ 23:30
서울 마포구 와우산로23길 8 더모임빌딩 지하1층 (우)04054,,테마카페,,e20,https://place.map.kakao.com/902163133#comment,0/5,e,룸즈에이 홍대점,매일 10:50 ~ 23:30
서울 마포구 어울마당로 55-1 (우)04048,"아직도 방탈출카페에서 자물쇠만 풀고 탈출하십니까??

홍대 코마이스케이프에서만 만날 수 있는 영화 같은 모험들!
영화를 보는 듯한 흥미진진한 스토리! 피부에 와닿는 몰입감!
홍대, 약 100평 규모의 초대형 방탈출카페 코마이스케이프 홍대점.

방탈출카페 코마이스케이프에서는 특수장비셋팅 및 고객님의 소중한 대기시간을 줄이기 위해
100% 예약제를 시행하고 있습니다.

홍대 방탈출카페 코마이스케이프은 오프라인 방탈출게임을 즐길 수 있는 카페로 60분동안 주어진 단서들로 추리하여 탈출하는 테마형 카페입니다.
해외에서만 만나볼 수 있었던 고가의 특수장비들, 영화에서만 볼 수 있던 레이저 장애물을 통과해서 비밀번호를 푸는 시스템 도입, 문에 손을 대서 문이 열리는 차별화된 시스템으로 영화 속 주인공이 되어보세요!

친구와, 연인과, 가족과, 동료와! 함께라면 더욱 즐겁습니다! 홍대 방탈출카페 코마이스케이프에서 지루한 일상을 벗어나 잊을 수 없는 추억을 만드세요.",보드카페,,e21,https://place.map.kakao.com/2136532504#comment,0/5,e,코마이스케이프 홍대점,"매일 10:00 ~ 23:30
더보기"
서울 마포구 양화로16길 15 무광빌딩 4층 (우)04039,,테마카페,,e22,https://place.map.kakao.com/27413260#comment,0/5,e,큐브이스케이프 홍대점,"월,화,수,목,일 10:00 ~ 23:45
더보기"
서울 마포구 어울마당로 94-14 2층 (우)04040,오프라인 방탈출 카페,서바이벌게임,,e23,https://place.map.kakao.com/26935271#comment,0/5,e,더클루 홍대역점,
서울 마포구 연희로1길 7 2층 3층 (우)03985,,테마카페,,e24,https://place.map.kakao.com/969459474#comment,0/5,e,이스케이퍼스,
서울 강남구 봉은사로6길 26 지하1층 (우)06123,,테마카페,,e25,https://place.map.kakao.com/1241796808#comment,0/5,e,마스터키 강남점,
서울 강남구 강남대로84길 33 대우디오빌플러스 지하1층 111호 (우)06233,,테마카페,,e26,https://place.map.kakao.com/27413263#comment,0/5,e,비트포비아 강남던전점,월~금 11:30 ~ 23:00
서울 강남구 봉은사로 115 노벨테크빌딩 지하2층 (우)06120,,테마카페,,e27,https://place.map.kakao.com/669796134#comment,0/5,e,비트포비아 신논현점,"월~금 12:00 ~ 24:00
더보기"
서울 마포구 어울마당로 44-1 지하 1층 (우)04049,방탈출카페,테마카페,,e28,https://place.map.kakao.com/200411443#comment,0/5,e,키이스케이프 홍대점,
서울 강남구 강남대로102길 20 3층 (우)06128,,테마카페,,e29,https://place.map.kakao.com/1553306223#comment,0/5,e,서울이스케이프룸 강남2호점,
서울 마포구 잔다리로 5-1 상아빌딩 5층 (우)04049,방탈출카페,테마카페,,e210,https://place.map.kakao.com/27223158#comment,0/5,e,미스터리룸이스케이프 홍대점,매일 10:30 ~ 23:30
서울 송파구 올림픽로8길 10 4층 (우)05556,방탈출 카페,테마카페,,e211,https://place.map.kakao.com/466116790#comment,0/5,e,큐브이스케이프 잠실점,"월,화,수,목,일 10:00 ~ 23:20
더보기"
서울 광진구 동일로 112 (우)05020,방탈출카페,테마카페,,e212,https://place.map.kakao.com/27354377#comment,0/5,e,엑스케이프,"매일 10:00 ~ 24:00
더보기"
서울 강남구 강남대로 480 보라티알빌딩 지하2층 (우)06120,,테마카페,,e213,https://place.map.kakao.com/656906066#comment,0/5,e,480번가,"월~금 14:00 ~ 01:00
더보기"
서울 마포구 잔다리로 39 로뎀빌딩 지하1층 (우)04043,"호텔 드 코드 는
1. HOTEL 과 ‘해독하다’ 라는 뜻을 지닌 decode 의 합성어로 암호를 해독하는 곳(호텔)
2. Hôtel de code 즉, 암호로 이루어진 호텔
이라는 두가지 의미를 내포하고 있는
“곳곳에 숨겨진 암호를 해독해야 하는 새로운 공간(호텔)”
컨셉을 가진 복합문화 놀이공간입니다.",테마카페,,e30,https://place.map.kakao.com/616801218#comment,0/5,e,호텔드코드,매일 10:00 ~ 23:40
서울 마포구 와우산로21길 20-5 홍대프라자 3층 (우)04040,,테마카페,,e32,https://place.map.kakao.com/1772415237#comment,0/5,e,엑스이스케이프 홍대놀이터점,연중무휴
서울 중구 명동8나길 6 (우)04536,,테마카페,,e33,https://place.map.kakao.com/1587350979#comment,0/5,e,키이스케이프 명동점,
서울 마포구 홍익로 19 (우)04040,,테마카페,,e34,https://place.map.kakao.com/349904237#comment,0/5,e,비밀의화원 홍대점,
서울 서초구 서초대로77길 37 5층 501호 (우)06612,,테마카페,,e35,https://place.map.kakao.com/27367643#comment,0/5,e,미스터리룸 이스케이프 강남점,매일 10:00 ~ 24:00
서울 영등포구 영중로8길 6 성남빌딩 구관 401호 (우)07302,,테마카페,,e36,https://place.map.kakao.com/1444854771#comment,0/5,e,이스케이프시티,"월~금 14:00 ~ 23:00
더보기"
