address,tags,open_time,price,p_id,link,p_rate,category,p_name,open_day
서울 마포구 어울마당로 70 서포빌딩 5층 (우)04041,,보드카페,,f10,https://place.map.kakao.com/2129451774#comment,0/5,f,보드팩토리,"월,화,수,목,일 13:00 ~ 24:00
더보기"
서울 광진구 동일로24길 96 지하1층 (우)05017,,보드카페,,f110,https://place.map.kakao.com/1462994034#comment,0/5,f,키랩보드게임카페 건대1호점,"매일 00:00 ~ 24:00 (예약제,예약필수)"
서울 마포구 잔다리로 19 (우)04048,,보드카페,,f111,https://place.map.kakao.com/27503326#comment,0/5,f,친구네놀이터,매일 10:00 ~ 23:00
서울 광진구 능동로13길 39 한아름쇼핑센터 2층 (우)05016,,보드카페,,f112,https://place.map.kakao.com/1232273833#comment,0/5,f,히어로보드게임카페 건대본점,"월~금 13:00 ~ 24:00
더보기"
서울 강남구 언주로85길 23-10 (우)06222,,보드카페,,f113,https://place.map.kakao.com/26467300#comment,0/5,f,제임스보드카페,
서울 강남구 테헤란로1길 16 (우)06129,,보드카페,,f114,https://place.map.kakao.com/24785058#comment,0/5,f,보드게임카페 보드스쿨,
서울 성동구 왕십리로 101 (우)04768,,보드카페,,f1210,https://place.map.kakao.com/256970182#comment,0/5,f,성수지앵협동조합,
서울 영등포구 영중로 31 3층 (우)07301,,보드카페,,f13,https://place.map.kakao.com/1012409570#comment,0/5,f,보드게임아지트,
서울 마포구 양화로16길 15 무광빌딩 4층 (우)04039,,테마카페,,f131,https://place.map.kakao.com/27413260#comment,0/5,f,큐브이스케이프 홍대점,"월,화,수,목,일 10:00 ~ 23:45
더보기"
서울 강서구 마곡중앙로 161-17 보타닉파크타워1 지하1층 B112호 (우)07788,,만화카페,,f132,https://place.map.kakao.com/528909972#comment,0/5,f,꿀팟만화보드카페,"월~금 11:00 ~ 02:00
더보기"
서울 중구 명동8나길 6 (우)04536,,테마카페,,f133,https://place.map.kakao.com/1587350979#comment,0/5,f,키이스케이프 명동점,
서울 서대문구 명물길 49 5층 (우)03776,,테마카페,,f134,https://place.map.kakao.com/27405762#comment,0/5,f,방탈출제로,"월~금 12:00 ~ 23:00
더보기"
서울 종로구 대학로12길 50 3층 (우)03086,오프라인 방탈출카페,테마카페,,f135,https://place.map.kakao.com/27176753#comment,0/5,f,키이스케이프 혜화점,매일 10:30 ~ 23:00
서울 강남구 도산대로51길 40 (우)06018,,오락실,,f137,https://place.map.kakao.com/27025428#comment,0/5,f,GAMZINO보드게임카페 압구정점,
서울 종로구 종로12길 16 대성빌딩 4층 (우)03189,,보드카페,,f14,https://place.map.kakao.com/26349251#comment,0/5,f,보드스토리,매일 13:00 ~ 23:30
"서울 은평구 통일로 830 파레제페빌딩 403,404호 (우)03350",,만화카페,,f1410,https://place.map.kakao.com/1058701106#comment,0/5,f,만화카페 벌툰 연신내점,매일 10:00 ~ 23:00
서울 동대문구 회기로13길 19 지하 1층 (우)02454,,만화카페,,f1411,https://place.map.kakao.com/737325783#comment,0/5,f,너나들이 만화카페,"매일 11:00 ~ 24:00
더보기"
서울 용산구 한강대로81길 22 (우)04321,,카페,,f1412,https://place.map.kakao.com/493916586#comment,0/5,f,만화카페산장,매일 10:00 ~ 24:00
서울 마포구 독막로7길 63 1층 (우)04043,,카페,,f1413,https://place.map.kakao.com/1903399843#comment,0/5,f,카페23서울,
서울 광진구 아차산로 241 3층 (우)05017,,만화카페,,f1414,https://place.map.kakao.com/110246815#comment,0/5,f,만화카페검정고무신,매일 10:00 ~ 06:00
서울 마포구 와우산로21길 19-16 NS타워 지하 2층 (우)04041,"방탈출카페, 게임&PUB",테마카페,,f143,https://place.map.kakao.com/1604855298#comment,0/5,f,방탈출카페ESC 홍대점,매일 10:00 ~ 24:00
서울 마포구 잔다리로6길 35 향남빌딩 4층 (우)04039,,카페,,f145,https://place.map.kakao.com/395610351#comment,0/5,f,머쉬룸카페,"월~금 12:00 ~ 00:30
더보기"
서울 강남구 테헤란로1길 17 5층 (우)06134,,테마카페,,f146,https://place.map.kakao.com/1709230849#comment,0/5,f,카페화실,매일 12:00 ~ 23:00
서울 마포구 어울마당로 96 3층 (우)04040,"한 시대를 풍미한 만화의 맥을 이어받아
또한번 새롭게 도약하는 카페데코믹스
자라나는 아이들에게 꿈과 희망을 주고 시련을 극복하는 방법을 알려주며,대중예술의 꽃으로 일커졌던 만화를 카페데코믹스에서 또 한번 꽃 피우려고 합니다.
카페데코믹스는 은은한 커피 향과, 다채로운 고객 맞춤형 만화 컨텐츠로 휴식과 즐거움을 제공함으로써 생활의 재충전, 인생의 즐거움을 함께 드리고자 합니다.
함께하는 카페데코믹스
카페데코믹스는 Coffee 와 만화책을 한 공간에서 즐길수있는 재충전의공간을 말합니다.
커피를 볶는 카페데코믹스
카페데코믹스의 커피는 대량으로 볶아지는 원두가 아닙니다.
매일매일 소량의 원두를 정성것 볶아 제공하는 카페데코믹스만의 선물입니다.
재미가 있는 카페데코믹스
여성의 전유물, 새로운 애완동물로 자리매김 하고있는 야옹이 본연의 시크함과 도도함,깔끔한 성격으로 여성의 사랑을 듬뿍 받고있는 고양이가 운영하는 카페데코믹스 입니다.",북카페,,f147,https://place.map.kakao.com/22614688#comment,0/5,f,카페데코믹스 홍대점,"월,화,수,목,일 11:00 ~ 24:00
더보기"
서울 서초구 서초대로77길 37 서초동월드 8층 801호 (우)06612,,테마카페,,f148,https://place.map.kakao.com/1672829084#comment,0/5,f,카페허니룸,매일 12:00 ~ 24:00
