address,tags,open_time,price,p_id,link,p_rate,category,p_name,open_day
서울 중랑구 봉화산로52길 58 (우)02069,,코인노래방,,g99,https://place.map.kakao.com/1030243262#comment,0/5,g,탑코인노래연습장,
서울 성동구 용답29길 18 (우)04805,,코인노래방,,g98,https://place.map.kakao.com/597292313#comment,0/5,g,딴따라코인노래연습장,
서울 강남구 도곡로 443 3층 (우)06209,,코인노래방,,g96,https://place.map.kakao.com/1156257205#comment,0/5,g,킹콩코인노래연습장,
서울 동대문구 답십리로72길 28 2층 (우)02637,,코인노래방,,g92,https://place.map.kakao.com/404608069#comment,0/5,g,세븐스타코인노래연습장 장안동점,
서울 관악구 관악로 174 (우)08788,,코인노래방,,g912,https://place.map.kakao.com/310605001#comment,0/5,g,스타버스 코인노래연습장 서울대본점,매일 09:30 ~ 04:00
서울 관악구 난곡로 359 지하 1층 (우)08701,,코인노래방,,g910,https://place.map.kakao.com/1098529287#comment,0/5,g,가수코인노래연습장,
서울 양천구 오목로 339 지하 1층 (우)07999,,코인노래방,,g90,https://place.map.kakao.com/1810575552#comment,0/5,g,엔젤스코인노래연습장 오목교역점,"월,화,수,목,일 10:00 ~ 02:00
더보기"
서울 서대문구 명물길 70 (우)03777,,코인노래방,,g89,https://place.map.kakao.com/350609658#comment,0/5,g,어썸코인노래연습장 신촌1호점,"월,화,수,목,일 11:00 ~ 24:00
더보기"
서울 중랑구 망우로 283 (우)02098,,코인노래방,,g87,https://place.map.kakao.com/872921121#comment,0/5,g,최가코인노래연습장,
서울 양천구 등촌로 236 지하1층 (우)07946,,코인노래방,,g85,https://place.map.kakao.com/327566973#comment,0/5,g,슈퍼스타코인노래연습장 등촌점,
서울 광진구 자양로18길 19 해민빌딩 3층 (우)05043,,코인노래방,,g84,https://place.map.kakao.com/286322036#comment,0/5,g,도깨비코인노래연습장,
서울 동작구 만양로 90-1 (우)06913,,코인노래방,,g812,https://place.map.kakao.com/589305442#comment,0/5,g,샤우팅코인노래방,매일 09:00 ~ 03:00
서울 동대문구 전농로 36 포레스트스퀘어 지하1층 B105호 (우)02615,,코인노래방,,g811,https://place.map.kakao.com/1508009911#comment,0/5,g,K팝코인노래뮤비방,"매일 10:00 ~ 01:00 (청소년 22시까지)
더보기"
서울 서대문구 통일로 455 지하1층 (우)03636,,코인노래방,,g81,https://place.map.kakao.com/1180558116#comment,0/5,g,고래고래코인노래연습장,
서울 동대문구 서울시립대로 160 (우)02505,,코인노래방,,g80,https://place.map.kakao.com/27262675#comment,0/5,g,엔젤코인노래연습장,
서울 강남구 테헤란로1길 32 (우)06129,,코인노래방,,g78,https://place.map.kakao.com/372992819#comment,0/5,g,라라코인노래연습장,
서울 서대문구 신촌역로 22-8 지하 2층 (우)03766,,코인노래방,,g77,https://place.map.kakao.com/1194090145#comment,0/5,g,리코스타코인노래연습장 이대점,
서울 은평구 서오릉로 71 2층 (우)03404,,코인노래방,,g71,https://place.map.kakao.com/138975416#comment,0/5,g,너짱코인노래연습장,
서울 도봉구 도봉로 468 흥일빌딩 지하 1층 (우)01455,,코인노래방,,g69,https://place.map.kakao.com/1317193688#comment,0/5,g,가왕코인노래연습장,
서울 용산구 청파로47길 67 지하1층 (우)04312,,코인노래방,,g67,https://place.map.kakao.com/991608390#comment,0/5,g,탑코인노래방 숙명여대점,
서울 관악구 남부순환로226길 31 지하 1층 (우)08788,,코인노래방,,g64,https://place.map.kakao.com/1214447109#comment,0/5,g,슈퍼스타 코인노래연습장 샤로수점,
서울 송파구 백제고분로48길 6 지하1층 (우)05641,,코인노래방,,g63,https://place.map.kakao.com/1956197735#comment,0/5,g,도깨비코인노래연습장,
서울 구로구 시흥대로 569 (우)08391,,코인노래방,,g62,https://place.map.kakao.com/27469126#comment,0/5,g,코인노래연습장,
서울 강서구 화곡동 1116-5 2층,,코인노래방,,g613,https://place.map.kakao.com/222586222#comment,0/5,g,코인박스 동전노래방,
서울 송파구 동남로18길 33 2층 (우)05782,,코인노래방,,g611,https://place.map.kakao.com/1872178281#comment,0/5,g,세븐스타코인노래연습장 가락동점,"월~금 13:00 ~ 03:00
더보기"
서울 강남구 봉은사로4길 37 나무와2빌딩 4층 (우)06123,코인노래방,코인노래방,,g61,https://place.map.kakao.com/662093704#comment,0/5,g,히든코인싱어노래연습장 강남역카페거리점,
서울 송파구 백제고분로7길 16-3 2층 (우)05561,,코인노래방,,g49,https://place.map.kakao.com/27477888#comment,0/5,g,원더스타코인노래연습장,
서울 노원구 상계로 61 성임빌딩 지하 1층 (우)01693,,코인노래방,,g46,https://place.map.kakao.com/1719687736#comment,0/5,g,슈퍼스타코인노래연습장 노원점,
서울 강남구 선릉로 313 (우)06218,,코인노래방,,g45,https://place.map.kakao.com/1517854569#comment,0/5,g,큐코인노래연습장 한티점,
서울 영등포구 영중로 22 남서울빌딩 3층 (우)07302,,코인노래방,,g43,https://place.map.kakao.com/1987093162#comment,0/5,g,코인노래방싱어삘,
서울 마포구 어울마당로 138 지하1층 (우)04053,,코인노래방,,g42,https://place.map.kakao.com/1200533136#comment,0/5,g,히든코인싱어 홍대점,"월,화,수,목,일 11:00 ~ 03:00
더보기"
서울 광진구 천호대로110길 8-10 2층 (우)04985,,코인노래방,,g414,https://place.map.kakao.com/1696721386#comment,0/5,g,별빛코인노래연습장,"월~목 09:00 ~ 01:00
더보기"
서울 성동구 마조로5길 5 (우)04760,,코인노래방,,g413,https://place.map.kakao.com/354495687#comment,0/5,g,고래고래코인노래연습장,
서울 용산구 청파로47길 49 3층 (우)04313,,코인노래방,,g411,https://place.map.kakao.com/252208110#comment,0/5,g,조이킹동전노래연습장 숙명여대점,
서울 양천구 오목로 333 2층 (우)07999,,코인노래방,,g410,https://place.map.kakao.com/387581389#comment,0/5,g,플레이코인노래연습장,"월,화,수,목,일 10:00 ~ 03:00
더보기"
서울 마포구 마포대로 180 (우)04207,,코인노래방,,g41,https://place.map.kakao.com/1582392830#comment,0/5,g,엔젤스코인노래방마포공덕점,
서울 마포구 어울마당로 116 (우)04055,,코인노래방,,g40,https://place.map.kakao.com/1885656051#comment,0/5,g,슈퍼스타코인노래연습장 홍대입구역점,
서울 강남구 테헤란로6길 47 3층 (우)06240,,코인노래방,,g39,https://place.map.kakao.com/1660541930#comment,0/5,g,노래야노래야 코인노래연습장 역삼점,매일 10:00 ~ 02:00
서울 서초구 신반포로 177 반포쇼핑타운 3동 지하1층 11-16호 (우)06512,,코인노래방,,g38,https://place.map.kakao.com/761539914#comment,0/5,g,판타스틱코인노래연습장 고속터미널점,
서울 서초구 신반포로 165 반포쇼핑타운 2동 지하 1층 1 (우)06512,,코인노래방,,g37,https://place.map.kakao.com/1769221278#comment,0/5,g,핵인싸코인노래방,
서울 마포구 도화길 10 (우)04173,,코인노래방,,g34,https://place.map.kakao.com/1364312055#comment,0/5,g,세븐틴코인노래연습장 (마포점),
서울 은평구 응암로13길 6 2층 (우)03484,,코인노래방,,g33,https://place.map.kakao.com/617901408#comment,0/5,g,쇼미더코인 동전노래연습장,
서울 송파구 송파대로 404 (우)05667,,노래방,,g327,https://place.map.kakao.com/200358003#comment,0/5,g,피그코인노래연습장,
서울 동작구 사당로 200 (우)07009,,노래방,,g3213,https://place.map.kakao.com/1314708464#comment,0/5,g,코노코노코인노래연습장,
서울 구로구 경인로59길 8 태영프라자 2층 215호 (우)08210,,노래방,,g317,https://place.map.kakao.com/335223409#comment,0/5,g,케이팝코인노래방,
서울 서대문구 명물길 23 401호 (우)03776,,노래방,,g315,https://place.map.kakao.com/1766438558#comment,0/5,g,락휴코인노래연습장 신촌명물거리점,
서울 양천구 목동중앙북로 8 지하1층 (우)07950,,코인노래방,,g313,https://place.map.kakao.com/576376650#comment,0/5,g,엔젤스코인노래연습장 목동점,
서울 광진구 능동로 109 지하1층 (우)05017,,노래방,,g312,https://place.map.kakao.com/75632985#comment,0/5,g,락휴코인노래연습장 건대입구역점,
서울 마포구 양화로 45 (우)04036,,카페,,g3114,https://place.map.kakao.com/19883662#comment,0/5,g,카페코노피자,
서울 광진구 아차산로33길 63 (우)05011,,노래방,,g311,https://place.map.kakao.com/804537489#comment,0/5,g,하비코인노래연습장,
서울 중구 서애로1길 10 (우)04623,,코인노래방,,g31,https://place.map.kakao.com/1746710890#comment,0/5,g,24시 동국대코인노래연습장,
서울 마포구 어울마당로 133 지하 1층 (우)04050,,코인노래방,,g30,https://place.map.kakao.com/1903034244#comment,0/5,g,Q코인노래연습장,
서울 은평구 통일로 745 (우)03396,,코인노래방,,g299,https://place.map.kakao.com/672443193#comment,0/5,g,탑코인노래연습장,
서울 서대문구 연세로 29 혜인빌딩 지하1층 (우)03788,,코인노래방,,g296,https://place.map.kakao.com/1892468218#comment,0/5,g,어썸코인노래연습장 신촌2호점,
서울 강서구 화곡로68길 91 2층 (우)07550,,코인노래방,,g295,https://place.map.kakao.com/704795249#comment,0/5,g,엔젤스 코인노래방 증미역점,매일 10:00 ~ 23:30
서울 영등포구 도신로 73 덕우빌딩 지하1층 (우)07374,,코인노래방,,g29,https://place.map.kakao.com/778640826#comment,0/5,g,휴가코인노래방,
서울 관악구 호암로24길 63 (우)08813,,코인노래방,,g287,https://place.map.kakao.com/870392903#comment,0/5,g,착한동전노래연습장,
서울 성북구 고려대로27길 13 지하 1층 (우)02842,,코인노래방,,g284,https://place.map.kakao.com/934269687#comment,0/5,g,리코퀸노래연습장 고려대점,"매일 09:00 ~ 03:00
더보기"
서울 금천구 시흥대로52길 51 (우)08628,,코인노래방,,g282,https://place.map.kakao.com/1022462403#comment,0/5,g,온에어코인노래연습장,
서울 강남구 강남대로102길 11 (우)06123,,코인노래방,,g28,https://place.map.kakao.com/398856459#comment,0/5,g,팝스타코인노래연습장,
서울 동작구 만양로14길 30 (우)06914,,코인노래방,,g279,https://place.map.kakao.com/27264852#comment,0/5,g,코인노래,
서울 노원구 동일로 1672 (우)01625,,코인노래방,,g2710,https://place.map.kakao.com/1193496626#comment,0/5,g,372코인노래방,
서울 광진구 영화사로 1 2층 (우)04945,,코인노래방,,g260,https://place.map.kakao.com/907997478#comment,0/5,g,스위티코인노래연습장,
서울 서초구 서초대로77길 45 3층 (우)06612,,코인노래방,,g26,https://place.map.kakao.com/759299651#comment,0/5,g,엔젤코인노래연습장 강남점,
서울 동작구 동작대로 21 양지빌딩 지하1층 (우)07015,,코인노래방,,g25,https://place.map.kakao.com/1272740281#comment,0/5,g,스타코인노래연습장,
서울 송파구 백제고분로7길 54 지하 1층 (우)05559,코인전용노래방,코인노래방,,g247,https://place.map.kakao.com/26490723#comment,0/5,g,신천ae코인,
서울 관악구 관악로 154 대도빌딩 3층 (우)08788,,코인노래방,,g243,https://place.map.kakao.com/2034820745#comment,0/5,g,케이팝코인노래연습장,
서울 양천구 신목로2길 54 (우)08007,,코인노래방,,g2414,https://place.map.kakao.com/828023333#comment,0/5,g,케이존코인노래연습장,
"서울 용산구 이태원로27가길 58 3,4층 (우)04350",,코인노래방,,g24,https://place.map.kakao.com/1150183161#comment,0/5,g,노래야노래야코인노래방 이태원점,
서울 은평구 연서로 274 (우)03349,,코인노래방,,g239,https://place.map.kakao.com/216707150#comment,0/5,g,휴가코인노래연습장,
서울 은평구 통일로 855-9 지하 (우)03330,,코인노래방,,g238,https://place.map.kakao.com/1727296462#comment,0/5,g,조이킹동전노래연습장 연신내점,
서울 동대문구 휘경로 20 (우)02441,,코인노래방,,g2313,https://place.map.kakao.com/27336190#comment,0/5,g,스타게임파크 코인노래 외대점,
