p_id,u_id,u_rate,review,review_en
g282,! 임홍일,5,최고예요,It's the best.
e108,#,4,"최진사댁은 재밌었고 산장은 별로였어요. 누구나 한번쯤 해볼만한거 같아요!! 다만 몇번 하다보면 대충 허점이 보이는데 그게 좀 아쉬워요.. 게임시간을 좀 더 충분히 주고, 스토리나 증거도 현실감을 더해서 탄탄하게 만들었으면 좋겠어요!","The house of Choi Jin was fun and the cabin was not good. I think it's worth everyone's try! But after a few times, I can see some loopholes, which is a bit disappointing. Let's give them more time to play games, and I hope the story and evidence can be more realistic to make it solid!"
e98,#,4,"최진사댁은 재밌었고 산장은 별로였어요. 누구나 한번쯤 해볼만한거 같아요!! 다만 몇번 하다보면 대충 허점이 보이는데 그게 좀 아쉬워요.. 게임시간을 좀 더 충분히 주고, 스토리나 증거도 현실감을 더해서 탄탄하게 만들었으면 좋겠어요!","The house of Choi Jin was fun and the cabin was not good. I think it's worth everyone's try! But after a few times, I can see some loopholes, which is a bit disappointing. Let's give them more time to play games, and I hope the story and evidence can be more realistic to make it solid!"
f17,#,5,제 최애 보드카페에요❤️ 가격이랑 쿠폰도 가성비 좋구요. 보드게임 수도 엄청나게 많아요!! 설명도 깔끔하게 잘해주셔서 더더 마음이 들어요! 딱 한가지 아쉬운게 커피가 조금 맛이 없지만 다른 저렴한 음료수도 많아서 항상 애용합니다 :),"It's my favorite board cafe. The price and coupons are also good. There are so many board games! I'm even more pleased that you explained it well! The only thing I regret is that coffee is not tasty, but there are many other inexpensive drinks, so I always use it:)"
b10,"'핵, 토 파스칼 킥",5,편의점도 있서유,There's a convenience store.
b21,(...),5,최고예요,It's the best.
g62,(율준♡),1,불친절하고 쓰레기도 많고 더럽네요. 옆에있는 락휴 코인노래방이 훨씬 낫네요 ,"It's unfriendly, trashy and dirty. The rock hue coin karaoke next door is much better."
c170,-,3,보통이에요,Normal.
e74,-,1,"이렇게 불친절할수가있나요?? 장치관리도 제대로 안함
게임후반부에 힌트요청햇는데 엄청 대충설명하더니 그래도 
안된다했는데 말은없고 시간다되서 탈출못햇어요  알고보니
장치가 배터리가 다되서 작동안한건데 제가 힌트를 잘못안줄 ㅋ
제가분명 힌트.~~게 쓰는거 맞냐고 물엇었는데 답안하신거 기억하시겟죠???ㅋㅋㅋ 
 그런데 
직원분 오자마자 당황한표정으로 말도안하고 횡설수설하더니
뒤늦게 죄송하다 배터리가 나갓엇다 그러고 자기들끼리 수군수군
방탈출 끝낫으니까 끝이라는건가 저랑친구 방치해두고 다른손님 받고있고 먼저 아무런 이야기도안하길래 돈받았으니가 끝인가요??선불결제라고 이렇게 뒷전해도 되는건지 ㅋㅋ
그래서 이래도되는거냐이야기햇더니 뚜렷한 답변도안하고ㅋㅋ다신안가요 제가 결국 대놓고 물어보니 그제야 다음번에 오면 할인해준다고 ㅋㅋㅋㅋ 힌트도 불친절하고 알고보니 본인들 관리미흡이였던걸 설명도 대충해주고; 저는 제가 못알아듣는줄알았네여 다신안가요 ㅋㅋㅋ대처도 최악 관리도최악 진짜.왠만하면 후기안쓰는데 짜증나서 씁니다접기",0
g133,-,1,시설은괜찮은데알바들이 ㅋㅋㅋ 예의도없고 ㅋㅋㅋ 사장망하게하려고 작정한건지 못배운건지ㅋㅋㅋㅋ그중에안여돼같이 생겨서 염색머리까지 엉망인분은 딱 외관  엉망인만큼 행동해요... 손님이 노비인곳ㅋㅋ좀있으면청소하고가라고할기세입니다. 진짜현금찾아가서 알바마주치지말고 즐기세요 하루기분다망쳐요,"The facilities are all right, LOL yeah, I don't care about it are not intent. lol ... what my lack of learning what where he was planning to ruin the president of them look like anyeodwae to colored hair.Acted as feces is just a mess of a mess ... I'm going to tell you to clean up if you have any. Go find real cash, don't worry about it. I'm in a bad mood."
b29,-----,5,최고예요,It's the best.
b31,-----,5,최고예요,It's the best.
f2412,.,1,.,.
d21,.,1,최악이에요. 낡았고 담배냄새 너무 심해서 다시 나왔어요 담배냄새 진짜 심하네요,It's the worst. It's old and it smells so bad that it came out again. Smells like a cigarette.
f183,.,4,평일에 가는걸 추천함 주말엔 사람이 너무 많음,I recommend going on weekdays. There are too many people on weekends.
f220,.,5,재밌어요~,It's fun~
g2710,.,1,마이크 조절이 안 되는게 제일 큰 단점 그리고 마이크 쇠냄새가 너무 남 ㅠ 코노 문이 투명해서 다 보이는것도 가뜩이나 부담스러운데 대기 좌석이랑도 너무너무 가까움,"The biggest disadvantage of not controlling the microphone is that the smell of iron is too strong. The coin door is transparent so I can see everything, but it's too close to the waiting seat."
b14,.,4,좋네요~ 한강 넓게 보이는 장소도 있고 데이트 하기도 적당해요 넓고 좋아요 ,That's nice. There are places that look like the Han River. It's good for a date. It's spacious and nice.
f215,.,5,방탈출도 재밌고 사장님도 친절하셔서 좋았어요,The escape room was fun and the boss was kind.
c1110,.,5,지하철 입구에서 찾기 쉬워서 좋았습니다~ 음식도 나름 저렴하고 맛도 괜찮았어요 ㅋㅋ 커피맛도 괜춘,It was good because it was easy to find at the entrance of the subway. The food was cheap and the taste was good too.
c172,.,1,알바 있는 이유가 청소랑 힌트 주는 것 땜에 있는거 아닌가 힌트 주는거 겁나 짜증내고 귀찮아함 답 이거 맞냐 하니까 말 끝나기도 전에 아니요 이러고 개단호하게 말하던데 다시는 안 감 대학로에 방탈출카페 여기만 있는 것도 아니고,"The reason why I have a part-time job is because of cleaning and giving hints is because I'm so annoyed and annoyed to give hints, and even before I'm done, he said, ""No, no, no, no, no, no, no, no, no, no, no, no, there's no room escape cafe in Daehak-ro anymore."
b13,.,5,최고예요,It's the best.
e313,.,1,너무 개연성이 없는 쌩억지 스토리...,It's a very improbable story.
f41,.,5,사장님도 친절하시고 보드게임 종류나 음료수 종류도 많아서 재밌게 놀 수 있는 곳인것 같아요 ! 룸 식으로 되어있어서 편하게 수다도 떨면서 게임할 수 있어서 좋았어요 ☺️,"The boss is kind and there are many kinds of board games and drinks, so I think it's a fun place to play! It's like a room, so it's nice to be able to chat and play games comfortably. ☺️"
f190,.,1,개별로 시설 낡아서 꾹 안누르면 작동 안하고 처음가서 난이도 좀 높은거 고르니까 못할거라고 하지 말라 그러고 앉아서 기다리는데 힌트 전화 오는 사람들 끊고나면 못한다고 욕하는거 보고 ...ㅋㅋㅋㅋ,"Individual facilities are too old to press or it won't work, so don't tell me you can't do it because it's too difficult to choose one. I was sitting and waiting, but I saw people cursing that I couldn't do it if I hung up on them.LOL"
g41,.,2,깔끔하긴 한데...너무 비싸요,"It's neat, but...It's too expensive."
c54,.,1,학생이라고 무시하고 주문도 안 받아줘요 다시 안 올 겁니다 불친절 끝판왕 ,Ignore him as a student and don't take orders. He won't come back. an unkind and unkindness
g39,.,1,시설은 깨끗한데 알바가 너무 불친절해서 기분이 나쁘네요,"The facility's clean, but the part-timer's so unkind that I feel bad."
f17,.,5,최고ㅠㅠㅜ딱 군더더기 없이 보드게임만을 위한 곳이에요. 분위기도 뭔가 보드게임동아리실 느낌임ㅋㅋㅋㅋㅋㅋ가격도 싸고 직원분들께서 설명도 잘해주시고 재밌는 겜도 많아여.ㅠㅠ,It's the best. It's just for board games. The atmosphere feels like a board game club. LOL The price is cheap and the staff explains it well and there are many fun games.ᅲᅲ
f1912,.,1,너무 개연성이 없는 쌩억지 스토리...,It's a very improbable story.
f200,.,1,개별로 시설 낡아서 꾹 안누르면 작동 안하고 처음가서 난이도 좀 높은거 고르니까 못할거라고 하지 말라 그러고 앉아서 기다리는데 힌트 전화 오는 사람들 끊고나면 못한다고 욕하는거 보고 ...ㅋㅋㅋㅋ,"Individual facilities are too old to press or it won't work, so don't tell me you can't do it because it's too difficult to choose one. I was sitting and waiting, but I saw people cursing that I couldn't do it if I hung up on them.LOL"
f238,.,5,좋아요,Okay.
