u_id,u_rate,p_id,review,review_en
래비니아,5,1002,모든 예술이 한자리에 예술을 좋아하는 사람이라면 언제 가도 전시와 공연을 만날 수 있어요. 미술영재교육기관도 함께 하기에 수준이 높은 곳이죠. 저는 미술전시와 발레공연과 음악공연으로 자주 가기에 영혼의 쉼터같아요.,"If you like art in one place, you can always see exhibitions and performances. It's a high-quality place for art gifted and talented education institutions to join. I often go to art exhibitions, ballet performances, and music performances, so it's like a resting place for the soul."
별일 별,5,1002,그야말로 예술의 전당 뮤지컬부터 세계의 유명한 전시회를 한국에서 편히 볼 수 있어서 좋아요. 지금은 툴루즈 전과 세잔에서부터 모네까지 등을 하고 있어요. 많은 좋은 기회들을 얻을 수 있는 소중한 곳입니다.,It's really nice to see the musical of the Seoul Arts Center and the world's famous exhibitions in Korea. Now I'm doing Toulouse's ex-convict from Cezanne to Monet. It's a precious place to get many good opportunities.
MW Yeon,4,1002,뮤지컬 빅피쉬 연말 마지막밤 방문함. 사당 IC에서 정체는 극악이었지만 공연으로 맘을 다스림. CJ 토월극장 이용함. 규모는 예상보다 아담했음. 외부는 멋짐.,"Visiting musical Big Fish at the end of the year-end. At Sadang IC, the identity was a terrible evil, but he controlled his mind by performing. Use CJ Towol Theater. Size was smaller than expected. Exterior beauty."
ahirity,4,1002,"문화공연하기 좋은 장소입니다. 강남지역에 위치한 예술의 전당입니다. 전시회, 연극, 뮤지컬 등 다채로운 문화공연을 만날 수 있습니다. 주말에 시민들이 공원나들이 오기도 합니다.","It's a good place for cultural performances. It is the Seoul Arts Center located in Gangnam area. You can see various cultural performances such as exhibitions, plays, and musicals. Citizens come to the park on weekends."
martin.k,5,1002,"대한민국 1등 공연장 항상 다양한 주제를 가진 공연이 있습니다. 뮤지컬, 발레, 오케스트라 등등. 저녁에는 수 많은 불이 점등되어 또 다른 매력을 느낄 수 있습니다.","There is always a performance with a variety of themes at the first place in Korea. Musical, ballet, orchestra, etc. In the evening, a lot of lights are on and you can feel another attraction."
ye0ngjus,3,1002,예술의 전당 여러 음악 예술 공연이 열리는 곳이다. 공연 일정을 홈페이지에서 미리 체크해서 예매를 하고 가는 것을 추천한다. 꽤 규모가 크고 건물 외관만 산책하듯 구경해도 나쁘지 않은 곳이다.,It is the place where various music and art performances are held at the Seoul Arts Center. I recommend you to make a reservation by checking the performance schedule in advance on the website. It is quite large and it is not a bad place to take a walk around the exterior of the building.
김석찬,5,1002,혼자 여행 바쁜 일상에서 문화를 접하고 산다는 것은 어쩌면 평범한 도시인의 사치일 수 있다. 그러나 잠시 짬을 내서 방문하면 기웃거려보는 것만으로 힐링이 된다. 그림 보는 것이 좀 서툴러도 되고 클래식을 좀 이해를 못해도 보고 들어보면서 야외의 계단에 앉아 보기도 하며 커피 한잔을 들고 천천히 걸어 보고 기웃거려봄이 문화인으로 한발짝 다가가는 것이 아닐까. 혼자도 좋고 누군가의 손을 꼭잡고 걸어도 좋고...,"Traveling alone in a busy daily life with culture may be a luxury for ordinary urbanites. However, if you take a moment to visit, just looking around is a healing experience healing. It's okay to be clumsy at painting, or even if you don't understand classical music, you can sit on the stairs outside and listen to it, walk slowly with a cup of coffee, and snoop a step closer to being a cultural figure. You can walk alone, you can walk with someone's hand..."
사장님,4,1002,한 여름 밤의 휴식 예술의 전당에서 저녁 공연 보고나와서 음악 분수대 앞에서 잠시 쉬었다가면 참 여유롭고 좋아요!! 예쁜 음악 선율에 맞춰 컬러플하게 분수대가 춤추는게 또 다른 공연을 보는듯 합니다,"Midsummer Night's Rest. After watching the evening performance at the Seoul Arts Center, take a break in front of the music fountain. It's so relaxing and nice!! It seems like watching another performance where the fountain dances to the beautiful music."
Jyk,4,1002,굿 좋은 전시와 공연이 열리는 곳 전시 뮤지컬 연주회 등 다양한 문화생활에 저녁에는 음악분수까지 즐길 수 있는 도심속 문화공간,"A cultural space in the city where you can enjoy various cultural activities such as a good exhibition and performance, an exhibition, a musical concert, and even a fountain of music in the evening."
triphyun,4,1002,에릭요한슨 전시회보러 ! 예술의전당에서 하는 전시회는 처음 가봤습니다. 겉에는 건물이 커서 내부도 클줄 알았는데 전시관 내부는 좀 협소했습니다. 그래도 전체적으로 깔끔했습니다.,"To see Eric Yohansen's exhibition! I went to the Seoul Arts Center for the first time. I thought the interior would be big because the building was big on the outside, but the interior of the exhibition hall was a bit small. But overall, it was neat."
