review,u_id,u_rate,p_id,review_en
기획전시회와 볼거리가 다양해요! 카카오프렌즈 우표로 다양한 체험프로그램이 있어서 재미있었어요. 우리나라에서 발행한 우표가 전부 다 전시되어 있어서 인상깊었어요. 1년 뒤 나에게 쓰는 '느리게 가는 편지'도 너무 좋았어요.,julia,5,776,There are various exhibitions and attractions! It was fun because there were various experience programs with Kakao Friends stamps. It was impressive that all the stamps issued in Korea were displayed. I also loved the slow letter you write to me a year later.
볼거리가 많아서 좋아요. 직원분들 너무 친절하시구 체험 프로그램이 많아서 좋아요! 볼거리가 많아서 좋아요. 직원분들 너무 친절하시구 체험 프로그램이 많아서 좋아요! 특히 황금 돼지 우표 너무 신기햤어요ㅎㅎ,Wanderer824679,5,776,"I like it because there are so many things to see. The employees are so kind and I'm happy that there are many experience programs! I like it because there are so many things to see. The employees are so kind and I'm happy that there are many experience programs! Especially, the golden pig stamp was amazing.Haha"
볼거리가 많았어요. 기획전이 하고있어서 신기한 돼지 우표도 관람하고 체험지도 작성하고 나만의 우표도 만들 수 있어서 즐거웠습니다. 명동에 있어서 둘어보기 좋았어요~,juliet,5,776,"There was a lot to see. It was fun to see interesting pig stamps, write experience maps, and make my own stamps. It was nice to see you in Myeong-dong."
박물관 재미있습니다 직원분들도 친절하시고 재미있습니다 재미난 볼거리가 많습니다 직원분들도 친절하시고 재미있습니다 재미난 볼거리가 많습니다,전병문,5,776,The museum is interesting. The staff are kind and funny. There are many interesting things to see. The staff are kind and funny. There are many interesting things to see.
어릴적 추억이 있는 그곳 어릴때 우표수집이 취미라 방문했는데 정말 좋았어요 다른 나라 우표도 있고 여러가지 체험할수 있는것도 있어요 또한 우표 구매도 할수 있어서 사려고 하는거 번호 적어서 드리면 하나하나 잘 싸주시더라구요,hongs925,5,776,"When I was young, I visited that place because collecting stamps was my hobby. It was really nice. There are stamps from other countries and other things to experience. Also, I can buy stamps, so if I write down the number I want to buy, they pack each one well."
"리미티드 에디션. 한때 우표수집이 붐일때가 있었는데요. 그 시절의 다양한 리미티드 에디션, 한정판인 우표들을 오랜만에 구경할수 있어서 좋았어요. 중앙 우체국 지하에 있습니다.",vlogg,5,776,Limited edition. There was a time when stamp collecting was booming. It was good to see various limited editions and limited-edition stamps of those days. It's in the basement of the central post office.
"우리나라 역사와 함께한 우표 평소 우표에 관심있는 분들이라면 추천하지 않아도 찾아가시리라 믿습니다. 저는 우표에 관심 없는 분들을 대상으로 추천해 드리고 싶네요. 우표는 그저 우편물을 전송하기 위해 있는 것이 아닙니다. 기념 우표, 옛날 우표들을 구경하시면서 우리나라의 역사를 둘러보시기 바랍니다.",여행자나나,4,776,"If you are interested in stamps with Korean history, I believe you will find them without recommending them. I would like to recommend it to those who are not interested in stamps. The stamps are not just for sending mail. Take a look at the commemorative stamps and old stamps and take a look around the history of our country."
재미있는 한국 우표의 흥미로운 역사 : 작지만 풍부한 역사. 다른 박물관들과 마찬가지로 영어 친화적이지 않습니다,Thanh N,4,776,Interesting history of Korean stamps: Small but rich history. Not as English-friendly as other museums.
서울 우표 박물관 박물관은 건물의 지하에 있습니다. 한국 우표의 역사와 다른 나라의 우표를 보는 것이 좋다.,Polly,4,776,The Seoul Stamp Museum Museum is located in the basement of the building. It is good to see the history of Korean stamps and stamps from other countries.
간략한 방문 이 박물관에는 한국의 문화 역사적인 우표가 전시되어 있습니다. 한국 우편 서비스의 다양한 부분의 축소 된 전시회가 매력적이었습니다. 유익한 정보 였지만 박물관 조직은 어린이에게 더 적합했습니다.,Hyung In M,3,776,"Brief Visit The museum displays Korean cultural and historical stamps. The scaled-down exhibition of various parts of Korean postal service was attractive. It was informative, but the museum organization was more suitable for children."
스탬프 팬 작은 우표 저장소로 여기에 자신의 우표를 찍을 수 있습니까? 우표 팬들에게 흥미 롭습니다. 한국 우표에서 발급 한 모든 우표 라이브러리를 가지고 있습니다.,Chia Yee C,4,776,Stamp Pan Can I stamp my stamp here with a small stamp store? I'm interested in stamp fans. I have a library of stamps issued by Korean stamps.
좋은! 좋은 장소! 서울 중앙에 위치한 명동에 위치한 서울 중앙 우체국은 일반 우체국의 기능을 넘어서서 동시에,Lee L,5,776,"Good! Good place! Located in Myeong-dong, central Seoul, the post office in Seoul goes beyond the function of a regular post office and at the same time"
"꽤 좋은 경우 우표 같은 이 주제에 갈 수 있다면 좋은 곳입니다. 분명히 우표 많이 포함되어 있습니다. 전 세계 뿐만 아니라 우표 포괄적인 한국 우표(발행된 첫 스탬프 포함) 있습니다. 저렴한 비용으로 사진 기능을 법적 스탬프를 만들 수 있습니다. 기념품 가게, 우표 연간 책을 놀라울 정도로 제한된 수의 판매합니다.",watchsmart,4,776,"If it's pretty good, it's a good place to go on this topic like stamps. I'm sure a lot of stamps are included. There is a comprehensive Korean stamp (including the first stamp issued) as well as around the world. Create legal stamps for low cost photo functions. souvenir shops, stamps, and annual books are sold in surprisingly limited numbers."
