p_id,u_id,u_rate
f239,batoo2000,5.0
f239,Woongs Lee,5.0
f239,박우석,5.0
f239,EOS,5.0
f239,ㅎㅈㅊ,4.0
b209,한효선,4.0
e810,백지현,3.0
e810,uni,1.0
a211,Hannah-Gahee U♥,5.0
a211,김세미,5.0
a211,쑨꿍,5.0
a211,제주벼,2.0
a211,혜진,5.0
a211,L,2.0
a211,작은배,1.0
a211,jw,1.0
a211,정원,5.0
a211,꿀벌,1.0
a211,바지우,1.0
a211,fjhndklhvnkl,5.0
a211,eodeoddl,5.0
a211,나상준,5.0
a211,문수,5.0
a211,ㅎㅎ,5.0
a211,김진영,5.0
a211,이동훈,5.0
a211,서수진,1.0
a211,안영준,1.0
a211,ryu,1.0
a211,볼링마니아,1.0
a211,시닝,1.0
a211,ryu,1.0
a211,볼링마니아,1.0
a211,시닝,1.0
a211,zjffltmxj,1.0
a211,영원관세법인,1.0
a211,이정근,5.0
a211,카카카,5.0
a211,비호,1.0
a211,자의식,3.0
b44,쥴리,3.0
b44,2020년 화이팅!,5.0
b44,DAAS,5.0
f206,윤오,5.0
f206,용이,5.0
f20,김가현,5.0
f20,태찌,3.0
g112,솔직한평가,5.0
g112,chloe,5.0
g112,노웅철,5.0
g112,김철호,5.0
g112,개금장,5.0
b88,아닌건 아니다,1.0
g327,장원혁,1.0
g115,륜하,5.0
d15,뽁뽁이,5.0
d15,은경이,5.0
f27,young,1.0
b43,박민지,3.0
f201,ㅇㅎ,3.0
f201,김현진,5.0
f201,권세윤,5.0
f201,Equity,2.0
a811,김혜진,5.0
f208,예옹,1.0
f208,황영주,1.0
f208,현,1.0
f208,motive,2.0
f208,서재원,2.0
e210,박성인,1.0
e210,이현정,5.0
e210,다다다,4.0
e210,만경이,4.0
e210,평점가,3.0
g311,구름별,5.0
g311,전성배,5.0
g311,지정현,5.0
g123,KM,1.0
g123,김미희,5.0
g123,dawon,5.0
f237,ㄱㄱㅑ,3.0
c113,고먐미,1.0
c113,홍,3.0
c113,이수광,5.0
f29,686,4.0
f16,류정진,5.0
f16,HG,5.0
f16,영수운,5.0
f16,JY,5.0
f16,뭔데말해바,5.0
d24,나먄아니면되,2.0
d24,영더,1.0
d24,으에엥,1.0
d24,뿌애애애,1.0
d24,뿌애애애,1.0
c114,다라,1.0
c114,짠티항,5.0
c114,전대운(lucas),4.0
f230,신논현 네일한 나,5.0
f230,JL,1.0
b72,김소라,5.0
b72,이제현,5.0
g124,용성,1.0
b2410,호두과자,2.0
b2410,piazza,1.0
b86,별맘,3.0
b200,Jae-Gyung Ahn,5.0
b200,서슐랭,4.0
b200,hb,4.0
