p_id,u_id,u_rate
223,H L,4
223,철권 송,5
223,리린지,5
223,JJJY_Mom,5
223,민석 권,4
223,flyingdonutx100,5
223,Heidi D,5
237,가드너송,5
237,Alpertbyun,3
237,Traveling Foodie,5
237,서리와바기,5
237,gingertea,5
237,형근 김,4
237,pic_bd,4
237,Joon K,5
237,muzicrabeat,4
237,Sung Jin K,5
237,JUSEONG Y,3
237,32JayK,4
237,용마사,4
237,J J,4
237,duck3222,3
237,Urizia J,5
237,올리브521,5
237,seulgi l,5
237,으헤헤헤헹,5
237,shinhee,5
237,nayepp,4
237,파도피아노,5
237,승범 우,5
237,bjh3676,3
237,smaplove,4
237,livia941,3
237,PINKSHOW01,4
237,진규 이,4
237,Hyang00,4
237,406대현김,5
237,mkla1004,4
237,reverb83,2
237,Hailey I,3
237,윤나 김,3
237,목마름,2
237,집시747,4
237,everlsk,4
237,nekoyang h,5
237,chunglang,4
237,sodal00,4
237,만옥이네,4
237,2875rosa,4
237,공부를하자,5
237,inspire807048,5
237,nanal78878,3
237,차씨,4
237,이안팍,4
237,espseon,4
237,eoto34,5
237,ddneverland,3
237,주니네,4
237,togbuss,5
237,sang cheol h,5
237,goodtripgo,3
237,christina7542,4
237,Ep.523477,4
237,Bintang27,4
237,박선주,4
237,mahalo521,4
237,LG_Kay,4
237,marstar0109,5
237,Ho S,4
237,Sam,5
237,Prinster A,4
237,Carpediemzzz,4
237,minimize940314,3
237,Mike54BU,5
237,Watu2014,5
237,JulianneRenfold,5
551,juou,3
551,팜므파탈캣,1
551,Kang!!!,1
551,JUSEONG Y,3
551,동근 Gim,5
551,JAEMIN S,4
551,박박박이,5
551,nkpd00,4
551,Luke H,5
551,OISEAU_K,4
592,Janny,5
592,문수민,1
592,Relax825963,4
592,지연 최,5
592,nanes,2
592,jasmin0313,5
592,Bora Kwon,4
592,고고고,5
592,깅깅와,5
592,Hanna Y,2
592,이만규,5
592,jek737,5
592,정상유운,5
592,hyojeong Lim,4
592,Sejin Oh,1
592,정재욱,5
592,jeff john shong,4
592,박진영,5
592,Hoon,2
592,알랍태뽕,2
592,jungrae,1
592,우우우우,5
592,ssungwook,1
592,Judy,3
592,Yunsung,4
592,AnChaewon74,5
592,hyejin,4
592,Milla,4
592,Aisuluu K,4
592,ahirity,4
592,김기엽,1
592,Jeon,5
592,딸기맘,5
592,조성호,5
592,김재현,2
592,민선 문,3
592,sun,5
592,hana kang,4
592,MJK,1
592,합꿀스,1
592,770415A,5
592,Hee,5
592,John,5
592,Choi.J,5
592,김규미,1
592,daheey2017,5
592,HaJunYoung,1
592,Jason Ma,1
592,Kks,4
592,Choi hyoung kyu,5
592,김매력,3
592,지니짱,1
592,노현우,5
592,효리효리,4
592,유정정,5
592,종춘 이,4
592,donaldK,1
592,angeljej,1
592,Christopher L,3
592,주니지니,5
592,sanrio2018,5
592,407yjj,5
592,이경진,5
592,Oh!,5
592,은채맘,4
592,Jihye Yeom,3
592,bluewm,1
592,heyjining,5
592,손수한,5
592,porkplate,4
592,Kylie Park,4
592,j c yoo,5
592,Park,1
592,ran2ro,3
592,Kim,1
592,YE JIN K,4
592,Qwe,3
592,석주명,4
592,JI YONG BAE,5
592,Roy Kang,4
592,김민우,1
592,동민 신,3
592,Jongwon L,4
592,hyomin,1
592,no name,4
592,Moon_jihye,1
592,ㅇㅇㅇ,3
592,상준 이,4
592,Heeyoun K,4
592,Baeys72,5
592,JKOK,5
592,Kyoung,4
592,한글로,5
592,ab961004,5
592,양명수,4
592,yuri,3
592,꽃라라,5
592,122,4
592,에일린 심,5
592,Hae Yun J,4
592,Dong seon,5
592,신 조,4
592,JAEHHYUK,5
592,yoo jaeyoung,2
592,mmm,1
592,sanna,3
592,Jeonsin1991,1
592,"ME, wow",1
592,한원 손,1
592,LSH,5
592,Miya4681,1
592,석선 유,5
592,손미호,5
592,gingertea,4
592,whitelov,5
592,변우람,5
592,김진엽,5
592,Jongmin,1
592,Song,4
592,Won Jae,5
592,주련 박,5
592,롯데웡드,4
592,intaiji,4
592,Berry,5
592,nyounge1,5
592,양준영,5
592,배시현,5
592,Monde,5
592,umm,5
592,Mari Woo,5
592,길리밀리,5
592,Hansung Kim,1
592,Grace kwon,5
592,Youngsik M,5
592,hsleepe,1
592,yp angel,4
592,sangguk,1
592,Yoonjung Kim,1
592,Bright P,3
592,LTWDFX,1
592,경경 팍,5
592,민주주,5
592,Freedom21715102352,5
592,SiniYang,4
592,Compass05607617923,1
592,jooeun j,5
592,Compass28882892270,4
592,Wanderer63541770945,5
592,tarte,5
592,Trek67627466201,2
592,kjh,5
592,Nomad59786347587,5
592,Navigator63744681377,5
592,jaayeoni,4
592,tpdls05883744,3
592,Adventure830147,1
592,선이 현,4
592,Camper825331,5
592,soju4668,2
592,LightPacker824003,3
592,seo7221,5
592,pic_bd,4
592,Hyuck Joon Lee,4
592,ciss,1
592,Stay819484,1
592,GrandTour818933,1
592,Navigator819132,5
592,BoardingPass818262,5
592,Camper817277,3
592,Mobile816680,5
592,Excursion816512,5
592,Connector817164,4
592,WINNY,5
592,에일린 심,5
592,지훈 최,4
592,Scenic813656,1
592,Sunshine816559,3
592,우유 딸,5
592,jiyouny2017,5
592,성진 최,5
592,Baek J,4
592,문권 민,2
592,희영 장,5
592,Joon K,5
592,홍신 이,4
592,JunHwan C,1
592,Dlafmfcoaus,5
592,wkqmffksl4,5
592,현숙 안,5
592,선 이,4
592,현미 김,5
592,에베 베,4
592,HyunMee K,1
592,lhyojun1018,4
592,Wi S,5
592,whitelov,5
592,SangChul H,4
592,원형 이,5
592,Lucy L,4
592,eunggoo l,5
592,은이 심,1
592,shthf12,5
592,hopetotrip,4
592,이트루,5
592,수민 김,5
592,czdy,4
592,Seong Yong C,5
592,skm9889,3
592,재민 이,1
592,gisu1992,2
592,moonriver,3
592,종숙 현,5
592,juou,3
592,태 현,5
592,Narae k,5
592,민선 김,5
592,dogod153,5
592,신미 김,4
592,dukyong K,5
592,경택 우,5
592,ROID H,1
592,젤리덕,4
592,준탁 손,1
592,wldudwhdk,5
592,仁志 石,5
592,치 스,5
592,섬아저씨,4
592,지혜 이,5
592,muzicrabeat,3
592,인 아,2
592,missgoooo,4
592,서초v서울,5
592,주력,5
592,Seong Woo L,1
592,용근 이,1
592,hojung S,5
592,태우 김,5
592,건석 방,1
592,나초콜릿 나,1
592,Walkerxoxo,4
592,민희송,3
592,ken3s,4
592,JamesS,4
592,King s,1
592,란아 전,4
592,지현 이,4
592,jiyeonk158,5
592,봉어,2
592,청규 최,1
592,thinkblue1,3
592,진하 박,5
592,Sophia C,5
592,현미미 양,5
592,Risa G,1
592,Donghye PARK,4
592,wadding2018,5
592,itszoomy,5
592,eric K,5
592,두한엄,4
592,JUSEONG Y,5
592,성훈 문,5
592,Geon Hee L,1
592,Loem,4
592,DY C,5
592,관석 송,4
592,gunyoungy,5
592,bk6342,5
592,희영 이,4
592,gydnjs1319,5
592,소연 안,1
592,종민 이,4
592,zaetu3535,5
592,FA B,2
592,하이트래블,5
