u_id,p_id,ncf_score
ryu,f29,0.0
ryu,f89,2.682209014892578e-07
ryu,e18,3.6656856536865234e-06
ryu,f17,0.0
ryu,e810,6.258487701416016e-07
ryu,g98,0.0
ryu,f149,0.0
ryu,b21,0.0
ryu,c184,0.0
ryu,f1714,0.0
ryu,b28,0.0
ryu,b44,0.0
ryu,c47,0.0
ryu,f21,0.0
ryu,b209,0.0
ryu,g284,2.9802322387695312e-08
ryu,e211,0.0
ryu,b112,0.0
ryu,b1413,0.0
ryu,f714,0.9999969005584717
ryu,c40,0.0
ryu,f1713,0.0
ryu,g311,0.0
ryu,b329,0.0
ryu,b32,0.0
ryu,b1412,0.0
ryu,f33,0.0
ryu,b813,0.0
ryu,g139,0.0
ryu,f410,0.0
ryu,g2112,0.0
ryu,f34,0.0
ryu,c1611,0.0
ryu,b50,0.0
ryu,f212,0.0
ryu,c198,3.170967102050781e-05
ryu,b247,0.0
ryu,f613,0.0
ryu,c191,1.996755599975586e-06
ryu,b411,0.0
ryu,g163,0.0
ryu,b35,0.0
ryu,c162,0.0
ryu,f60,0.0
ryu,f246,0.0
ryu,f279,0.0
ryu,f241,0.0
ryu,b285,0.0
ryu,f2311,0.0
ryu,f67,0.0
ryu,b3311,1.1026859283447266e-06
ryu,c165,0.0
ryu,f283,0.0
ryu,213,0.0
ryu,f215,0.0
ryu,b13,0.0
ryu,a410,0.0
ryu,c175,0.0
ryu,c181,8.940696716308594e-06
ryu,e612,0.0
ryu,f48,0.0
ryu,f1711,0.0
ryu,g142,0.0
ryu,c186,0.0
ryu,c172,0.0
ryu,b292,1.4901161193847656e-07
ryu,g1113,0.0
ryu,f70,0.0
ryu,b14,0.0
ryu,b2811,0.0
ryu,g189,0.0
ryu,f269,0.0
ryu,f1910,0.0
ryu,f77,0.0
ryu,c188,0.0
ryu,b57,0.0
ryu,b257,0.0
ryu,b213,0.0
ryu,f223,0.0
ryu,f270,0.0
ryu,b92,4.470348358154297e-07
ryu,b214,0.0
ryu,g2710,0.0
ryu,b59,0.0
ryu,c1810,1.1920928955078125e-06
ryu,e411,0.0
ryu,g174,0.0
ryu,b22,0.0
ryu,c712,0.0
ryu,f260,0.0
ryu,f79,0.0
ryu,f41,5.960464477539063e-08
ryu,b25,0.0
ryu,f267,1.5497207641601562e-06
ryu,f2112,0.0
ryu,b51,0.0
ryu,g190,0.0
ryu,a45,0.0
ryu,e26,0.0
ryu,a89,0.0
ryu,e19,0.0
ryu,a914,0.0
ryu,e21,0.0
ryu,g13,0.0
ryu,a110,0.0
ryu,g213,0.0
ryu,b1013,0.0
ryu,e312,0.0
ryu,b305,0.0
ryu,c48,0.0
ryu,c812,0.0
ryu,f278,0.0
ryu,c197,0.0
ryu,f247,0.0
ryu,c70,0.0
ryu,a42,0.0
ryu,c84,5.960464477539063e-08
ryu,b130,0.0
ryu,a314,0.0
ryu,a73,0.0
ryu,g1610,0.0
ryu,f131,2.9802322387695312e-08
ryu,g25,0.0
ryu,b101,0.0
ryu,e28,0.0
ryu,f1811,0.0
ryu,e111,0.0
ryu,c212,0.0
ryu,g22,0.0
ryu,e10,0.0
ryu,a313,0.0
ryu,c46,0.0
ryu,e912,0.0
ryu,f411,0.0
ryu,c164,0.0
ryu,f92,0.0
ryu,f814,0.0
ryu,f222,0.0
ryu,d111,0.0
ryu,b212,0.0
