u_id,p_id,ncf_score
ryu,g311,0.0001678168773651123
ryu,f230,0.5108117461204529
ryu,c114,0.0015003383159637451
ryu,b209,0.0014801323413848877
ryu,c113,3.933906555175781e-05
ryu,g239,1.704692840576172e-05
ryu,f73,0.0018456578254699707
ryu,b72,2.9593706130981445e-05
ryu,d15,0.010142385959625244
ryu,f237,0.017201781272888184
ryu,b19,0.13451433181762695
ryu,g115,0.0017261207103729248
ryu,b114,0.00352400541305542
ryu,b200,2.950429916381836e-06
ryu,e210,0.0120927095413208
ryu,c410,0.980802059173584
ryu,b42,2.384185791015625e-07
ryu,g327,0.03830304741859436
ryu,b321,0.4456009864807129
ryu,g184,0.004731893539428711
ryu,a51,3.2782554626464844e-07
ryu,b18,0.00022709369659423828
ryu,b311,0.8799943923950195
ryu,f29,0.9567358493804932
ryu,a912,0.22752490639686584
ryu,a56,0.0
ryu,b43,0.0006225705146789551
ryu,a39,0.002553611993789673
ryu,f43,0.012554675340652466
ryu,b27,0.00030219554901123047
ryu,f22,0.002505064010620117
ryu,a314,0.0006603598594665527
ryu,b136,0.0027972757816314697
ryu,c149,0.008430004119873047
ryu,f264,0.02356433868408203
ryu,e411,1.7881393432617188e-07
ryu,b86,2.9206275939941406e-05
ryu,a29,1.2516975402832031e-06
ryu,f42,0.0013841092586517334
ryu,c112,3.3020973205566406e-05
ryu,b40,0.00045928359031677246
ryu,e45,3.1501054763793945e-05
ryu,b110,3.3527612686157227e-05
ryu,c179,0.0013312995433807373
ryu,c22,0.0005291402339935303
ryu,f613,0.00012239813804626465
ryu,c40,0.001999884843826294
ryu,c63,1.4901161193847656e-07
ryu,g78,0.23581668734550476
ryu,e60,9.238719940185547e-07
ryu,f188,1.1920928955078125e-06
ryu,f1712,2.339482307434082e-05
ryu,a914,0.0014615058898925781
ryu,g112,3.8743019104003906e-07
ryu,f27,2.562999725341797e-06
ryu,f2613,2.7060508728027344e-05
ryu,f112,0.003005772829055786
ryu,e87,4.470348358154297e-07
ryu,e89,0.0
ryu,f186,0.0001156926155090332
ryu,d13,0.0002167820930480957
ryu,e810,0.0006350874900817871
ryu,e313,8.046627044677734e-06
ryu,b92,0.0005314052104949951
ryu,a211,0.0025044381618499756
ryu,c176,7.957220077514648e-06
ryu,b1912,0.00018519163131713867
ryu,c41,0.0012032687664031982
ryu,b1510,0.00020301342010498047
ryu,g279,1.4275312423706055e-05
ryu,b21,0.01083490252494812
ryu,g46,5.960464477539062e-07
ryu,b198,9.995698928833008e-05
ryu,g1314,0.00035241246223449707
ryu,f234,0.00010141730308532715
ryu,f710,8.64565372467041e-05
ryu,f19,0.0001290738582611084
ryu,f81,0.00013047456741333008
ryu,f278,0.0007011294364929199
ryu,f77,0.0015100836753845215
ryu,b15,2.1338462829589844e-05
ryu,b514,0.0011577308177947998
ryu,b2010,0.0008293688297271729
ryu,f247,2.384185791015625e-07
ryu,b32,1.2814998626708984e-06
ryu,c164,1.7404556274414062e-05
ryu,f163,2.115964889526367e-06
ryu,f262,1.436471939086914e-05
ryu,f132,5.960464477539063e-08
ryu,g299,9.834766387939453e-07
ryu,a18,0.0006591677665710449
ryu,a713,8.642673492431641e-07
ryu,f411,3.2782554626464844e-07
ryu,c183,1.0728836059570312e-06
ryu,92,0.0010205209255218506
ryu,g3114,0.00014200806617736816
ryu,b34,8.58306884765625e-06
ryu,e16,7.2479248046875e-05
ryu,e93,0.0009029805660247803
ryu,g37,5.960464477539063e-08
ryu,g224,9.867548942565918e-05
ryu,c123,0.00019535422325134277
ryu,b910,0.0023017525672912598
ryu,c71,0.0002918243408203125
ryu,e38,0.0034537315368652344
ryu,b26,9.238719940185547e-07
ryu,b16,0.0034359097480773926
ryu,g24,0.00018391013145446777
ryu,b74,0.0
ryu,b2410,0.005496293306350708
ryu,b1811,3.656744956970215e-05
ryu,b320,4.0531158447265625e-06
ryu,f176,0.001412510871887207
ryu,f212,9.101629257202148e-05
ryu,f174,6.556510925292969e-06
ryu,b111,0.00027129054069519043
ryu,g212,2.7418136596679688e-06
ryu,e613,0.00061836838722229
ryu,795,0.00012350082397460938
ryu,g67,5.009770393371582e-05
ryu,d22,1.5020370483398438e-05
ryu,c178,2.115964889526367e-06
