,u_id,title,review,u_rate,place_name,p_id
0,ung_222,넓어요,"엄청 넓어ㆍ요...추운날에 갔었는데 넓어서 돌아다니다가 카페에 가서 따뜻한차도 먹고, 무슨 안에 전시관? 같은거도 잇어서 구경 했어요",4,올림픽공원,12
1,Alpertbyun,올림픽공원,서울 도심속에 있는 규모가 꽤 큰 공원입니다. 가볍게 조깅하기도 좋고 산책하기도 좋아요 또한 롯데월드가 근처에있어서 같이 구경하기도 좋아요,3,올림픽공원,12
2,윤아영,자유로운 분위기의 공원,"넓은 공원에 주민들이 자유롭게 여가생활을 즐기는 모습이 좋았습니다. 베드민턴을 치는 아이들이나 자전거를 타는 사람들, 반려견과 산책을 나온 사람들과 잔디에서 요가를 하는 외국인들까지! 여유로움이 느껴지는 공원이에요~",5,올림픽공원,12
3,Gino Gin,서울시민의 힐링+축제 공간,88올림픽시 조성된 이 곳은 몽촌토성이 발견된 지역은 자연공원으로 조성하고 나머지 지역은 각종 체육 스타디움과 광장 등으로 사용되어 매일 시민들의 발길이 빈번한 지역입니다. 넓은 잔디밭은 가족 소풍객들이 많고 산책로 지역은 조깅이나 걷는 사람들이 많아요. 초입부엔 평화의문(건축가 고.김중업 작품)이 중앙에 있어 진입부의 위용을 잘 보여주고 있읍니다.,5,올림픽공원,12
4,종춘 이,쉼터,운동하기도 좋고 데이트 하기도 좋고 가족과 아이들과 시간을 보내기도 좋은 곳이죠. 한바퀴 도는데 한시간 정도 걸리는 듯해요. 운동도되고 시간보내기도 좋죠. 다만 공연이 있어서 사람이 몰릴때 좀 불편합니다.,4,올림픽공원,12
5,Urizia J,조용하게 산책하기 좋아요,그 왕 큰 고양이 보러 갔었는데 안에 이것저것 시설도 많고 기대 이상이었어요 밤에도 사람 많아서 안전하고 조용하고 근처 사는 사람 있으면 꼭 가요 매일 가오,5,올림픽공원,12
6,Kylie Park,콘서트 있으면 방문하는 곳,왜 인지 나에게 콘서트 때문에 방문하게 되는 곳. 운동하러 방문하기엔 거리가 너무 멀어서인지. 항상 콘서트장으로 인식되어 있다.,4,올림픽공원,12
7,ahirity,산책하기 좋은 공원입니다. 모든 길이 시멘트 포장되어 있으며 자전거를 타기 좋습니다.,"아침에 운동하는 사람들이 많은 공원입니다. 모든 인도에 시멘트 포장이 되어 있으며, 인근에 카페와 음식이 많으나 가격대가 비싼 편입니다. 자전거를 타기 위해 방문하는 사람들이 많습니다.",4,올림픽공원,12
8,daheey2017,콘서트와 힐링을 한번에!,"수 많은 K-POP 가수들의 콘서트도 많이 열리지만, 공원 그 자체를 즐기기에도 좋아요. 다만 여의도 한강공원과는 다르게 공원 내부에는 음식을 파는 곳이 없고, 공원 입구에 배달원 출입 제한이 있어서 뭔가를 사먹기엔 불편할 수 있어요. 미리 도시락을 싸오거나, 근처 가락시장에서 회를 포장해서 오는 것을 추천합니다.",4,올림픽공원,12
9,drmysong,쾌적한 곳,"서울시내에 이만한 쉼터가 없다 특별한 놀거리는 없으나 걷기 좋은 숲길과 잔디밭, 조각 등이 편안한 휴식을 제공한다. 이어지는 탄천변도 좋고 호수도 괜챦다.",4,올림픽공원,12
10,"NASIN, 김나신",산책하기 좋고 경치 좋은 곳,"서울 올림픽이 열렸던 장소. 주변에 몽촌토성, 좀 더 가면 롯데월드타워가 가까이 있습니다. 그냥 편하게 산책하기 좋은 곳이에요.",4,올림픽공원,12
11,narae oh,부담없이 산책하기에 좋은곳,그늘을 위주로 열심히 산책하면 참 좋아요 이제는 날씨가 많이 더워져서 낮엔 좀 힘들지만 아직까진 저녁에 바람이 선선하네요 주말에 다녀왔는데 시원하고 너무 좋았어요,4,올림픽공원,12
12,194ren,올림픽공원,봄에는 역시 공원이다. 올림픽 공원은 많은 공원중에서도 잔디 조성이 가장 넓고 잘 되어 있는 곳이 아닌가 싶다. 넓어서 구역을 정해 산책하는 것이 좋다.,3,올림픽공원,12
13,보영 이,K-pop 아이돌의 콘서트 장소,"올림픽공원의 K-SPO DOME(구 체조경기장), SK핸드볼경기장은 아이돌들의 콘서트 장소로 많이 활용되는 공간이에요. 올림픽공원 역(5호선, 9호선) 3번 출구로 나오면 바로 식당과 편의점(CU)가 있는데, KSPO DOME과 핸드볼경기장 사이에 GS25가 작게 있어서 더 좋아요. 팬덤이 큰 아이돌의 콘서트일 경우 화장실 이용이 힘들 수도 있기 때문에 근처 다른 건물의 화장실을 이용하는 걸 추천드려요. *) 올림픽공원의 경우 가족, 커플로 나들이를 많이 오시는 장소에요.",5,올림픽공원,12
14,Kwangtae K,도심에 이런 자연공간이 잇다는건 행복입니다.,아침산책으로 자주 올림픽공원 몽촌토성코스를 갑니다. 갈 때마다 건강해지는 느낌과 자연의 소중함을 절감합니다. 사계절 다른 분위기를 느낄 수 있는 도심속 파라다이스 입니다.,5,올림픽공원,12
15,Seungsoo P,데이트하기 좋은 곳,"정말 넓은 공원이어서 산책하기 좋은 공원입니다. 커플, 가족 단위로 데이트, 모임하기 좋아서 사람이 항상 많습니다. 돗자리 가져가면 좋습니다",5,올림픽공원,12
16,gingertea,걷기에 좋은 공원,한적하고 굉장히 크고 아름다운 곳입니다. 강아지와 산책할때 자주 다니구요. 사색하기에도 좋아요. 아마 근처사는 동네 사람들이 가장 좋아하는 장소가 아닐까 싶습니다.,5,올림픽공원,12
17,사과얌얌,한국의 센트럴파크,"크고, 넓고 아름답습니다. 제대로 보려면 2시간도 훨씬 더 걸리는 큰 공원이에요. 강아지랑 산책해도 좋고, 연인과 함께, 친구와 함께, 가족과 함께가도 늘 좋은 공원입니다. 사진찍기도 좋고 깔끔하게 잘 가꿔진 공원이에요. 콘서트나 축제도 많이 하는 곳입니다.",5,올림픽공원,12
18,윤희 조,산책하기 좋아요,"공원 크고 깨끗해요. 푸름을 보며 산책하기 좋았어요. 입장료 없이 이정도면 훌륭합니다. 제가 간 날은 주말이라서 여기저기 단체 행사가 있었는데, 크게 신경쓰이진 않았습니다.",5,올림픽공원,12
19,John_K15125,유아랑 가기 좋은 공원,비록 군데군데 턱이 있지만 큰 무리없이 유모차로 다닐 수 있는 공원이다. 아기자기하게 볼거리도 많고 여유가 느껴지는 공간이다. 주차도 크게 불편하지는 않다.,5,올림픽공원,12
20,sooyeon,공원역에서 공연관람,카이고공연때문에 갔었는데요~~ 공원도 깔끔하고 넓고~~~ 먹을데도 많고~ !!! 아주좋았습니다 ㅎㅎㅎㅎ 다음에 또 이용할게요^^ㅋㅋㅋ,4,올림픽공원,12
21,ajung c,"어릴적부터 현재까지, 휴식이 필요하면 찾는 곳","주변에서 살았기 때문에 방문 횟수는 1000회가 넘었을거라 생각합니다. 각종 행사도 자주 유치되고 시설 자체가 서울에서 보기 드물게 넓고 쾌적해서 좋습니다. 간단히 조깅을 해도, 자전거를 타기에도, 인라인 스케이트를 타기에도 좋은 곳입니다. 박물관과 미술관도 수준급입니다. 올림픽공원이 있어서 주변에 사는 사람들의 생활의 수준이 올라갈 수 있다고 생각할 정도로 사랑하는 장소입니다.",5,올림픽공원,12
22,moosuk,공원이 크고 좋아여!,가족과 같이 산책 하기 좋은 곳 입니다 호텔에서 가까워서 택시로 이동하면 좋을듯 합니다. 공원이 크고 좋아여! 가을에 참 이뿌네여!,5,올림픽공원,12
23,sanrio2018,날씨 좋을때 가면 멋져요!,"가족이 함께 방문하여 패밀리 자전거도 타고, 까페에서 커피도 마시고 미술관 관람도 즐겼습니다. 공원안에 먹거리가 아주 많지는 않아서 살짝 아쉬움이있습니다.",5,올림픽공원,12
24,chaperonin 70,집 앞에 있는 올공,따릉이 타고 산책하러 자주 갑니다 ㅋㅋ 몽촌 토성역 바로 앞에 있구요 워낙에 넓어서 한참 걸려요 다 도는데 . 주말이나 공연 있는 날엔 북적북적합니다,5,올림픽공원,12
25,Junho,정말 멋진 공원,서울 시내에서 이렇게 규모가 크고 아름다운 공원이 있나 싶어요. 한바퀴 다 돌면 1시간은 걸릴 듯요. 잔디밭이 멋집니다. 아이들 데리고 산책이나 피크닉 즐기기에 좋아요.,4,올림픽공원,12
26,pic_bd,송파인들의 영원한 휴식처. 올공.,올공은 송파인들에게 빼놓을 수 없는 장소라 생각한다. 봄여름가을겨울. 사계절 모두 새로운 모습을 보여준다. 친구들과 치킨을 사서 먹어도 좋고 가족들과 피크닉을 해도 연인과 산책후 식당에서 식사를 해도 남녀노소 누구에게 열린 공간이다.,4,올림픽공원,12
27,Joon K,여유가 느껴지는 그곳,자전거를 타면서 여유를 부리기에 좋은곳 같습니다. 만약 따릉이를 이용하시는 분이시라면 이리저리 올림픽공원을 돌아보시기를 추천합니다.,5,올림픽공원,12
28,peterS2488CP,장미광장과 들꽃마루의 꽃들을 보러,"아침 일찍 가서 장미광장의 장미를 보고 이어서 들꽃마루의 양귀비와 수레국화, 붓꽃등을 보았습니다. 햇빛이 강해서 한시간 반만에 나왔습니다. 가능하면 해뜨자 마자 가서 구경하는 것이 좋습니다.",5,올림픽공원,12
29,chunbbo,산책하기에 진짜 좋은!!,"산책하기에 진짜 좋은!! 자전거대여도 가능하고. 산책도 가능하고. 나홀로 나무 근처는 사진찍기 좋지만, 주말에는 웨딩촬영이 너무 많아요..ㅠ",5,올림픽공원,12
30,yusoooooo,봄의 향연이 펼쳐지는 곳,3월 중순 방문해서 꽃보다는 미세먼지가 더 많긴 했지만 그래도 돗자리 펴고 치킨한마리 시켜먹기 정말 좋은 곳이였습니다. 지금 4-5월쯤 공기 좋은날 방문하면 예쁜꽃과 낭만적인 하루를 보낼 것 같네요,4,올림픽공원,12
31,muzicrabeat,넓은 공원,대단히 큰 공원. 각양각색 취미를 즐기는 사람들도 만날수있음. 잔디구역과 바닥이 가꾸어진 구역이 둘다 넓게 잘 분포되어있어 좋다.,4,올림픽공원,12
32,missgoooo,"넓고 즐겁고 쾌적하고 가족, 친구, 연인과 함께 할 수록 행복한곳","반드시 날이 따뜻할 적에 돗자리를 준비하여 가세요. 음식은 배달도 가능하니 걱정마시고 깔끔히 정리하여 우리의 행복과 기쁨, 좋은 문화를 물려주시구요. 날씨가 좋으면 금상첨화입니다. 서울에서 탁 트인 공원중 아주 인상깊은 아름다운 곳이 될거에요. 청설모와 토끼도 만나볼 수 있어요.",5,올림픽공원,12
33,JUSEONG Y,"자전거타기, 산책하기에 좋은 곳","서울도 잘 찾아보면 공원들이 은근히 많습니다. 그 중에 하나가 바로 올림픽 공원일 것입니다. 정말 넓어요.^^ 자전거타러 한번 갔었습니다 신나게 달렸습니다. 겨울에는 스케이트장도 있고, 안에 먹을 식당들도 있어서 깔끔하고 좋더라고요. 가끔 지인이랑 올림픽공원 구경 겸 식사하러 가기도 합니다. 참고로 24시간 운영하지는 않는것 같습니다. 어떨때는 문이 닫혀있더라고욬 지키시는 분이 너무 늦으면 나가라고 하더라고요.ㅋ",5,올림픽공원,12
34,gunyoungy,편안한공간,산책을하거나 그안에 커피빈같은 곳은 헛플레이스다 굉장히공원이크고 요즘엔 안경기장에서 많은콘서트도 진행중이다,5,올림픽공원,12
35,태용최,집옆의 휴식처,"넓은 주차장, 녹지 언제나 마음의 휴식처입니다~~ 아이들이 어일때 부터 주말에 즐겨찾던 추억의 공원입니다. 가족단위 휴식에 적합한 공원입니다~",5,올림픽공원,12
36,ᄌ ᄀ,나홀로 나무가 유명한,나홀로 나무가 유명한 올림픽 공원이에요. 공원 자체가 굉장히 커서 자전거 타고 돌아다니기 좋구요. 가을에 특히 잔디 밭에서 돗자리 펴고 쉬기 좋아요,3,올림픽공원,12
37,ruze0201,"산책, 소풍에 좋음.","공원이 넓고 잔디밭도 넓어서 소풍가기 좋고, 얕은 토성이 있어 산책하기에 좋습니다. 봄, 가을철 나무와 경치가 좋습니다.",4,올림픽공원,12
38,이안팍,가족과 주말에 함께하기 좋은 곳,돗자리 펴고 자전거 인라인 등 타기 좋은 곳이다 밥집도 있고 찻집도 있고 산책하기 좋다 다만 식당에서 주차지원 안 해주는 거 행사 있을 때 좀 붐비는 단점은 있다,4,올림픽공원,12
39,kelly7778,소풍하기 좋은곳,공간이 넓어서 돋자리를 펴놓고 놀거나 자전거 빌려서 놀기도 좋다. 간단한 스낵류는 판매하지만 도시락을 싸서 오는것이 편하다. 주차는 유료로 가능하다.,5,올림픽공원,12
40,Bora Y,여유롭게 산책하기 좋아요,공원이 엄청 급니다. 굳이 갈필요는 없지만 근처에 있다면 산책하기 좋아요 가끔 공연도 하니 공연을 봐도 좋구요,4,올림픽공원,12
41,choiyk0222,오랫만에 찾은 올림픽공원,"예전에는 아이들데리고 산책하기 좋은 공원이었는데, 최근에는 많은 이벤트가 열려, 관람하러 더 많이 가는 올림픽공원입니다. 최근에는 테니스대회가 열려 구경갔었는데, 여전히 가족들과 반나절 보내기 좋은 장소입니다.",5,올림픽공원,12
42,luvvparis,생각보다너무예뻐요,예전엔 지나쳐가도 별로 관심이없었는데 개인적인일로 한번 갔는데 공원을 둘러보니 너무좋더라구요,4,올림픽공원,12
43,J J,강동구에서 공원을 가고싶다면 이곳,"나무 한그루만 덩그러니있는 풍경이 유명한 곳. 각종 경기장들이 모여있어 주말엔 콘서트 관람객, 공원 이용객으로 붐빔",4,올림픽공원,12
44,Jelsomina,도심의 대표적인 공원,서울의 대표적인 공원 중 하나이죠. 걷기에 매우 좋고 능선도 있어서 능선을 따라서 저녁 때 걸으면 아름다운 뷰를 볼 수 있는 곳입니다.,4,올림픽공원,12
45,ambition93,날씨좋은날 가세요,생각보다 넓어서 편한 신발 신고 가시기 바랍니다. 나홀로 나무도 있는데 거기서 사진 찍으면 정말 잘 나옵니다.,5,올림픽공원,12
46,인경 전,공연보고 힐링,매년 가을이면 올림픽공원에서 조이올팍페스티벌이 열리는데 올해도 어김없이 좋은 날씨에 좋은 출연진에 맛있는 음식들로 행복한 시간을 보낼수있었음,5,올림픽공원,12
47,Ju-yeon Y,올공 좋아요!,"워낙 넓어서 밥 집 찾는 게 어려워요~ 도시락을 싸가거나 배달, 혹은 미리 먹고 들어가시는 걸 추천해요",4,올림픽공원,12
48,Seon Na G,운동,운동을 위해서 방문하지만 따듯한 날이면 데이트를 위해서 찾는 사람도 많고 가족단위로 나들이 나오는사람도 많은 곳입니다. 자연을 가까이에서 느낄 수 있고 잘 정리되어 있는 공간입니다.,5,올림픽공원,12
49,dkfma0657,좋아요,근처에 맛있는 브런치 집이 있다고해서 겸사겸사 같이 다녀왔습니다 생각보다 많이 넓어요 ㅎㅎㅎ,5,올림픽공원,12
50,siosu,단풍 구경,"올림픽공원은 보기보다 넓어요~~ 산책하다보면 한두시간은 뚝딱이구요 그치만 중간중간 예쁜 곳들이 참 많아요 공원 안에 커피집 들고 있구요, 가족들끼리, 친구들끼리 나들이하기 좋은 곳입니다.",5,올림픽공원,12
51,Jungmin L,서울 시민들의 휴식장소,"드넓은 공간에 피크닉장소, 주말 행사 및 볼거리를 제공하면 나무도 많아 산책하기 좋은.곳이에요",5,올림픽공원,12
