,u_id,title,review,u_rate,place_name,res_title,p_id
0,juou,매력적인 잔디밭이에요,몽촌토성역에서 가깝고 옆에 미술관과 백제박물관도 있어요. 넓은 잔디밭에서 돗자리깔고 쉬면 정말 좋고 힐링되는거 같아요,5,서울 몽촌토성,몽촌토성,368
1,khlee737,몽촌토성 보다는 올림픽공원을 산책하는 느낌,서울에서 이만큼 큰 공원이 있을까요? 물론 몽촌토성이긴 하지만 올림픽공원을 산책하는 느낌입니다. 산책을 하기에도 좋고 조깅하기에도 좋은 곳입니다.,4,서울 몽촌토성,몽촌토성,368
2,"NASIN, 김나신",유적지보다는 편하게 쉴 수 있는 공원,과거 풍납토성과 더불어 백제의 주요한 성 중 하나였으나 지금은 구릉이 있는 공원처럼 꾸며져 있습니다. 날씨 좋은 날 그냥 쉬기 좋은 곳!,5,서울 몽촌토성,몽촌토성,368
3,KEUMHEE L,맑은 날도 비오는 날도 좋은 곳,몽촌토성은 주민들에게 매우 친근한 곳이다. 맑은 날 산책하기 좋으며 동물들과 함께 뛰어 놀기 좋다. 자전거를 탈 수도 있다. 스냡 사진을 찍는 이들도 있을 정도로 풍경이 예쁘다.,5,서울 몽촌토성,몽촌토성,368
4,123minyy,잘 관리된 아름다운 공원,공원이 엄청 넓어요. 오르락 내리락 하며 다양하게 산책할수 있어요. 주말에는 사람이 워낙 많아서 주차하기 어려워요,5,서울 몽촌토성,몽촌토성,368
5,soul8486,편한 신발을 신고 가면 더 좋을 곳,생각보다 많이 크고 웨딩촬영을 할 만큼 경관이 좋습니다. 구두를 신고 산책했는데 운동화 신고 왔으면 더 좋았겠다 생각이 들더라구요. 날씨 좋을 때 방문해보세요. ^^,5,서울 몽촌토성,몽촌토성,368
6,Minjin J,역사적인 의미도 있지만,동네사람들에겐 운동하기 좋은 장소 b 낮에가도 밤에가도 운동하는 사람들이 많다 ㅎㅎ 날씨좋을때 능선올라서 아래 내려보는 맛도 있고 특히 가을엔 갈대도 있어서 은근 분위기 있달까요!,5,서울 몽촌토성,몽촌토성,368
7,vstellav,능선따라 걷기 좋음,"산책, 운동하기에 굉장히 좋은 곳입니다. 사람이 좀 있긴 하니 방해될 정도는 아닙니다. 능선따라 걸으면 공기도 좋고 경치도 좋습니다.",4,서울 몽촌토성,몽촌토성,368
8,묘롱이,도심에 힐링할수있는 장소,올림픽공원내에 있어요. 돗자리 가지고 산책하기 정말 좋은 장소입니다. 잠실에서 가깝고요. 생각보다 크니.. 운동화 신고가야합니다.,4,서울 몽촌토성,몽촌토성,368
9,rewere,산책하기 좋은곳,몽촌토성은 올림픽공원 내에 있구요 올림픽공원 근처에서 밥을먹고 식후에 산책하기 딱 좋은 곳 입니다. 몽촌토성은 백제시대에 지어진 토성이구요 맑은날 가면 정말 좋습니다.,5,서울 몽촌토성,몽촌토성,368
10,Calvin C,역사가있는 아주 좋은 산책로,"나는 여러 번 여기에왔다. 이 트레일은 멋진 전망을 제공하며 역사 또한 가지고 있습니다. 아름다운 올림픽 공원에 있으며 백제 왕국의 성벽이었습니다. 길을 따라 묘사되는 흔적이 있으며, 벽을 더 높이 평가하기 위해 방문할만한 박물관도 있습니다.",4,서울 몽촌토성,몽촌토성,368
11,RossOrpington,인상적인 대지 요새,이 요새는 1600 년 ~ 2000 년 전에 지어진 거대한 토기 은행입니다. 그것은 성벽 2가 있습니다. 경치를 볼 수 있도록 걸어 갈 수있는 길이 7km. 사이트는 아직 발굴 중이며 명확하게 볼 수 있습니다. 부드러운 산책을하는 것이 좋습니다.,4,서울 몽촌토성,몽촌토성,368
