review,u_id,title,u_rate,p_id
백화점내 면세점인 롯데보다 접근성이 좋지 않아서인지 많이 붐비거나 그런 문제는 없습니다. 개인적으로는 면세는 온라인이용을 많이 합니다.,yangcho0311,기대 이상 만족,4,581
다만 중국인 관광객인 많아 다소 정신없을 수 있지만 그래도 주차도 편하고 많은 브랜드들이 있어 쇼핑하기에는 좋은 면세점~!,Qjr,편하게 쇼핑할 수 있는 곳~,3,581
지금은 예전보단 좀 안좋아진 것 같긴 함. 무료 짐보관소 있음(코인락커 형식) 근데 중국인이 너무 너무 너무 너무 너무 너무많고 많은것 뿐만 아니라 시끄러움. 상당히 멀리 있는 사람들이 서로를 향해서 소리침. 그리고 고객센터 직원들이 불쌍할 정도로 소리지름.,Soo_in_Seoul,선불런 하기 괜찮았는데,3,581
지하철역에서 셔틀 타는 것도 쉽지 않고 걸어가는 것도 힘들고 매장은 좁고 사람은 미어터지고 너무 힘들었어요. 쇼핑에 쾌적하지는 않습니다.,시리우드,위치가 좀 아쉬워요.,3,581
꼭 한 번 갑니다 중국인들 많고 시끄럽긴 한데 면세점 하면 워낙 상징적인 곳이라 꼭 한번은 가게 되더라구요 그리고 살 것들이 많긴 해요 제품 종류가 많아서,sweetchocho,출국 전,5,581
이벤트 메세지도 자주 오고 가볍게 생각하고 방문했다가 쇼핑 나들이에 재미 붙였어요 ㅎㅎㅎㅎㅎ 셔틀까지 있어서 넘넘 좋더라구요 단지 구매객들이 너무 많다는거... ㅠㅠ,sweetchocho,이것저것 이벤트,5,581
그러나 다른 면세점에 비해 혜택 많은편이죠 그리고 버스들이 있어서 이동하기 편해요 평일에가면 내국인은 별로없어서 인포도 한산해요,abcd1006,예전보다 프로모션이 줄어서 아쉬워요,4,581
역시 신라죠 ㅋㅋ 이벤트도 그렇지만 물건도 나름 많아서 구경하기 좋아요 저는 원했던 립스틱이랑 파운데이션 구해서 대만족해요,missgoooo,면새점은,5,581
신라는 프로모션이 있고 없고를 떠나서 항상 사람 많은 편이라 화장품 쇼핑할 때는 좀 오픈시간 맞춰서 일찍가거나 마감시간 1시간전이 좋구요. 신라의 선불혜택이 엄청나서 사람많고 힘들어도 안갈수가 없었네요. 남산 근처라 봄시즌에는 남산 벚꽃구경하기에도 가을시즌에는 단풍구경하기에도 좋아요. 잠깐 드라이브하기에도 좋은.,AHN按 A,신라면세점 혜택이 엄청나네요,5,581
서울 시내에 호텔과 붙어있는 면세점으로서 인테리어는 이쁘지만 작아서 굉장히 불편해요 하지만 명동까지 가는 셔틀버스 덕분에 위치 면에서 좋습니다,Ju-yeon Y,빠르게 보기 편한 곳,3,581
시내 면세점이 모두 비슷하긴 하지만 신라면세점은 특히나 손님수에 비해 면적이 작아 비좁아서 쇼핑하기 불편합니다. 입구에 많은 외국인 관광객들로 인해 출입하기 번잡하고 좁은 복도를 지날때 사람들과 부딪히지 않을 수 없습니다. 그나마 옥상의 아티제 카페가 있어 다행입니다.,arcticnova,좁고 불편한 신라면세점,3,581
아무래도 신라(삼성) 계열이라 서비스는 매우 좋다. 주차도 Vallet 해주고~ 하지만 매장이 넓지 못해 단체 중국 손님이 오면 너무 정신 없다. 하지만 공항서 물건 찾을 땐 롯데보다 덜 복잡하자.,Hyuck Joon Lee,친절한 그러나 조금 복잡하고 좁은,4,581
하노이 출국전에 방문한 신라면세점 옥상정원에서 커피도 마시고 전망이 좋습니다 마스코트도 장식을 해 놓았습니다 서비스도 훌륭하고 쇼핑후 옥상정원도 둘러보세요,준일오,신라면세점,5,581
접근성도 좋고 발렛 파킹이 무료라서 출국때마다 항상 방문합니다. 중국 관광객이 많지만 그래도 다양한 행사가 자주 있어서 좋습니다,Charlie5150,오프라인 면세점은 신라죠~~,5,581
장점1. 항상 신라는 발레파킹을 해줍니다. 이걸 악용하는 사람들이 있어선지 이제는 영수증을 확인한다고는 하지만 항상 면세점에서 많이 살 때 이곳을 방문하니까 마음 편하게 주차합니다. 장점2. 오프라인 혜택도 많고 일단 아는 상품이 아닌 이상 온라인에서 사기에 좀 그런 물건은 여기에 와서 눈으로 한 번 보고 구입합니다. 단점1. 출국하는 사람의 카드가 아니면 결제가 안됩니다. 이런 경우는 처음인데 이날 갈 때 몇 몇 매장이 이렇게 말하더라고요. 그 때 가능한 카드가 체크카드 뿐이라 이것만,Jiyeon H,발레차킹이 가능한 면세점,3,581
동대입구에서 셔틀버스를 타면 되는데 셔틀버스가 돌아가는 코스라서 걸어가는것도 괜찮습니다. 매장이 생각보다 크지 않았는데 알차게 매장이 배치되어 있어서 쇼핑하기 편리합니다. 단 커피숍같은 휴식공간이 많지않은점이 아쉽습니다.,시리우드,쇼핑하기 좋아요,4,581
중국관광객이 많다고 비명지르는게 사실은 감사한일인것이다.요새 경기도 나빠지고 관광객도 줄고.그만큼 관광자원은 우리에게 절실한 현실적인 문제이다.마찬가지로 해외여행을 갈땐 조금이라도 저렴하고 한국서 사고싶을때 면세점서 미리 쇼핑하고 공항인도장에서 받는다.신라가 화장품들도 다양하고 이벤트도 많고 3층에 커피숍아티제도 있어서 쉬며 쇼핑하기 좋다,올리브521,여행은 면세점부터 이미 시작!,4,581
명동 롯데 영프라자 앞에서 셔틀버스가 있어요 그래서 셔틀버스로 이동할 수 있는 편리성 ㅋ 시내권에 있는 면세점이지만 롯데랑은 분위기가 완전 달라요 조용히 쇼핑할 수 있어서 너무 좋아요,yeonhwal2016,신라면세점,4,581
중국관광객이 너무 많아서 한국인지 중국인지 구분이 가지는 않지만 이벤트도 많이 하고 면세품 저렴히 구입하기 좋아요.,시욱 우,중국입니다.,4,581
일딴 신라호텔과 같은 부지를 쓰고 있으며 장충 체육관 옆 고풍스러운 입구로 올라 가다 보면 신라 호텔 본관으로 가는 길과 바로 이쪽 면세점으로 가는 길이 나온다. 건물 자체는 반지하 1층 지상 2층의 참 작은 건물 같아 보이지만 안에 들어 가면 이야기가 절대적으로 달라진다. 주차장은 차량이 뒤섞여 발렛 하시는 분들도 곤욕일거라는 생각이 든다.. 손님의 90%는 중국인이며 일요일 아침 중국인을 싫어 나르는 버스들이 주차할데가 없어 반얀트리를 뺑둘러 남산타운 아파트 정문까지에 이를 정도이니..,406대현김,장충 체육관 뒷편.,5,581
여타 면세점에 비해 신라호텔이 전해주는 고급스러운느낌이 있습니다. 롯데본점과 양대산맥이라 할 수 있다. 역시 빠지는 메이커가 없고 항시 손님이 많다. 바렛파킹을 제공한다.,inwooy,고급진 느낌,4,581
"내외국민들이 항상 붐비는 곳으로, 다양한 프로모션과 다양한 브랜드가 많아서 출국하기 전에 꼭 들르는 곳입니다. 면세점 옥상에 있는 아티제에서 커피 한 잔을 하는 여유로움도 즐길 수 있는 곳이죠.",코코,출국하기 전에 들르는 그 곳,5,581
중국인 관광객들이 늘어 사람이 점점 많아지지만 그래도 행사도 많고 롯데보다는 덜 붐비는거 같아서 가끔 방문해요. 자차가 아니면 접근하기 힘든 위치 이지만 주요 지하철 역에서 셔틀버스가 있어서 방문하기도 편하고 좋아요.,RRReina,사람이 너무 많지만...,4,581
갈수록 중국인들이 늘어나 엄청 붐벼요 특히 지하1층 매장은 발 디딜틈 없어 제대로 볼수가 없어요,nayepp,붐벼요,3,581
쇼핑할때 이벤트가 많아서 좋네요 그덕분에 자꾸 더 질르게 되지만 쇼핑하다가 위층에 야외정원에 아티제에서 커피한잔마시면 좋아요 야경도 이쁘더라구요 .,최쁘,이벤트가많은 면세점,4,581
말이 필요없는 유명한 면세점이죠 신라호텔 옆에 붙어있어 호텔도 구경하기좋고~ 일단 면세점 자체 이벤트 및 행사가 많아서 정말 저렴한 가격으로 물건 사기 좋은곳인거같아요 매장들도 잘 배치되어 구경하기 좋은 동선으로 되어있는거같아요 해외나갈때마다 꼭 들러 쇼핑한답니다. 직원들 서비스도 물론 최고구요,je3594961,좋은 가격에 면세품 살수있는 면세점,5,581
"외국분들이 주로가시는 곳이라, 시계나 가방등 고가 제품들이 많아요 내국인은 못사는 3천불 이상의 제품들이 많아서, 시내 면세점 이용하시는게 더 나아요",곰토깽,한국은은 별로 없고 외국분들이 많아요,4,581
롯데 면세점엔 정말 외국사람도 많고 사람도 많고~ 백화점 위쪽에 있어서 사람이 정말 많은데~ 여긴 여유롭게 쇼핑을 즐길수 있어서 좋아요~ 외국 나가기 전에 미리 면세점에서 쇼핑하고 나가는데~ 항상 여기 이용해요,차씨,신라 면세점,4,581
"해외여행갈때 꼭 들리는 면세점. 그중 우리나라에서 1-2위로 경쟁하는 롯데면세점과 신라면세점. 신라면세점은 발렛파킹이 바로 되는 점이 장점이죠. 지하철이나 버스타고 오기는 힘들다는 단점은 있죠. 면세점내에 엘리베이터가 없다는 것은 단점. 쇼핑하고 쉬기위한 카페가 계단을 올라가 3층에 있다는 것과 내부 자리가 적다는 단점. 매주 주말에는 관광객들로 발디딜틈이 없다는 단점...그렇지만 여러가지 이벤트나 혜택, 매장이 많고 장점들이 많아 계속 오게 되네요.",dmltk0,국내 면세점 중 1-2위를 다투는 신라면세점 서울점,5,581
주차에 대해 신경쓰지 않는 다는 것이 첫번째 적정한 서비스가 항상 일정하게 유지되며 사은행사가 많고 쇼핑후 4층에서 즐기는 한잔의 커피와 정원에서의 여유,ECU_TANTALLHOTE,타시내 면세점보다 항상 만족을 주는,5,581
도시 중심에 있어서 방문하기 좋음. 미리 물건들 볼 수 있어서 실속있는 쇼핑을 할 수 있음.,은종이2014,실속있는 쇼핑..,3,581
다만 사람이 너무 많아요... 사은품받는 곳도 바글바글하고요... 그래도 줄은 잘 빠지긴 하는 편이에요. 사람이 너무 많아서 편하게 구경하기가 힘들 정도에요... 발렛 무료지만 그냥 걸어가서 살것만 한두개 사고 나오는게 좋은 거 같아요... 조말론 있어서 좋은 거 같아요..,unias2,가까워서 좋아요,5,581
"개인 준비로 서울에 가게 되고 나서, 면세품은 기본적으로 신라에서 삽니다. VIP 카드를 제시하여 5~15% 할인되는 브랜드도 있고, 뷔통이 입장 제한하는 경우가 많습니다만, 무엇보다 상대적으로 롯데보다 비어있는 부분이이 많아, 천천히 쇼핑할 수 있기 때문에 저는 신라 면세점 쪽이 좋습니다. 넥이라고하면 롯데보다 가기 힘든가요? 지하철을 이용한다면, 역에서 오르막길을 상당히 걸어야만 하고, 기본적으로 택시로 가면 된다고 생각합니다. 그런데 택시 영수증을 제시하면 상품권을 받을 수도 있고, 다양한",mei47,항상 갑니다,4,581
"롯데 면세점과 비교하면 물품 종류도 적고, 브랜드를 목표로 하시는 분들께는 솔직히 추천할 수 없습니다. 투어에 포함되어 있었기 때문에 들렀지만 개인 여행으로는 아마 안 갈 것이라 생각합니다. 잡화 계의 기념품이라면 롯데 마트, 브랜드라면 롯데 면세점이 좋습니다",情熱君,별로 추천 안 합니다,3,581
"이 면세점은 옥상?! (3층?!)에 찻집 코너가 있어 쇼핑이 지루한 사람은 쉴 수 있기 때문에 좋아합니다. 하지만, 돌아갈 때 • • • 입구를 나왔더니 돌아갈 택시를 잡으려고 해도 거의 택시는 오지 않았어요. 옆에 있는 문지기(벨맨?!) 카운터의 오빠들은 전혀 일을 하지 않기 때문에 눈치껏 택시를 불러주거나 하지 않습니다. 그래도 시간이 아깝기 때문에, 오빠에게 '택시'라고 말을 걸면, 안쪽에 대기하고 있던 모범 택시를 손가락으로 가리킬 뿐. 그리고, 거기 모범 택시까지 걸어가 ""탈 수",pony68,돌아가는 택시를 잡을 수가 없어,2,581
