id,name,url,tags
670,결백,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180378,"special,part-time,part-time,good,main,forgotten,great,sin-pa,whole,short,whole,main,important,unique,new,second,korean,excessive,disappointing,forced,sure,sure,new,goose,uncomfortable,many,crazy,brazen-faced,great,big,great,first,good,bubble,immersed,long,korean,worried,familiar,rural,small,solid,big,small,obvious,,last,long,perfect,empathetic,sad,good,excellent,visual,good,unparalleled,good,,minute,net,solid,good,long,red,solid,true,able,,long,good,good,good,fast,interesting,long,satisfied,good,crazy,sad,good,good,great,good,,pleased,first,hot,long,satisfied,first,good,fun,long,great,shin,that,long,worthwhile,long,,good,due,third-rate,worth,worth,long,deep,excellent,acting,perfect,metabolic,solid,worth,itnimble,shin,cool,,great,crazy,new,fun,good,running,x,simple,solid,good,nice,long,big,,main,true,immersed,final,good,shin,whole,last,sad,good,,nice,last,perfect,good,great,tense,enjoyed,goose,whole,handsome,first,starring,good,much,sure,obvious,colossal,,last,thati,happy,able,excited,big,solid,trusted,worth,shin,cool,big,long,full,solid,whole,nice,cool,perfect,good,good,write,write,loose,good,nervous,careful,long,overwhelming,large,nice,solid,follow-up,strong,,worth,first,good,autistic,innocent,innocent,immersed,good,great,shin,outstanding,good,tense,refreshing,good,impressive,,good,long,twist,good,i,long,solid,good,,good,satisfied,much,hard,tongue-tied,good,good,direct,boring,pathetic,good,,perfect,shin,attractive,goodneedless,good,good,serious,female,actress,actress,hard,other,solid,popular,okay,worth,good,good,facial,good,first,second,different,long,good,big,shin,first,goodthe,good,solid,"
671,온워드: 단 하루의 기적,https://movie.naver.com/movie/bi/mi/basic.nhn?code=187351,"brilliant,much,emotional,alive,visual,unsympathetic,,,last,unexpected,significant,healing,,precious,good,great,much,perfecti,cute,little,second,precious,,,childish,cute,,second,,funny,empathetic,fun,timid,timid,visual,shed,warm,touchingthe,fresh,long,little,disappointing,powerful,stuck,much,fresh,,,,,good,many,single,lovely,long-awaited,great,real,great,,special,animated,good,,sure,good,much,old,much,magical,last,imaginary,boring,beautiful,touching,brotherly,last,critic,long,,amazing,,,long-time,bad,magic,magic,common,animal,easy,short,little,disappointed,good,new,detailed,,sad,good,main,unattractive,graphic,good,old,funny,touching,real,early,immersed,precious,alive,,sure,obvious,boring,satisfied,well-made,unexpected,provocative,overall,emotional,first,warm,easy,successful,right,nice,korean,cool,emotional,,unexpected,,touched,little,common,interesting,,,,23-year-old,impressed,bad,bad,disappointing,,great,must-see,life-time,ridiculous,great,bad,professional,appropriatethe,much,annual,killing,worth,good,quick,good,fantasy,touched,it,,fun,nice,fresh,unique,unique,different,real,first,last,busy,first,notlast,long-cherished,fun,long,,,,,,,simple,neat,natural,sure,small,enjoyable,sad,mysterious,close,little,cute,,good,good,sure,"
672,사라진 시간,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179894,",precious,precious,main,,,next,,curious,complicated,strange,dizzy,new,lost,,real,much,main,first,mysterious,good,independent,big,first,favorite,curious,first,warm,common,good,fresh,good,,strange,interesting,fresh,korean,long,entire,,,,weird,present,hidden,real,fun,,,,,,stupid,part-time,much,,successful,deep,unpredictable,,curious,genre,self-development,tense,hard,,,,strange,different,strange,fascinating,real,,swollen,first,sure,mistaken,sure,little,confident,futile,futile,last,unique,,little,different,bad,open,good,sorry,little,old,good,,,brave,sloppy,ambiguous,overall,philosophical,open,caused,double-track,main,much,commercial,hard,,good,trashy,precious,korean,,new,next,sorry,popular,lost,i,sure,mental,,sudden,new,good,long,,,grateful,good,good,okay,sad,first,21st,confident,long,crazy,whole,curious,impressive,,unkind,disappointed,ordinary,real,psychic,,,,stupid,many,much,,,one-man,,lost,no,open,whole,open,actor,first,nervous,actor,good,disappointing,contextless,i,great,third-rate,bad,bad,scary,many,good,,,,,interesting,interesting,"
673,침입자,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182835,"weird,good,good,interesting,obvious,running,long,hard,second,good,good,long,song,good,unique,low,boring,song,good,clean,fun,sad,cool,fun,song,amazing,nice,funny,good,fine,,sorry,sudden,second,main,good,real,song,good,heavy,cool,good,boring,much,good,good,long,nervous,nice,long,,mixed,no-fun,worth,fun,good,nice,long,tense,whole,good,tensioni,good,goosebumps,last,long,nervous,low,good,,good,good,song,solid,strange,impressive,good,new,awesome,new,new,good,long,song,good,good,fun,long,funny,boring,likely,ridiculous,sorry,great,disappointing,weird,uncomfortable,satisfied,boring,boring,clementine-class,good,poor,emotional,happy,warm,satisfied,suspenseful,long,,,good,afraid,bad,main,good,disappointing,long,whole,current,glad,civic,,minimum,basic,korean,strong-arm,song,good,hard,full,good,good,perfect,much,song,immersed,good,song,good,,enough,amazing,creepy,long,unique,much,good,curious,song,real,elephant,steamed,nice,big,long,good,long,,nervous,real,open,bad,long,good,nervous,good,low-pitched,good,good,long,much,song,amazing,great,tense,due,frequent,screen,amazing,too,certain,actress,nervous,mysterious,real,pseudo,solid,sure,crazy,good,fun,different,full,good,,,worth,good,song,entire,excellent,good,mystery,fun,interesting,perfect,mysterious,strange,early,neutral,crucial,cool,next,,,,,sure,good,second,little,sad,enough,,,time-wasting,,,acting,"
674,슈퍼스타 뚜루,https://movie.naver.com/movie/bi/mi/basic.nhn?code=191436,"worth,healthy,good,,funny,exciting,awesome,elementary,,good,,8-year-old,good,,good,7-year-old,second,elementary,,musical,good,addictive,funny,,"
675,야구소녀,https://movie.naver.com/movie/bi/mi/basic.nhn?code=189633,"fast,,,right,small,calm,strong,strong,main,cool,attractive,,,,true,,,true,heavy,,ideal,"
676,에어로너츠,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167658,"new,big,original,beautiful,beautiful,strong,fantastic,visual,great,beautiful,true,hot,creative,true,fictional,satisfactory,vast,frustrating,big,big,scientific,limited,hot,excellent,green,due,,,impressive,wide,open,small,wonderful,beautiful,visual,good,whole,cool,good,fun,hot,big,nice,fun,great,long,happy,big,wide,open,,afraid,good,,female,,big,spectacular,clean,solid,tense,wide,open,cinematic,worth,,good,bad,thrilling,beautiful,loose,visual,solid,good,good,visual,,visual,glad,goose,crazy,flawless,,vast,little,cool,similar,unique,good,heat-free,hot,jade,hot,long,fresh,subject,dramatic,simple,lame,,different,disappointing,virtual,visual,fine,touching,touching,acting,sure,big,last,understanding,human,pollution-free,clean,human,proper,visual,human,valuable,personal,fundamental,unknown,different,wonderful,human,unexplained,unbelievable,real,,sky,true,fantastic,visual,excellent,weak,attractive,great,worth,last,vicarious,visual,faith,meaningful,so-so,,true,much,imaginary,impossible,much,true,false,real,real,fictional,nerdy,real,plain,clumsy,antipathy,doubtful,indian,strong,weak,obvious,boring,beautiful,good,fun,happy,,,hot,,similar,weather,possible,hot,eye-catching,hot,innocent,interesting,true,,many,boring,boring,calm,bad,good,,,great,fun,,little,the,worth,beautiful,cool,excellent,boring,easy,strong,great,true,,true,true,important,local,able,thrilling,bad,,whole,wide,open,,good,simple,worth,,simple,great,impossible,,boring,hot,fun,simple,sad,satisfying,good,fine,fine,human,unknown,visual,beautiful,little,handsome,great,hard,wonderfulthis,wonderful,worth,vast,"
677,나의 첫 번째 슈퍼스타,https://movie.naver.com/movie/bi/mi/basic.nhn?code=193781,"real,well-made,main,great,good,happy,running,little,intern,devil,good,much,great,,happy,whole,well-made,important,first,significant,great,great,well-made,good,good,long,good,glad,certain,impossible,many,second,upset,first,,main,good,attractive,good,touched,happy,good,long,good,distracting,boring,weak,fun,great,tacky,long,satisfied,good,strange,pleasant,good,attractiveᅲᅲᅲ,great,good,satisfied,good,small,corona,new,recommendable,heartwarming,sure,good,the,first,bright,good,fun,good,happy,happy,cool,pleasant,well-made,visual,pretty,beautiful,good,good,funny,comic,part-time,,infinite,happy,touching,,critic,high,good,good,good,visual,good,many,many,boring,good,last,long,good,comfortable,good,much,good,awesome,worth,,,good,wrong,depressed,good,upit,great,first,good,happy,long,good,,crazy,good,fun,commercial,reverse,low,short,wrong,good,fun,fun,nice,depressed,good,good,,,real,deep,re-appear,big,great,big,,long,small,good,two-hour,loose,overall,small,familiar,real,good,great,main,attractive,crazy,solid,strong,much,good,last,well-made,good,healing,great,good,whole,pleasant,good,main,good,touching,nice,good,boring,strong,funny,last,ten,devil,pleasant,satisfying,much,solid,great,beautiful,good,good,long,healing,musical,familiar,male,good,good,sure,good,good,,good,consistent,singing,next,,light,warm,nice,good,,great,second,disappointing,bohemian,nice,obvious,"
678,콜 미 바이 유어 네임,https://movie.naver.com/movie/bi/mi/basic.nhn?code=158885,",new,many,dreamy,beautiful,sad,first,impressive,envious,long,,green,hard,man-to-man,first,last,first,heterosexual,male,female,physical,negative,likely,,deep,queer,first,beautifulhas,first,brilliant,wonderful,sad,good,full,empty,cold,first-love,perfect,unstable,realistic,delicate,beautiful,many,last,male,provocative,sad,original,original,lingering,whole,first,wrong,,first,first,last,whole,original,timothy,,,elio,intense,unwilling,long,beautiful,small,routine,sick,half-cooked,ripe,bitter,first,last,long,long,,,beautiful,indelible,bad,delicate,emotional,elio,small,hard,real,ordinary,visual,good,first,,languid,last,emotional,much,happy,original,beautiful,wished,happy,little,slight,second,clear,difficult,second,good,first,,available,necessary,normal,sad,,first,,last,complete,korean,traditional,first,homophobic,,last,dazzling,helpless,good,good,important,curious,clumsy,happy,angry,jealous,sad,sick,mysterious,first,last,,,glad,positive,beautiful,whole,,rid,sick,first,beautiful,first,,,beautiful,unclear,,,beautiful,dead,alive,harmonious,previous,last,long,memorable,spring,beautiful,awkward,beautiful,unforgettable,,resentful,romantic,beautiful,homosexual,first,,,first,first,uncontrollable,enough,beautiful,beautiful,good,happy,,,beautiful,southern,main,long,past,detailed,sexy,female,first,tree,first,glorious,delicate,beautiful,light,delicate,impressive,last,first,brilliant,daily,impossible,first,i,foolish,fresh,beautiful,tremendous,"
679,국도극장,https://movie.naver.com/movie/bi/mi/basic.nhn?code=178569,"true,good,enough,,,impressive,last,long,,,good,old,similar,good,good,touching,hard,sympathetic,attractive,logical,lonely,lingering,,,,good,bitter,touching,memorable,calm,nice,clear,boring,,good,next,warm,friendly,good,,,,okay,present,much,true,good,little,funny,everyday,quiet,gentle,intense,warm,,hard,gentle,good,real,,,,,touching,daily,good,nice,exaggerated,calm,,,,,long,boring,interesting,korean,boring,,"
