,id,title,title_ko,rate,year,country,genre,running_time,contents
0,0,김씨 표류기,김씨 표류기,4,2009,한국,드라마/코미디,1시간 56분,"자살시도가 실패로 끝나 한강의 밤섬에 불시착한 남자. 죽는 것도 쉽지 않자 일단 섬에서 살아보기로 한다. 모래사장에 쓴 HELP가 HELLO로 바뀌고 무인도 야생의 삶도 살아볼 만하다고 느낄 무렵. 익명의 쪽지가 담긴 와인병을 발견하고 그의 삶은 알 수 없는 희망으로 설레기 시작한다. 자신의 좁고 어두운 방이 온 지구이자 세상인 여자. 홈피 관리, 하루 만보 달리기… 그녀만의 생활리듬도 있다. 유일한 취미인 달사진 찍기에 열중하던 어느 날. 저 멀리 한강의 섬에서 낯선 모습을 발견하고 그에게 리플을 달아주기로 하는 그녀. 3년 만에 자신의 방을 벗어나 무서운 속도로 그를 향해 달려가는데..."
1,1,The Girl on the Train,걸 온 더 트레인,2.5,2016,미국,범죄/드라마/미스터리/스릴러,1시간 52분,이혼 후 알코올중독에 빠져 심각한 블랙아웃 (음주 후 필름 끊기는 현상) 을 겪고 있는 레이첼은 통근열차의 창 밖으로 보이는 타인의 삶을 동경하며 하루하루를 살아간다. 그러던 어느 날 피투성이가 된 상태로 블랙아웃 현상에서 깨어나게 되고 '메간' 이라는 여성의 실종에 대해서 경찰조사를 받게 되는데......
2,2,Ένας Άλλος Κόσμος,"나의 사랑, 그리스",4,2015,그리스,드라마/로맨스,1시간 54분,"그리스를 배경으로 펼쳐지는 각기 다른 세대 세 커플의 사랑 이야기. [부메랑] 여대생 '다프네'(니키 바칼리)는 밤길을 가던 중 괴한에게 공격을 당하게 된다. 지나가던 청년 '파리스'(타우픽 바롬)가 그녀를 구해주고 둘은 우연히 버스에서 다시 만나게 된다. 시리아에서 온 파리스와 그리스인 다프네는 서로 다른 나라, 다른 언어 속에 살아왔지만 서로에 대해 깊은 사랑에 빠지게 된다. 그들 앞에 놓여진 현실이 두렵기도 하지만 그래도 이겨낼 용기를 가진 20대 커플. [로세프트 50mg] 원나잇으로 만난 그녀가 새로 온 상사라니….스웨덴에서 온 '엘리제'(안드레아 오스바트)는 파산위기를 겪고 있는 그리스의 한 회사의 매각을 위해 파견되었다. 우연히 바에서 만난 그리스 남자, '지오르고'(크리스토퍼 파파칼리아티스)와 하룻밤을 보내고 사랑을 느끼게 된다. 그러나 엘리제는 지오르고가 매각회사의 직원인 것을 알게 되고 고민에 빠지게 된다. 현실의 무게를 견뎌야 하는  40대 커플. [세컨드 찬스] 그를 통해 새로운 세상, 새로운 꿈을 만났다…독일에서 온 ‘세바스찬’(J.K. 시몬스)은 마트 앞에서 ‘마리아’(마리아 카보이아니)의 도움을 받게 되고 그 계기로 매주 마트 데이트를 하며 서로에게 호감을 느낀다. 평범한 그리스 주부로 살아온 마리아는 세바스찬을 통해 새로운 세상을 만나게 되고 서로 다른 언어로 이야기하지만 서로에게 사랑의 감정을 느낀다. 현실의 아픔을 딛고 일어서 두번째 기회를 꿈꾸는 60대 커플."
3,3,LA CARA OCULTA,히든 페이스,3,2011,"콜롬비아,스페인",코미디/드라마/미스터리/스릴러,1시간 37분,"오케스트라 지휘자 아드리안은 1년간 콜롬비아의 보고타 필하모닉의 지휘자로 일하게되어,여자친구 벨렌과 함께 보고타로 떠난다. 행복한 나날을 보내던 어느 날 갑자기 이별을 고하고 사라져버린 벨렌. 벨렌을 그리워 하며 괴로운 나날을 보내던 아드리안은 새로운 여자친구를 만나게 되고 빠져든다. 경찰은 사라진 여자친구의 실종에 대해 아드리안을 의심하고 새로운 여자친구는 남자친구의 집에서 이상한 기운들을 감지하게 되는데..."
4,4,Deepwater Horizon,딥워터 호라이즌,3.5,2016,"홍콩,미국",액션/드라마/역사/스릴러/재난,1시간 47분,"2010년 4월 20일, 미국 루이지애나주 앞바다 멕시코만 석유 시추선 ‘딥워터 호라이즌’ 호. 무리한 작업량으로 인하여 이미 배가 시한폭탄 같은 상태임에도 본사는 일정과 비용을 이유로 안전검사를 무시한다. ‘딥워터 호라이즌’ 호의 총 책임자 ‘지미’(커트 러셀)와 엔지니어 팀장 ‘마이크’(마크 월버그)는 이에 반대하지만, 본사 관리자 ‘돈’(존 말코비치)은 이런 항의를 묵살하고 작업을 강행한다. 본격적인 작업이 시작된 직후, 굴착반 ‘케일럽’(딜런 오브라이언)은 시추관에서 이상 징후를 감지한다. 그리고 그 순간, 배 전체를 뒤흔드는 폭발음과 함께 ‘딥워터 호라이즌’ 호는 거대한 화염에 휩싸이는데…"
5,5,Becoming Jane,비커밍 제인,4,2007,"영국,아일랜드",드라마/로맨스,2시간 00분,"혼기 꽉 찬 나이에 남자보단 글 쓰는 것을 더 좋아해 부모님의 골치거리가 되고 있는 제인 오스틴. 그런 그녀 앞에 부모님의 잔소리보다 더 신경 쓰이는 존재가 나타났다! 그의 이름은 톰 리프로이. 겸손이라고는 눈곱만치도 찾아 볼 수 없는 오만함을 가진 최악의 남자다. 산책길에서, 도서관에서, 무도회에서 우연히 마주치는 그와 티격태격 신경전이 계속되지만 이 느낌이 왠지 싫지만은 않다. 게다가 그를 떠올릴 때마다 심장은 주책없이 뛰고 솟아오르는 영감으로 펜은 저절로 움직인다. 이것은 혹시 사랑?  한 편, 부와 명예 모든 조건이 완벽하게 갖춰진 귀족집안의 미스터 위슬리의 청혼으로 자신은 물론, 식구들 모두 가난이라는 숙명에서 벗어날 수 있는 기회를 얻게 되는데. 자신의 전부를 바칠 수 있을 것만 같은 운명적인 사랑을 만난 지금, 과연 어떤 선택이 그녀에게 행복을 가져다 줄 수 있을까?"
6,6,클로젯,클로젯,2.5,2020,한국,미스터리/드라마,1시간 38분,"벽장 문이 열리고, 아이가 사라졌다!

갑작스러운 사고로 아내를 잃은 상원(하정우)과 그의 딸 이나(허율). 상원은 소원해진 이나와의 관계를 회복하기 위해 새 집으로 이사를 간다. 상원은 이나와 가까워지기 위해 노력하지만 어긋난 사이는 좀처럼 회복되지 않는다. 그러던 어느 날 이나가 새로운 친구가 생겼다며 웃기 시작한다. 하지만 평온도 잠시, 이나의 방 안에 있는 벽장에서 기이한 소리들이 들려오고 이나에게 이상 증세가 나타난다. 그리고 상원마저 이상한 꿈을 꾸기 시작한 지 얼마 후, 이나가 흔적도 없이 사라진다. 

이나의 흔적을 쫓는 상원에게 의문의 남자 경훈(김남길)이 찾아와 딸의 행방을 알고 있다며 가리킨 곳은 다름 아닌 이나의 ‘벽장’.. 10년간 실종된 아이들의 행방을 쫓고 있는 경훈은 믿기 힘든 이야기를 꺼내고 상원은 딸을 찾을 수 있다는 마음으로 열어서는 안 될 벽장을 향해 손을 뻗는데…"
7,7,남산의 부장들,남산의 부장들,3.5,2019,한국,드라마,1시간 54분,"“각하, 제가 어떻게 하길 원하십니까”

1979년 10월 26일, 중앙정보부장 김규평(이병헌)이 대한민국 대통령을 암살한다. 이 사건의 40일전, 미국에서는 전 중앙정보부장 박용각(곽도원)이 청문회를 통해 전 세계에 정권의 실체를 고발하며 파란을 일으킨다. 그를 막기 위해 중앙정보부장 김규평과 경호실장 곽상천(이희준)이 나서고, 대통령 주변에는 충성 세력과 반대 세력들이 뒤섞이기 시작하는데…

 흔들린 충성, 그 날의 총성."
8,8,Glass,글래스,4.5,2019,미국,드라마/SF/스릴러,2시간 9분,"24개의 인격 · 강철 같은 신체 · 천재적 두뇌
마침내 그들이 만났다

통제불가한 24번째 인격 비스트를 깨운 케빈, 강철 같은 신체 능력을 지닌 의문의 남자 던, 천재적 두뇌를 지닌 미스터리한 설계자 미스터 글래스, 마침내 그들이 한 자리에 모이게 되고 이들의 존재가 세상에 드러나면서 예상치 못한 일이 벌어지는데……."
9,9,Knives Out,나이브스 아웃,4.5,2019,미국,코미디/범죄/드라마/미스터리/스릴러,2시간 10분,베스트셀러 미스터리 작가가 85세 생일에 숨진 채 발견된다. 그의 죽음의 원인을 파헤치기 위해 경찰과 함께 탐정 브누아 블랑이 파견 되는데…
