u_id,review,u_rate,p_id,review_en
407yjj,카카오는 국내 인기 캐릭터이니 우리나라를 방문한 외국인이라면 한번쯤 들러 구경해봐도 좋을 것 같네요. 카카오프렌즈 마카롱도 드셔보세요,5,1239,"Kakao is a popular character in Korea, so if you're a foreigner visiting Korea, you can visit it. Try some cacao Friends macaroons, too."
H L,친한 언니가 대만 친구한테 줄 선물을 보러 간다고 해서 같이 갔는데 예쁘고 귀여운 캐릭터에 둘러싸이니 기분이 좋더라고요~ 귀여운 수면양말을 1층에서 찾아서 구매했어요. 대형 캐릭터들이 곳곳에 있어서 사진 찍기 좋은 곳이에요.,4,1239,"My close friend told me that she was going to see a present for her Taiwanese friend, so I went with her. It felt great to be surrounded by pretty and cute characters. I found cute socks on the first floor and bought them. It's a good place to take pictures because there are big characters everywhere."
Lee Yeyoung,"카카오의 캐릭터를 좋아하는 사람이라면 이곳에 한번 발을 들이는 순간 빠져나오기 힘들 수도 있습니다. 홍대입구 8번출구로 나오면 바로 보이는 카카오프렌즈 플래그십스토어에는 커다란 캐릭터 인형은 물론이고 열쇠고리, 의류, 컵이나 접시, 수저세트 등의 식기류 그리고 각종 문구류까지 종류도 다양합니다. 이 매장의 3층에는 라이언 카페를 운영하고 있는데 카카오프렌즈 캐릭터의 모습을 한 마카롱, 마들렌 등의 디저트도 구매할 수 있습니다. 귀여울 뿐만 아니라 맛있기까지합니다.",5,1239,"If you like Kakao's character, you may find it hard to get out once you step in here. The Kakao Friends flagship store, which is immediately visible from Exit 8 of Hongdae entrance, has a wide range of key chains, clothes, cups, plates, utensils, and stationery as well as large character dolls. On the third floor of the store, there is a Ryan Cafe, where you can buy desserts such as macaroons and madeleines that look like Kakao Friends characters. It's not only cute but also delicious."
경경 팍,카카오프렌즈 기념품샵은 항상 사람들로 북적여요~ 그래도 귀여운 카카유프렌즈 제품들보면 절로 미소가 ㅎㅎ 카드 자꾸 쓰게되는게 함정이지만ㅜ 윗층에는 카페도 있어요!,4,1239,"Kakao Friends souvenir shop is always crowded with people. But when you look at cute Kakayu Friends products, it's a trap that you can't stop smiling. There's a cafe upstairs!"
WINNY,예전에 비해 이것저것 파는 용품이 많아졌더라고요 특히 지하의 박물관은 꼭 가보세요! 게임을 직접 체험해 볼 수 있어서 너무 좋았어요~,4,1239,"There's a lot of supplies that sell this and that than before. Especially, go to the underground museum! It was so nice to experience the game in person."
장두현,두어번 가봤는데 갈 때마다 사람에 치여서 꺼리게 되더군요. 외국인들은 한번쯤 가볼만하지만 한번 가면 사람 때문에 질려서 가지 않게 되는 곳입니다.,1,1239,"I've been there a couple of times, and I'm always afraid of being run over by people. Foreigners can go once, but once they go, they get tired of people and don't go."
Jieun L,다양한굿즈너무좋아요 카카오프렌즈샵은전부아기자기하고너무좋아요ㅠ라인샵도근처지만역시카카오가짱이예요ㅠ,5,1239,"I love all kinds of goods. Kakao Friends Shop is very babyish and I like it so much. The Line Shop is near, but it is also the best.ᅲ"
Susan K,전세계에서 유일하게 대한민국에만 존재하는 카카오프렌즈샵. 관광지로 인기있는 강남 홍대를 비롯해 경기도 광역시에 고루고루 위치해있다. 명불허전의 인기를 뽐내는 라이언을 비롯한 어피치 무지와 콘 네오와 프로도 튜브 제이지 등 개성강하면서 사랑스러운 캐릭터들이 샵을 가득 채워 사람들의 시선을 뗄 수 없이 만든다. 한국인보다 외국인이 더 많은 강남과 홍대의 카카오프렌즈샵은 관광객들에게 있어 한국의 랜드마크로 우뚝 서게 되었다.,5,1239,"Kakao Friends Shop is the only one in the world that exists only in Korea. It is located evenly in the metropolitan cities of Gyeonggi-do, including Gangnam and Hongdae, which are popular tourist destinations. The shop is filled with unique and lovely characters such as Ryan, who shows off his popularity, Apeach Muji, Con Neo, Frodo Tube, and Jay-Z. Kakao Friends Shop in Gangnam and Hongdae, which have more foreigners than Koreans, has become a landmark for tourists."
Gon80,"핫한 카카오프렌즈 캐릭터 상품들이 함께 진열되어 있어서 구경하는 재미가 있고, 캐릭터 인형들이 중간중간 전시되어 있어서 사진찍기에도 좋다. 어피치, 라이언 등이 너무 귀여워서 저절로 상품구입이 되는 곳이다. 한번쯤 방문해볼 만 하다.",4,1239,"Hot Kakao Friends character products are displayed together, making it fun to look around, and character dolls are displayed from time to time, which is good for taking pictures. Apeach and Ryan are so cute that they can buy products on their own. It's worth a visit."
joywoong,"다양한 카카오 프렌즈 캐릭터 상품이 있고, 중간중간 대형 캐릭터 들이 있어서 함께 사진 찍기도 좋습니다. 3층에는 까페도 있고. 귀여운 캐릭터 상품을 보는 것만으로도 시간가는 줄 모르고 홍대 중심 대로변에 있어서 다른 곳과 연계하기도 좋습니다.",5,1239,"There are various Kakao Friends character products, and there are large characters in between, so it's good to take pictures together. There's a cafe on the third floor. Just looking at the cute character products doesn't make time fly, and it's good to be connected to other places on the main street of Hongdae."
