u_id,review,u_rate,p_id,review_en
ung_222,"엄청 넓어ㆍ요...추운날에 갔었는데 넓어서 돌아다니다가 카페에 가서 따뜻한차도 먹고, 무슨 안에 전시관? 같은거도 잇어서 구경 했어요",4,1133,"It's huge.I went there on a cold day, and I went around because it was so wide, and I went to a cafe and had hot tea. What kind of exhibition hall? There was the same thing, so I looked around."
Alpertbyun,서울 도심속에 있는 규모가 꽤 큰 공원입니다. 가볍게 조깅하기도 좋고 산책하기도 좋아요 또한 롯데월드가 근처에있어서 같이 구경하기도 좋아요,3,1133,"It's a pretty big park in downtown Seoul. It's good for light jogging and for a walk. Also, Lotte World is nearby, so it's good to look around together."
윤아영,"넓은 공원에 주민들이 자유롭게 여가생활을 즐기는 모습이 좋았습니다. 베드민턴을 치는 아이들이나 자전거를 타는 사람들, 반려견과 산책을 나온 사람들과 잔디에서 요가를 하는 외국인들까지! 여유로움이 느껴지는 공원이에요~",5,1133,"It was nice to see the residents enjoying their leisure time freely in the wide park. Children playing badminton, cyclists, dogs and walkers, and foreigners doing yoga on the grass! It's a park where you can feel relaxed."
Gino Gin,88올림픽시 조성된 이 곳은 몽촌토성이 발견된 지역은 자연공원으로 조성하고 나머지 지역은 각종 체육 스타디움과 광장 등으로 사용되어 매일 시민들의 발길이 빈번한 지역입니다. 넓은 잔디밭은 가족 소풍객들이 많고 산책로 지역은 조깅이나 걷는 사람들이 많아요. 초입부엔 평화의문(건축가 고.김중업 작품)이 중앙에 있어 진입부의 위용을 잘 보여주고 있읍니다.,5,1133,"Built during the 88 Olympics, Mongchontoseong was created as a natural park, and the rest of the area was used as various sports stadiums and plazas, which are frequented by citizens every day. There are a lot of family picnics in the wide lawn and a lot of joggers and walkers in the promenade area. At the entrance of the building, the Peace Gate (architecture Ko).Kim Joong-up's work) is located in the center, which shows the grandeur of the entry."
종춘 이,운동하기도 좋고 데이트 하기도 좋고 가족과 아이들과 시간을 보내기도 좋은 곳이죠. 한바퀴 도는데 한시간 정도 걸리는 듯해요. 운동도되고 시간보내기도 좋죠. 다만 공연이 있어서 사람이 몰릴때 좀 불편합니다.,4,1133,"It's a good place to exercise, go on dates, and spend time with family and children. I think it takes about an hour to make a turn. It's good for exercising and spending time. However, it is a little inconvenient when people are crowded because there is a performance."
Urizia J,그 왕 큰 고양이 보러 갔었는데 안에 이것저것 시설도 많고 기대 이상이었어요 밤에도 사람 많아서 안전하고 조용하고 근처 사는 사람 있으면 꼭 가요 매일 가오,5,1133,"I went to see the big cat, and there were a lot of facilities inside, and it was beyond my expectations. It's safe and quiet at night because there are so many people. If anyone lives nearby, make sure to go there every day."
Kylie Park,왜 인지 나에게 콘서트 때문에 방문하게 되는 곳. 운동하러 방문하기엔 거리가 너무 멀어서인지. 항상 콘서트장으로 인식되어 있다.,4,1133,Why do you visit me because of the concert? Maybe it's because it's too far to visit for exercise. It is always recognized as a concert hall.
ahirity,"아침에 운동하는 사람들이 많은 공원입니다. 모든 인도에 시멘트 포장이 되어 있으며, 인근에 카페와 음식이 많으나 가격대가 비싼 편입니다. 자전거를 타기 위해 방문하는 사람들이 많습니다.",4,1133,"It is a park with many people exercising in the morning. Every sidewalk is paved with cement, and there are many cafes and food nearby, but the price is rather high. There are many people who visit to ride bicycles."
daheey2017,"수 많은 K-POP 가수들의 콘서트도 많이 열리지만, 공원 그 자체를 즐기기에도 좋아요. 다만 여의도 한강공원과는 다르게 공원 내부에는 음식을 파는 곳이 없고, 공원 입구에 배달원 출입 제한이 있어서 뭔가를 사먹기엔 불편할 수 있어요. 미리 도시락을 싸오거나, 근처 가락시장에서 회를 포장해서 오는 것을 추천합니다.",4,1133,"There are many concerts by many K-pop artists, but it's also good to enjoy the park itself. However, unlike Yeouido Hangang Park, there is no place to sell food inside the park, and there is a limit to the entrance of the park for deliverymen, so it may be inconvenient to buy something. I recommend you to bring your lunch box in advance or wrap sashimi at a nearby Garak market."
drmysong,"서울시내에 이만한 쉼터가 없다 특별한 놀거리는 없으나 걷기 좋은 숲길과 잔디밭, 조각 등이 편안한 휴식을 제공한다. 이어지는 탄천변도 좋고 호수도 괜챦다.",4,1133,"There is no place like this in Seoul. There is nothing special to play, but forest trails, lawns, and sculptures provide a comfortable rest. The Tancheon Beach is good and the lake is good."
"NASIN, 김나신","서울 올림픽이 열렸던 장소. 주변에 몽촌토성, 좀 더 가면 롯데월드타워가 가까이 있습니다. 그냥 편하게 산책하기 좋은 곳이에요.",4,1133,"The place where the Seoul Olympics were held. Mongchontoseong Fortress, Lotte World Tower is nearby. It's just a good place to take a walk."
narae oh,그늘을 위주로 열심히 산책하면 참 좋아요 이제는 날씨가 많이 더워져서 낮엔 좀 힘들지만 아직까진 저녁에 바람이 선선하네요 주말에 다녀왔는데 시원하고 너무 좋았어요,4,1133,"It's good to walk around in the shade. The weather is getting hot now, so it's a little hard during the day, but the wind is still cool in the evening. I went there on the weekend and it was cool and nice."
194ren,봄에는 역시 공원이다. 올림픽 공원은 많은 공원중에서도 잔디 조성이 가장 넓고 잘 되어 있는 곳이 아닌가 싶다. 넓어서 구역을 정해 산책하는 것이 좋다.,3,1133,"In spring, it is also a spring. Among many parks, Olympic Park has the widest and best lawn formation. It's big, so it's good to set a zone for a walk."
보영 이,"올림픽공원의 K-SPO DOME(구 체조경기장), SK핸드볼경기장은 아이돌들의 콘서트 장소로 많이 활용되는 공간이에요. 올림픽공원 역(5호선, 9호선) 3번 출구로 나오면 바로 식당과 편의점(CU)가 있는데, KSPO DOME과 핸드볼경기장 사이에 GS25가 작게 있어서 더 좋아요. 팬덤이 큰 아이돌의 콘서트일 경우 화장실 이용이 힘들 수도 있기 때문에 근처 다른 건물의 화장실을 이용하는 걸 추천드려요. *) 올림픽공원의 경우 가족, 커플로 나들이를 많이 오시는 장소에요.",5,1133,"K-SPO DOME (formerly Gymnastics Stadium) and SK Handball Stadium in Olympic Park are popular venues for idol concerts. Exit 3 of Olympic Park Station (Line 5 and 9), there is a restaurant and a convenience store (CU), which is better because GS25 is small between KSPO DOME and handball stadium. If the fandom is a big idol's concert, it might be difficult to use the bathroom, so I recommend using a bathroom in another building nearby. *) Olympic Park is a place where many people come to visit as family and couples."
Kwangtae K,아침산책으로 자주 올림픽공원 몽촌토성코스를 갑니다. 갈 때마다 건강해지는 느낌과 자연의 소중함을 절감합니다. 사계절 다른 분위기를 느낄 수 있는 도심속 파라다이스 입니다.,5,1133,"I often go to Mongchontoseong course in Olympic Park for a morning walk. Every time I go, I feel healthy and I feel the importance of nature. It's a downtown parada where you can feel the different atmosphere in all four seasons.This is Is."
Seungsoo P,"정말 넓은 공원이어서 산책하기 좋은 공원입니다. 커플, 가족 단위로 데이트, 모임하기 좋아서 사람이 항상 많습니다. 돗자리 가져가면 좋습니다",5,1133,"It's a really big park, so it's a good park to take a walk. There are always a lot of people because it is good for couples, families, and dating. You can take a mat."
gingertea,한적하고 굉장히 크고 아름다운 곳입니다. 강아지와 산책할때 자주 다니구요. 사색하기에도 좋아요. 아마 근처사는 동네 사람들이 가장 좋아하는 장소가 아닐까 싶습니다.,5,1133,"It's a quiet, huge, beautiful place. I often go for a walk with my dog. It's also good for contemplation. Maybe the neighborhood is the favorite place for the people in the neighborhood."
사과얌얌,"크고, 넓고 아름답습니다. 제대로 보려면 2시간도 훨씬 더 걸리는 큰 공원이에요. 강아지랑 산책해도 좋고, 연인과 함께, 친구와 함께, 가족과 함께가도 늘 좋은 공원입니다. 사진찍기도 좋고 깔끔하게 잘 가꿔진 공원이에요. 콘서트나 축제도 많이 하는 곳입니다.",5,1133,"It's big, wide, and beautiful. It's a big park that takes a lot more than two hours to see properly. It is a good park to take a walk with your dog, with your lover, with your friends, and with your family. It's a park that's nice to take pictures and is neatly decorated. It is a place where there are many concerts and festivals."
윤희 조,"공원 크고 깨끗해요. 푸름을 보며 산책하기 좋았어요. 입장료 없이 이정도면 훌륭합니다. 제가 간 날은 주말이라서 여기저기 단체 행사가 있었는데, 크게 신경쓰이진 않았습니다.",5,1133,"The park is big and clean. It was good to take a walk while looking at Pureum. This is great without entrance fee. The day I went was the weekend, so there were group events here and there, but I didn't care much."
John_K15125,비록 군데군데 턱이 있지만 큰 무리없이 유모차로 다닐 수 있는 공원이다. 아기자기하게 볼거리도 많고 여유가 느껴지는 공간이다. 주차도 크게 불편하지는 않다.,5,1133,"Although it has a chin in some places, it is a park where you can walk in strollers without much difficulty. It is a cute space with many things to see and feel relaxed. Parking is not too inconvenient."
sooyeon,카이고공연때문에 갔었는데요~~ 공원도 깔끔하고 넓고~~~ 먹을데도 많고~ !!! 아주좋았습니다 ㅎㅎㅎㅎ 다음에 또 이용할게요^^ㅋㅋㅋ,4,1133,I was there for a performance in Kygo.The park is clean and spacious~~~~~~~~ There are many places to eat~! It was very good. I'll use it again next time.^^^ᄏ
ajung c,"주변에서 살았기 때문에 방문 횟수는 1000회가 넘었을거라 생각합니다. 각종 행사도 자주 유치되고 시설 자체가 서울에서 보기 드물게 넓고 쾌적해서 좋습니다. 간단히 조깅을 해도, 자전거를 타기에도, 인라인 스케이트를 타기에도 좋은 곳입니다. 박물관과 미술관도 수준급입니다. 올림픽공원이 있어서 주변에 사는 사람들의 생활의 수준이 올라갈 수 있다고 생각할 정도로 사랑하는 장소입니다.",5,1133,"Since I lived around, I think I visited more than 1000 times. Various events are often held, and the facilities themselves are very spacious and comfortable, which is rare in Seoul. It's a good place to jog, bike, and inline skate. Museums and art galleries are also excellent. It is such a lovely place that I think the standard of living around Olympic Park can be raised."
moosuk,가족과 같이 산책 하기 좋은 곳 입니다 호텔에서 가까워서 택시로 이동하면 좋을듯 합니다. 공원이 크고 좋아여! 가을에 참 이뿌네여!,5,1133,"It is a good place to take a walk with your family. It's close to the hotel, so it would be nice to take a taxi. The park is big and nice! What an autumn day!"
sanrio2018,"가족이 함께 방문하여 패밀리 자전거도 타고, 까페에서 커피도 마시고 미술관 관람도 즐겼습니다. 공원안에 먹거리가 아주 많지는 않아서 살짝 아쉬움이있습니다.",5,1133,"I visited with my family and rode a family bike, drank coffee at the cafe, and enjoyed visiting the art museum. There is not much food in the park, so it is a bit disappointing."
